Reaction,fc,pval,MCF10A_KO,MCF10A_P,subSystem
BILGLCURte,1,0,0.22734921468860703,NA,"Transport, extracellular"
BILGLCURtr,0.7290319480247169,0,987.0727236633301,154.690706203866,"Transport, endoplasmic reticular"
BILIRED,0.772157517019957,0,178.66951295900344,22.971155258178914,Heme degradation
BILIRUBtr,-0.730356075472045,0,-986.8682415893554,-153.78512516943215,"Transport, endoplasmic reticular"
BMTer_U,-0.9367626649309485,0,3.3775887342202147,103.44502580296994,Phosphatidylinositol phosphate metabolism
BTND1,-1,0,NA,0.7256160114971284,Biotin metabolism
BTNDm,-1,0,NA,0.8641942233147114,Biotin metabolism
BTNPL,-1,0,NA,1.4062253291605973,Biotin metabolism
BTNPLm,-1,0,NA,0.8641942233147114,Biotin metabolism
BTNt2,1.4395779044104515,0,84.61250198585986,-469.5840901248932,"Transport, extracellular"
BTNt3i,1,0,0.30035943391145337,NA,"Transport, extracellular"
BUTt2m,0.7239551164875704,4.0051650342379137e-13,4.651953157699985,0.7448847451080554,"Transport, mitochondrial"
C160CPT1,0.40427302314494074,0,-131.50038178596571,-309.97830524673464,Fatty acid oxidation
C160CPT2,1,0,NA,-120.51663498077467,Fatty acid oxidation
C160CRNt,1,0,NA,-120.51663498077467,Fatty acid oxidation
C161CPT1,-1.0055826489411726,0,-0.8761994544009504,314.77716784196645,Fatty acid oxidation
C161CPT2,-1,0,NA,291.9707129949778,Fatty acid oxidation
C161CPT22,0.4819846324551455,0,127.54539287014008,44.58242826500982,Fatty acid oxidation
C180CPT1,0.8055285458093531,0,299.40932557959405,32.24904257473462,Fatty acid oxidation
C180CPT2,-0.6088830495608911,0,8.662107081498945,35.63209735926464,Fatty acid oxidation
C204CPT1,-1.6503949132862248,0,-2.7667460241711335,0.6789469491716684,Fatty acid oxidation
C204CPT2,-0.5945788928050265,0,0.17262201644699926,0.6789469491716684,Fatty acid oxidation
C3STDH1Pr,0.6393495876404267,0,0.43454159914171325,0.09559742967539732,Cholesterol metabolism
C3STDH1r,-1,0,NA,0.2573092489399289,Cholesterol metabolism
C4STMO2Pr,-1,0,NA,0.0879511934893746,Cholesterol metabolism
C4STMO2r,0.4957499378734097,0,0.2808300271226715,0.09467395253577739,Cholesterol metabolism
CAATPS,0.8517294737186861,0,29.017222579365967,2.32344892929983,"Transport, extracellular"
CAT2p,1,0,139.29595728299617,NA,Glycolysis/gluconeogenesis
CBPPer,1,0,466.08469713287354,NA,Glycolysis/gluconeogenesis
CBPter,1,0,466.08469713287354,NA,"Transport, endoplasmic reticular"
CBR2,1,0,681.942712680912,NA,Eicosanoid metabolism
CDPDAGtm,1,0,NA,-1.3821399699368988,"Transport, mitochondrial"
CDSm,-0.9767175483964295,0,0.01699881426626888,1.4432266427180032,Glycerophospholipid metabolism
CEPTC,-0.5112472929128331,0,1.0420672577595236,3.222122966249509,Glycerophospholipid metabolism
CERK,-1,0,NA,0.4955760220035927,Sphingolipid metabolism
CERT1gt,-0.8842923420385881,0,1.8431937780281704,30.01630127186502,"Transport, golgi apparatus"
CHAT,-0.897752854539801,0,15.938215244592866,295.8204196367502,Glycerophospholipid metabolism
CHLtm,0.9579352282668031,0,-0.01699881426626888,-0.791222106274408,"Transport, mitochondrial"
CHOLK,-0.6165290701519894,0,3.406479772167458,14.36008090828685,Glycerophospholipid metabolism
CHOLPtg,-0.9622752109747582,0,-75.75251594461724,-1.4563439756864467,"Transport, golgi apparatus"
CHOLPtl,-0.3823878761257998,0,-3.941555469644643,-1.76097641408544,"Transport, lysosomal"
CHOLtr,0.8858061291097482,0,255.16020646657944,15.451074860664457,"Transport, endoplasmic reticular"
CHSTEROLSULT,-0.6067824107275918,1.7986371693477393e-14,0.3459363563443476,1.4135798290045953,Steroid metabolism
CITRtm,1,0,2.39213943738807,NA,"Transport, mitochondrial"
CITtam,-0.5861636431029287,0,-246.7512315630436,-64.37837052559983,"Transport, mitochondrial"
CLFORtex,-0.45894792339922713,0,204.99313789649008,552.7643747791291,"Transport, extracellular"
CLOXAtex2,0.51900736169383,0,200.2197303986311,63.39944018309414,"Transport, extracellular"
CLPNDCPT1,-0.5008437282488237,0,0.23168209215345678,0.6966127335958135,Fatty acid oxidation
CLPNDCPT2,-0.5008437282488237,0,0.23168209215345678,0.6966127335958135,Fatty acid oxidation
CO2tg,-1,0,-0.38669519968981625,NA,"Transport, golgi apparatus"
CO2tp,1.0242352150799,0,98.14315576796531,-1.175021791409189,"Transport, peroxisomal"
COAtm,1.9518418831268205,0,25.88462542469576,-80.27312394225251,"Transport, mitochondrial"
COAtr,-1.1087376742481165,0,-14.230398430925236,275.9685407872617,"Transport, endoplasmic reticular"
CREATt4_2_r,-1,0,NA,17.456316101651325,"Transport, extracellular"
CRNCAR3tp,1,0,58.870408647060394,NA,"Transport, peroxisomal"
CRNt,0.9093659915257073,0,315.5252234888535,14.977388256868862,"Transport, extracellular"
CRNtx,-1,0,NA,2.4905000661758705,"Transport, peroxisomal"
