Reaction,fc,pval,MCF10A_KO,MCF10A_P,subSystem
C181CPT1,0.5016739601522575,0,359.4903382807732,119.2958001488015,Fatty acid oxidation
C181CPT2,-1,-2.231032125768968,NA,208.76013876390456,Fatty acid oxidation
C204CPT1,-1.4522905829851367,0,-36.62771775639951,6.755468512744922,Fatty acid oxidation
C204CPT2,-2.8655491279304672,0,-3.260250478166918,6.755468512744922,Fatty acid oxidation
C226CPT1,-0.4004273789841575,0,51.52447374117374,120.34619524927139,Fatty acid oxidation
C226CPT2,-0.4004273789841575,0,51.52447374117374,120.34619524927139,Fatty acid oxidation
C3STDH1Pr,0.3739847189670589,0,3.8868792952427933,1.7709409724598795,Cholesterol metabolism
C3STDH1r,-1,-2.2325581395348837,NA,2.4582299259143983,Cholesterol metabolism
C4STMO2Pr,-1,-2.2340862422997945,NA,1.0484100442589501,Cholesterol metabolism
CAATPS,0.44860761781035746,0,301.9813582687378,114.94501234526969,"Transport, extracellular"
CAT2p,1,-2.2356164383561645,62.30406388018127,NA,Glycolysis/gluconeogenesis
CBPPer,1,-2.2371487320082246,46.80538237251677,NA,Glycolysis/gluconeogenesis
CBPter,1,-2.2386831275720165,46.80538237251677,NA,"Transport, endoplasmic reticular"
CBR2,1,-2.240219629375429,402.0847261198759,NA,Eicosanoid metabolism
CDIPTr,1.2171969314849254,0,4.929519548293127,-50.321685216483196,Glycerophospholipid metabolism
CDPDAGtm,1,-2.241758241758242,NA,-10.334859098796102,"Transport, mitochondrial"
CDSm,-0.9974526407012986,0,0.013227243749464029,10.371836030368856,Glycerophospholipid metabolism
CERK,-1,-2.243298969072165,NA,9.393424961104557,Sphingolipid metabolism
CERT1gt,-0.8650462382175541,0,4.885074207162656,67.51119163443295,"Transport, golgi apparatus"
CHAT,-0.8921924262116512,0,11.973481071986555,210.1534187596202,Glycerophospholipid metabolism
CHLtm,0.9983047148628678,0,-0.013227243749464029,-15.591514943561004,"Transport, mitochondrial"
CHOLPtg,-0.6763253929274277,0,-36.53364563338607,-7.054127704087561,"Transport, golgi apparatus"
CHOLtr,0.8691300328518707,0,108.46277111691255,7.594185018368019,"Transport, endoplasmic reticular"
CHSTEROLtg,-0.4971272375646175,0,3.986335134703911,11.867914418993648,"Transport, golgi apparatus"
CITRtm,1,-2.2448418156808803,23.945547433466466,NA,"Transport, mitochondrial"
CLI2tex,0.7682474809334873,0,346.3225210138321,45.39020556785958,"Transport, extracellular"
CLOXAtex2,0.6685305380436544,0,207.30527947854995,41.18316559553854,"Transport, extracellular"
CO2tg,-1,-2.2463867859600826,-1.068111989416102,NA,"Transport, golgi apparatus"
CO2tp,12.423977833652332,0,27.71679604842132,-32.56918572424408,"Transport, peroxisomal"
CORE2GTg,-0.3763463269135873,0,0.22781777359025263,0.5027728840829412,O-glycan metabolism
CREATt4_2_r,-1,-2.2479338842975207,NA,27.757516315118806,"Transport, extracellular"
CRNCAR3tp,1,-2.249483115093039,72.19940640778542,NA,"Transport, peroxisomal"
CRNt,8.322645562892085,0,166.032092948401,-211.37966344663127,"Transport, extracellular"
CRNtHa,-0.591771900148698,0,120.84011254497393,471.18239932518003,"Transport, extracellular"
CRNtx,-1,-2.251034482758621,NA,14.406978509023785,"Transport, peroxisomal"
CSBPASEly,-0.9132619894298479,0,0.3740204734096859,8.250121836314735,Chondroitin sulfate degradation
CSCPASEly,-0.8945115342036573,0,0.6120154162752418,10.991441163647064,Chondroitin sulfate degradation
CSDPASEly,-0.9171565324969196,0,0.2947544956989832,6.8211836605116725,Chondroitin sulfate degradation
CSEPASEly,-0.6685141574957228,0,0.2892944005974383,1.4561460587108987,Chondroitin sulfate degradation
CSm,-1,-2.2525879917184266,NA,357.32011733322145,Citric acid cycle
CSNAT2x,-1.1935525347413471,0,-163.2758995828446,14.406978509023785,Fatty acid oxidation
CSNATer,0.4523018834285882,0,-196.31842587163447,-520.5670989521027,Fatty acid oxidation
CSPG_At,-1,-2.25414364640884,NA,0.7665813540780405,"Transport, extracellular"
CSPG_Btly,-0.9132619894298479,0,0.3740204734096859,8.250121836314735,"Transport, lysosomal"
CSPG_Ctly,-0.8945115342036573,0,0.6120154162752418,10.991441163647064,"Transport, lysosomal"
CSPG_Dtly,-0.9171565324969196,0,0.2947544956989832,6.8211836605116725,"Transport, lysosomal"
CSPG_Et,-0.6685141574957228,0,0.2892944005974383,1.4561460587108987,"Transport, extracellular"
CSPG_Etly,-0.6685141574957228,0,0.2892944005974383,1.4561460587108987,"Transport, lysosomal"
CYSALANaEx,-0.5449457382069061,0,40.527352728011344,137.59361494875552,"Transport, extracellular"
CYSASNNaEx,-0.7540591099716886,0,3.4192755340796896,24.386393817495637,"Transport, extracellular"
CYSGLNNaEx,0.7547927226080278,0,127.71614667215552,17.846511557176314,"Transport, extracellular"
CYSO,0.40538710719625015,0,120.71507506408692,51.073999200175706,Taurine and hypotaurine metabolism
CYSSERNaEx,-0.6120627404833135,0,62.626073973075954,260.24094865372183,"Transport, extracellular"
CYSt4,-0.4773180690806086,0,34.50112282041884,97.51462434624433,"Transport, extracellular"
CYSTA,0.5344564684107387,0,844.0985931030274,256.0937036224365,Methionine and cysteine metabolism
CYStec,-2.6045474927885217,0,-373.97707228660585,166.4741482525587,"Transport, extracellular"
CYTD,-0.35886592577808013,0,11.569728093921684,24.52171848209349,Pyrimidine catabolism
CYTDK2m,-1,-2.255701451278507,NA,10.334859098796102,Nucleotide interconversion
CYTDt,1,-2.2572614107883817,NA,-282.3804407396674,"Transport, extracellular"
CYTDtm,-1,-2.2588235294117647,NA,10.334859098796102,"Transport, mitochondrial"
CYTK10,-3.6037339323092845,0,-90.43430674657859,51.1469334638156,Nucleotide interconversion
CYTK11,1.233124430724608,0,69.33825091047082,-7.238486153545185,Nucleotide interconversion
CYTK11n,-0.9951190801119232,0,0.949431699999154,388.08858644835465,Nucleotide interconversion
CYTK12,-63.340765274666836,0,-253.50751078753473,261.6404719300747,Nucleotide interconversion
CYTK12n,1.1985163720613616,0,18.69705321023386,-207.06492449547557,Nucleotide interconversion
CYTK13n,0.6064443982145534,0,-26.83019096386817,-109.517460255667,Nucleotide interconversion
CYTK14,-1.4561546568919947,0,-44.4060760221767,239.10353378677368,Nucleotide interconversion
