Reaction,fc,pval,OVCAR3_A1AKO,OVCAR3_P,subSystem
3HADPACx,-0.7602552216595352,0,0.1050490785752234,0.7712918311403721,Fatty acid oxidation
3HADPACtxc,-0.7602552216595352,0,0.1050490785752234,0.7712918311403721,"Transport, peroxisomal"
3HADPACte,-0.7602552216595352,0,0.1050490785752234,0.7712918311403721,"Transport, extracellular"
EX_3hadpac[e],-0.7602552216595352,0,0.1050490785752234,0.7712918311403721,Exchange/demand reaction
3OHSEBCOAx,-0.6927503024593948,0,0.0967705493802292,0.5331441431635466,Fatty acid oxidation
3OHSEBACx,-0.6927503024593948,0,0.0967705493802292,0.5331441431635466,Fatty acid oxidation
3OHSEBACtxc,-0.6927503024593948,0,0.0967705493802292,0.5331441431635466,"Transport, peroxisomal"
3OHSEBACte,-0.6927503024593948,0,0.0967705493802292,0.5331441431635466,"Transport, extracellular"
EX_3ohsebac[e],-0.6927503024593948,0,0.0967705493802292,0.5331441431635466,Exchange/demand reaction
3OHSUBCOAx,-0.7265491209058977,0,0.12220843420916935,0.7716152361628243,Fatty acid oxidation
3OHSUBACx,-0.7265491209058977,0,0.12220843420916935,0.7716152361628243,Fatty acid oxidation
3OHSUBACtxc,-0.7265491209058977,0,0.12220843420916935,0.7716152361628243,"Transport, peroxisomal"
3OHSUBACte,-0.7265491209058977,0,0.12220843420916935,0.7716152361628243,"Transport, extracellular"
EX_3ohsubac[e],-0.7265491209058977,0,0.12220843420916935,0.7716152361628243,Exchange/demand reaction
5OHHEXAc,-0.8700462891033505,0,2.1643656492860757,31.145428035749493,Fatty acid oxidation
5OHHEXAte,-0.8700462891033505,0,2.1643656492860757,31.145428035749493,"Transport, extracellular"
EX_5ohhexa[e],-0.8700462891033505,0,2.1643656492860757,31.145428035749493,Exchange/demand reaction
AK2LGCHOLABCt,-1,0,NA,0.49650415811204585,"Transport, extracellular"
PAFABCt,-1,0,NA,0.41684920103817785,"Transport, extracellular"
PAILPALM_HSSECt,0.9353633886732534,0,103.32030019901693,3.4506564117164564,"Transport, extracellular"
PCHLN225_HSABCt,-0.3547015651624002,0,0.29874403413283707,0.627165647355918,"Transport, extracellular"
PCHOL2OLE_HSABCt,-0.35589447811555475,0,0.24231034233956306,0.5100829662308745,"Transport, extracellular"
PCHOLDOC_HSABCt,-0.39979953332552154,0,0.319703234690454,0.7456182785093901,"Transport, extracellular"
PCHOLET_HSABCt,-0.3945525435351469,0,0.339020934039966,0.7808811496832863,"Transport, extracellular"
PCHOLHEP_HSABCt,-0.4882245379462784,0,0.29420324175682683,0.8555323886941071,"Transport, extracellular"
PCHOLLINL_HSABCt,-0.5007307808520228,0,0.2599714031371601,0.7814362910155527,"Transport, extracellular"
PCHOLMYR_HsABCt,-0.411877458082804,0,0.4052765664972879,0.9729279320963004,"Transport, extracellular"
PCHOLN15_HSABCt,-0.39635773793905316,0,0.2696345978316356,0.6237243161418592,"Transport, extracellular"
PCHOLN183_HSABCt,-0.40925259160892546,0,0.2973712834143182,0.70939160437971,"Transport, extracellular"
PCHOLN201_HSABCt,-0.345126496928656,0,0.31366413238082025,0.6442739454609051,"Transport, extracellular"
PCHOLN203_HSABCt,-0.672102522891134,0,0.6399243564104045,3.26327344829818,"Transport, extracellular"
PCHOLN225_HSABCt,-0.8470036414058952,0,0.2682509348466399,3.238380691051102,"Transport, extracellular"
PCHOLN2254_HSABCt,-0.3821455406097355,0,0.32082337098460995,0.7176845368525124,"Transport, extracellular"
PCHOLSTE_HSABCt,-0.35203135035393035,0,0.28698170873827183,0.598807160507256,"Transport, extracellular"
PE12_HSABCt,-0.6140674011469504,0,0.3996348213379617,1.6713735491683575,"Transport, extracellular"
PE14_HSABCt,-0.3870880422547643,0,0.2858987085208151,0.6470206281244405,"Transport, extracellular"
PE203_HSABCt,-0.36434924241402267,0,0.3079542354816062,0.6609873784673167,"Transport, extracellular"
PE226_HSABCt,-0.3677036143067908,0,0.3042146034478201,0.6580385750652873,"Transport, extracellular"
PELINL_HSABCt,-0.4323378935428252,0,0.2874416341420305,0.7252792463690081,"Transport, extracellular"
PEOLE_HSABCt,-0.4347429864913956,0,0.2644441568930407,0.6712157308157751,"Transport, extracellular"
PESTE_HSABCt,-0.3924528413098516,0,0.3494057694018873,0.8008120018578601,"Transport, extracellular"
AK2LGCHOLt1,-1,0,NA,0.49650415811204585,"Transport, extracellular"
APRGSTRNt1e,0.5489699333901988,0,-130.30329765200372,-447.49985694226774,"Transport, extracellular"
DIGALSGALSIDEATPte,-0.4170904972389133,0,0.09066856976774688,0.22042112541915285,"Transport, extracellular"
PAFt1,-1,0,NA,0.41684920103817785,"Transport, extracellular"
PESTE_HSt1e,-0.3924528413098516,0,0.3494057694018873,0.8008120018578601,"Transport, extracellular"
SPHMYLN18116_hs_ATPt,-0.4084302490974418,0,0.3389706596373075,0.8070333715699671,"Transport, extracellular"
SPHMYLN181161_hs_ATPt,-0.9209052537006125,0,0.3138693701775395,7.622672179358223,"Transport, extracellular"
SPHMYLN1824_hs_ATPt,-0.4760416253657083,0,0.32194610610509555,0.9069534465733209,"Transport, extracellular"
SPHMYLN1825_hs_ATPt,-0.6775041970226076,0,0.3444748262402579,1.791830967881387,"Transport, extracellular"
THEXDDm,-0.545379320688257,0,0.20367112890184907,0.6923335544319131,Fatty acid oxidation
THEXDDtm,-0.545379320688257,0,0.20367112890184907,0.6923335544319131,"Transport, mitochondrial"
THEXDDte,-0.545379320688257,0,0.20367112890184907,0.6923335544319131,"Transport, extracellular"
EX_thexdd[e],-0.545379320688257,0,0.20367112890184907,0.6923335544319131,Exchange/demand reaction
HEXDTRm,-0.363305640755412,0,0.240160927938094,0.5142384929175742,Fatty acid oxidation
HEXDTRtm,-0.363305640755412,0,0.240160927938094,0.5142384929175742,"Transport, mitochondrial"
HEXDTRte,-0.363305640755412,0,0.240160927938094,0.5142384929175742,"Transport, extracellular"
EX_hexdtr[e],-0.363305640755412,0,0.240160927938094,0.5142384929175742,Exchange/demand reaction
HPDECECOAm,-0.5744187594353615,0,0.0946508982587664,0.3501567635319112,Fatty acid oxidation
HPDECEm,-0.5744187594353615,0,0.0946508982587664,0.3501567635319112,Fatty acid oxidation
HPDECEtm,-0.5744187594353615,0,0.0946508982587664,0.3501567635319112,"Transport, mitochondrial"
HPDECEte,-0.5744187594353615,0,0.0946508982587664,0.3501567635319112,"Transport, extracellular"
EX_hpdece[e],-0.5744187594353615,0,0.0946508982587664,0.3501567635319112,Exchange/demand reaction
5EIPENCm,-0.4983612949605055,0,0.24090359983422976,0.719562956729675,Fatty acid oxidation
5EIPENCtm,-0.4983612949605055,0,0.24090359983422976,0.719562956729675,"Transport, mitochondrial"
5EIPENCte,-0.4983612949605055,0,0.24090359983422976,0.719562956729675,"Transport, extracellular"
EX_5eipenc[e],-0.4983612949605055,0,0.24090359983422976,0.719562956729675,Exchange/demand reaction
ANDRSTNDNte,-0.5069216591163898,0,0.3930553347578185,1.201236290599127,"Transport, extracellular"
CE5072te,-0.4204268158806966,0,0.3368989597416221,0.8256771185617953,"Transport, extracellular"
PRGNLONEte,-0.3767340590920544,0,0.5718768859688127,1.2632206171475242,"Transport, extracellular"
C03681te,-0.40200663717006774,0,0.24792681303370573,0.5812690558315328,"Transport, extracellular"
PRGNLONESte,-0.679601987506745,0,0.188710560954432,0.9892652915543586,"Transport, extracellular"
CE1352te,-0.5865649434870619,0,0.26897874412416095,1.0322110794618002,"Transport, extracellular"
SAMHISTAe,-0.5859896138565368,0,70.24282909468748,269.0859966819048,"Transport, extracellular"
MLTHFte,-0.4640113405396669,0,113.05881408286989,308.8113583073616,"Transport, extracellular"
TRYPTAte,0.6488274403192589,0,-1.9853174289975315,-9.321473914850223,"Transport, extracellular"
CE7096te,-0.4392074010340875,0,0.452338304432844,1.1608723736928819,"Transport, extracellular"
CE4877te,-0.356785061263849,0,0.5427250514077466,1.144813650582427,"Transport, extracellular"
CE1447te,-0.7097095655745745,0,0.682250359282186,4.018217023548188,"Transport, extracellular"
C05770te4,-0.5112679339663634,0,0.2162592723898939,0.6687216299068258,"Transport, extracellular"
C05770te,-0.5112679339663733,0,0.21625927238988807,0.6687216299068258,"Transport, extracellular"
SPHS1Pt2e,-0.5061346193607629,0,0.2546814205106998,0.7766985080886752,"Transport, extracellular"
13DAMPPte,-1,0,-1.1528867546799855,NA,"Transport, extracellular"
ARGN1ASPMDte,1,0,16.442020693320035,NA,"Transport, extracellular"
CE1918te,1,0,NA,-456.8721516736984,"Transport, extracellular"
34DHPHAte,0.4724751544430348,0,-279.77285373774765,-780.9273430173874,"Transport, extracellular"
34DHOXMANDte,1,0,NA,-290.6053461434733,"Transport, extracellular"
EX_andrstndn[e],-0.5069216591163898,0,0.3930553347578185,1.201236290599127,Exchange/demand reaction
EX_ahandrostan[e],0.45342910905310074,0,-0.49040591799826044,-1.304076467072278,Exchange/demand reaction
EX_CE5072[e],-0.4204268158806966,0,0.3368989597416221,0.8256771185617953,Exchange/demand reaction
EX_prgnlone[e],-0.3767340590920544,0,0.5718768859688127,1.2632206171475242,Exchange/demand reaction
EX_C03681[e],-0.40200663717006774,0,0.24792681303370573,0.5812690558315328,Exchange/demand reaction
EX_prgnlones[e],-0.679601987506745,0,0.188710560954432,0.9892652915543586,Exchange/demand reaction
EX_CE1352[e],-0.5865649434870619,0,0.26897874412416095,1.0322110794618002,Exchange/demand reaction
XOL25OHtr,-1,0,NA,199.17886735215188,"Transport, endoplasmic reticular"
XOL25OHte,-1,0,NA,199.17886735215188,"Transport, extracellular"
EX_xol25oh[e],-1,0,NA,199.17886735215188,Exchange/demand reaction
CHSTEROLSte,-0.6717417912468919,0,30.649893737444344,156.09269438468218,"Transport, extracellular"
EX_chsterols[e],-0.6717417912468919,0,30.649893737444344,156.09269438468218,Exchange/demand reaction
EX_34dhoxmand[e],1,0,NA,-290.6053461434733,Exchange/demand reaction
EX_CE7096[e],-0.4392074010340875,0,0.452338304432844,1.1608723736928819,Exchange/demand reaction
EX_CE4877[e],-0.356785061263849,0,0.5427250514077466,1.144813650582427,Exchange/demand reaction
EX_CE1447[e],-0.7097095655745745,0,0.682250359282186,4.018217023548188,Exchange/demand reaction
