Reaction,fc,pval,Ges1_A_D,Ges1_P_D,subSystem
ALAASNNaEx,-0.4634609349444685,0,33.41478334840649,91.14197504885234,"Transport, extracellular"
ALACYSNaEx,-0.5441255411302015,0,68.36395561038414,231.56052701964379,"Transport, extracellular"
ALADGLNexR,1,-3.019267822736031,NA,-736.3863930419922,"Transport, extracellular"
ALASERNaEx,-0.5876543574125477,0,31.654467028833366,121.87918900886774,"Transport, extracellular"
ALATA_L,0.7900312937142024,0,-22.672171638225016,-193.28545404114593,Glutamate metabolism
ALCD2yf,0.5636266114532733,0,620.1998822601319,173.0839845112359,Glycolysis/gluconeogenesis
ALOX52,-1,-3.022179363548698,NA,596.1568426147461,Eicosanoid metabolism
AMACR2p,-0.6510850358215924,0,12.34948328450187,58.43844244164908,Bile acid synthesis
AMETr,1,-3.025096525096525,NA,-26.750783156163035,"Transport, endoplasmic reticular"
AMETt2m,0.6513812864522663,0,10.46100500553205,2.2083949584288813,"Transport, mitochondrial"
AMPDA,1,-3.0280193236714976,47.0937625484685,NA,Nucleotide interconversion
AMY2e,-0.6109324364707251,0,4.107426021855091,17.00677833173417,Starch and sucrose metabolism
ANDRSTRNte,-0.8427442849811613,0,-208.22379929549544,-17.769357750300685,"Transport, extracellular"
ANDRSTRNtr,0.8427442849811613,0,208.22379929549544,17.769357750300685,"Transport, endoplasmic reticular"
AOBUTDsm,-0.860622635586711,0,18.904737454637072,252.36940428590773,"Glycine, serine, alanine, and threonine metabolism"
ARACHDCOAtx,-0.61212464129705,0,-41.095328226328455,-9.887489322151943,"Transport, peroxisomal"
ARGLYSex,0.4699605636165372,0,758.6465237613678,273.5533087224007,"Transport, extracellular"
ARGNm,-0.44988885711199594,0,13.395885454528639,35.30658359273397,Urea cycle
R_group_phosphotase_1,0.6925536963864098,0,124.16456827220917,22.55404814427397,Miscellaneous
R_group_phosphotase_2,-0.6551275468862438,0,3.8965794711060036,18.70064124585695,Miscellaneous
R_group_phosphotase_3,0.45173043233692933,0,18.44038125189344,6.964309372672386,Miscellaneous
ASNGLNNaEx,-0.8879446233171098,0,4.689111143584807,79.00363582481286,"Transport, extracellular"
ASNSERNaEx,0.7369706896642114,0,28.68153681349335,4.343242457869051,"Transport, extracellular"
ASNt4,-0.4955709378608605,0,11.492588536527439,34.07412995423776,"Transport, extracellular"
ASNTHRNaEx,0.966459838694153,0,415.3369790825844,7.084034466711381,"Transport, extracellular"
ASPCTr,-0.5654176933315733,0,49.605841576056555,178.6862026000738,Pyrimidine synthesis
ATPH1e,-0.6479965336002422,0,25.32797363241138,118.579550298886,Nucleotide interconversion
ATPH2e,-0.3360334351110604,0,53.82746507518571,108.31161819081977,Nucleotide interconversion
ATPtn,0.7896084278389504,0,71.88139834776986,8.450586269189682,"Transport, nuclear"
B3GNT12g,0.4127579998258459,0,2.203132235817166,0.9157773525040488,Blood group synthesis
B3GNT315g,0.4127579998258459,0,2.203132235817166,0.9157773525040488,Blood group synthesis
BAAT3x,-0.6306738677171199,0,13.568819601714612,59.90997551003648,Bile acid synthesis
BAMPPALDOX,-0.5402392054731017,0,7.238631377522521,24.250053450296235,Beta-Alanine metabolism
BDHm,1,-3.0309477756286265,NA,-323.5811452624455,Butanoate metabolism
BHBtm,1,-3.033881897386254,NA,-323.5811452624455,"Transport, mitochondrial"
BILDGLCURt,0.3937974060574528,0,15.969834695463732,6.94574058980904,"Transport, extracellular"
BILDGLCURtr,0.46330780279128153,0,13.096734622412617,4.8034427666922594,"Transport, endoplasmic reticular"
BILIRED,0.6001464295292865,0,94.12321792768594,23.520037952807545,Heme degradation
BTNt2,1.0570546098478062,0,4.728742141831794,-170.49070789519547,"Transport, extracellular"
BTNt2m,0.3948950780944262,0,44.00418169565817,19.088996259736902,"Transport, mitochondrial"
C160CPT2,-1.0463260951372286,0,-470.7864211662293,10.657977038991683,Fatty acid oxidation
C160CRNt,-1.0463260951372286,0,-470.7864211662293,10.657977038991683,Fatty acid oxidation
C161CPT22,0.3589424398963349,0,349.8765575317383,165.048206402234,Fatty acid oxidation
C161CRN2t,1,-3.0368217054263567,467.40789464342595,NA,Fatty acid oxidation
C161CRNt,-1,-3.0397672162948592,NA,6.323656991654112,Fatty acid oxidation
C180CPT1,0.5320323063997833,0,129.0658816307068,39.42388335865773,Fatty acid oxidation
C180CPT2,-10.005328345419569,0,-57.143298980438054,46.75863853471475,Fatty acid oxidation
C181CPT1,1.0385419651944363,0,267.9646852101326,-5.06631001325594,Fatty acid oxidation
C204CRNt,1,-3.042718446601942,240.25095249767304,NA,Fatty acid oxidation
C226COAtx,-0.6806785922550559,0,1.520793586781679,8.004365390322684,"Transport, peroxisomal"
C4STMO1r,1,-3.045675413022352,0.9779522529667444,NA,Cholesterol metabolism
CAATPS,1,-3.0486381322957197,214.3348171325922,NA,"Transport, extracellular"
CAT2p,-0.7155277637527544,0,24.625871618339698,148.5078720692968,Glycolysis/gluconeogenesis
CATm,-0.4104153496572905,0,40.62334093966484,97.17991060717105,ROS detoxification
CBPPer,0.39591066783635515,0,52.43416708153072,22.691223517859214,Glycolysis/gluconeogenesis
CBPter,0.39591066783635515,0,52.43416708153072,22.691223517859214,"Transport, endoplasmic reticular"
CDIPTr,-0.9990301912214941,0,-58.77508511259019,-0.028514123373392795,Glycerophospholipid metabolism
CDPDAGtm,-1,-3.0516066212268744,-3.9623042054672495,NA,"Transport, mitochondrial"
CDS,1,-3.05458089668616,4.997905211021955,NA,Glycerophospholipid metabolism
CDSm,0.9881332740158755,0,3.9882435838653123,0.023804940235256276,Glycerophospholipid metabolism
CEPTC,0.34348611957696834,0,19.12729956248754,9.346830960737023,Glycerophospholipid metabolism
CEPTE,-1,-3.057560975609756,NA,81.82202791852951,Glycerophospholipid metabolism
CHAT,0.6601864330582394,0,36.26550404654993,7.422967711100838,Glycerophospholipid metabolism
CHLtm,-1,-3.060546875,-2.101284062741026,NA,"Transport, mitochondrial"
CHOLK,0.3660768648198808,0,71.94401612601764,33.385366105345405,Glycerophospholipid metabolism
