Reaction,fc,pval,Ges1_A_D,Ges1_P_D,subSystem
EX_abt[e],1,0,286.39811769827605,NA,Exchange/demand reaction
EX_adrnl[e],-0.8009423019812559,0,-193.63010420463235,-21.40188653889745,Exchange/demand reaction
EX_atp[e],0.41836170788223864,0,-34.866844073194265,-85.02500123926997,Exchange/demand reaction
EX_biocyt[e],-1,0,-6.663109377903904,NA,Exchange/demand reaction
EX_co[e],-0.6508148709513072,0,0.7819530570003019,3.696777518557862,Exchange/demand reaction
EX_crn[e],-1,0,-530.841037109375,NA,Exchange/demand reaction
EX_crvnc[e],1,0,400.9956561033726,NA,Exchange/demand reaction
EX_dag_hs[e],0.7485414325130412,0,-41.1794889504062,-286.34555314259677,Exchange/demand reaction
EX_dlnlcg[e],0.39778591506432726,0,0.6105548503239719,0.2630479578655407,Exchange/demand reaction
EX_dopa[e],-1,0,-718.5296198574066,NA,Exchange/demand reaction
EX_eicostet[e],0.5898459017381725,0,0.7164660790553703,0.18483646639518012,Exchange/demand reaction
EX_fucgalfucgalacglcgalgluside_hs[e],1,0,0.6914419231791937,NA,Exchange/demand reaction
EX_hestratriol[e],1,0,1.8695971818664028,NA,Exchange/demand reaction
EX_leuktrA4[e],-1,0,-460.0519696660519,NA,Exchange/demand reaction
EX_leuktrB4[e],0.5023341492249904,0,169.7575135689318,56.234172310677174,Exchange/demand reaction
EX_leuktrE4[e],1,0,136.78778208835124,NA,Exchange/demand reaction
EX_meoh[e],-1,0,-780.6347526554108,NA,Exchange/demand reaction
EX_ocdcea[e],1,0,25.310742167458848,NA,Exchange/demand reaction
EX_spc_hs[e],-0.9750982291736091,0,-35.89459542598492,-0.4525541950274981,Exchange/demand reaction
EX_xylt[e],1,0,21.795068093967437,NA,Exchange/demand reaction
FATP4t,0.3936360953042962,0,857.8605232395172,373.2507060548216,"Transport, extracellular"
FATP6t,1.001564891581011,0,862.4764999252319,-0.6743134930222306,"Transport, extracellular"
FATP9t,1.0310103753278563,0,784.3230820255279,-11.97539581647208,"Transport, extracellular"
FOLt2,2.3710684251613854,0,284.65445808891394,-115.7736036011938,"Transport, extracellular"
FUCGALFUCGALACGLCGALGLUSIDEte,-1,0,-0.6914419231791937,NA,"Transport, extracellular"
GLB1,0.6345277331227075,0,48.07925473868176,10.750282092520296,Sphingolipid metabolism
GLCt2_2,-1,0,-752.1574011413575,NA,"Transport, extracellular"
