Reaction,fc,pval,Truncating,WT,subSystem
BILIRUBt2,-1.2761981046532556,0,-318.4709703741193,38.643858908675426,"Transport, extracellular"
BILIRUBtr,-1,0,-301.52719957151413,NA,"Transport, endoplasmic reticular"
BIOCYTtn,0.35035854839478364,0,7.496823835672119,3.6066328641560035,"Transport, nuclear"
BTND1n,0.35035854839478364,0,7.496823835672119,3.6066328641560035,Biotin metabolism
BTNDe,-0.3727120899669906,0,31.33754255137369,68.57684141857922,Biotin metabolism
BTNt2m,-0.3880545591199068,0,23.649051372740324,53.64232067744937,"Transport, mitochondrial"
BTNtn,-0.966723135073544,0,0.19166734156735407,11.327887880413536,"Transport, nuclear"
C160CPT1,-2.5765997559993146,0,-137.50415272034556,60.6131601010574,Fatty acid oxidation
C160CPT2,-0.6732902122190388,0,-273.47013894319537,-53.395024010853255,Fatty acid oxidation
C160CRNt,0.42970121396096506,0,-273.47013894319537,-685.571491997528,Fatty acid oxidation
C161CPT1,-0.8156077729605482,0,-73.44742508539333,-7.459284149089867,Fatty acid oxidation
C161CPT2,-0.3606843056034289,0,-51.5909799950731,-24.239952694627924,Fatty acid oxidation
C161CPT22,0.4835112377513326,0,346.3104438766479,120.56899062170639,Fatty acid oxidation
C180CPT1,-5.160891155032764,0,-34.179323010137466,50.608170454895166,Fatty acid oxidation
C180CPT2,1.3631760266878727,0,8.188165236187364,-1.2583680956302559,Fatty acid oxidation
C180CRNt,-1,0,NA,806.3540453796387,Fatty acid oxidation
C181CPT1,0.5067829667738928,0,270.35163576974867,88.4945175665699,Fatty acid oxidation
C181CPT2,-1.0326536442599352,0,-2.2329942559107896,139.0014503666788,Fatty acid oxidation
C204CPT1,1.0078086695164947,0,0.5092052640194655,-130.92969826704712,Fatty acid oxidation
C204CPT2,-0.8511772019103019,0,4.232906191956557,52.652278689533325,Fatty acid oxidation
C226COAtx,0.8933152260592606,0,415.00921584415437,23.384993563808862,"Transport, peroxisomal"
C226CPT1,0.7246625793297078,0,282.1023900513649,45.0368352468431,Fatty acid oxidation
C226CPT2,0.7246625793297078,0,282.1023900513649,45.0368352468431,Fatty acid oxidation
C4STMO1r,0.4759724088143083,0,0.6637144387141874,0.23564443107304472,Cholesterol metabolism
CAROtr,0.5629758038312349,0,16.3989335836911,4.585311397572607,"Transport, extracellular"
CAt7r,2.5938180210948283,0,218.86309969296457,-97.0633321987331,"Transport, extracellular"
CBPPer,-0.5347016228753049,0,13.889473238272819,45.811887957537174,Glycolysis/gluconeogenesis
CBPSam,0.3387804739120857,0,8.120662131196328,4.010769854014402,Glutamate metabolism
CBPter,-0.5347016228753049,0,13.889473238272819,45.811887957537174,"Transport, endoplasmic reticular"
CDPDAGtm,-0.4238155924583821,0,-6.415540372452529,-2.596217057981784,"Transport, mitochondrial"
CDSm,0.42248230613083365,0,10.622257433103817,4.312560929588462,Glycerophospholipid metabolism
CEPTC,0.34850926572479135,0,14.945691841678764,7.220550870262579,Glycerophospholipid metabolism
CERT1rt,-0.4742228934762217,0,13.487166304129886,37.81657490781247,"Transport, endoplasmic reticular"
CERT2gt,0.548582091263735,0,6.702127034652463,1.9536969897402363,"Transport, golgi apparatus"
CERT2rt,-0.3809565900505917,0,0.49659713066750266,1.1078045080094598,"Transport, endoplasmic reticular"
CHAT,2.1672453834492136,0,66.00642798900215,-179.1042031867981,Glycerophospholipid metabolism
CHLPCTD,0.39232259989941354,0,20.147976612833467,8.793558365179575,Glycerophospholipid metabolism
CHOLATEt,1.696840135209515,0,617.838192851603,-159.64403830368892,"Transport, extracellular"
CHOLATEt2,0.44329569144663117,0,87.55430512410105,33.77122178347865,"Transport, extracellular"
CHOLATEt3,0.38193021406187017,0,5.577431733128341,2.4945123873128012,"Transport, extracellular"
CHOLPtl,-0.5469862943751141,0,-7.9455692463296375,-2.326750909601868,"Transport, lysosomal"
CHOLtr,0.7849622744359537,0,363.97684037218096,43.84896702444572,"Transport, endoplasmic reticular"
CHSTEROLSULT,0.43486285565775706,0,3.3610216679474,1.323776819510372,Steroid metabolism
CHSTEROLtg,-0.46011188551772986,0,76.88204241499808,207.92527359241097,"Transport, golgi apparatus"
CHTNASE,0.4294755663193456,0,4.022828717688995,1.6055692941036643,Aminosugar metabolism
CHTNASEe,0.4899683786803627,0,157.85504922029972,54.035419703757576,Aminosugar metabolism
CITRtm,0.6151097414348067,0,241.6350024390936,57.583058402312204,"Transport, mitochondrial"
CITt4_2,1.014788126490506,0,2.712170653748978,-369.5159920154572,"Transport, extracellular"
CITtam,2.3967730611119133,0,41.69126365998797,-101.38780967842173,"Transport, mitochondrial"
CLFORtex,0.4546201365151158,0,448.42050265307427,168.126032619524,"Transport, extracellular"
CLHCO3tex2,-0.3354754879191798,0,267.22233765591534,537.0289210949898,"Transport, extracellular"
CLI2tex,0.654380942545521,0,219.64470199222563,45.88628466707217,"Transport, extracellular"
CMPACNAtg,0.3622938494431835,0,51.77178080408266,24.234993835975462,"Transport, golgi apparatus"
CMPACNAtn,0.6751482885437803,0,48.97070217039781,9.49660189492578,"Transport, nuclear"
CMPSASn,0.6751482885437803,0,48.97070217039781,9.49660189492578,Aminosugar metabolism
CO2tp,-1.2904210777689464,0,-14.144719783833239,111.55307521378249,"Transport, peroxisomal"
COAtg,-0.7373301897017592,0,-263.0237979453683,-39.767000838276374,"Transport, golgi apparatus"
COAtr,1,0,212.53829781927095,NA,"Transport, endoplasmic reticular"
CORE3GTg,0.3485667887444521,0,0.4211722940746675,0.20344978262171765,O-glycan metabolism
CORE4GTg,0.3485667887444521,0,0.4211722940746675,0.20344978262171765,O-glycan metabolism
CORE6GTg,0.3692823411507097,0,1.4550840086706007,0.6702395494317925,O-glycan metabolism
COt,0.5360133760243325,0,1.642268579011607,0.49608334506120944,"Transport, extracellular"
COUCOAFm,0.4033014330295306,0,0.8915769175365829,0.37910790690885876,Ubiquinone synthesis
CREATt4_2_r,0.7138767649894324,0,120.58924764159694,20.131777469377685,"Transport, extracellular"
CRNCAR3tp,-0.6479926065694387,0,48.11939785364157,225.28052925972938,"Transport, peroxisomal"
CRNt,1.1321172188259534,0,28.46536896200268,-459.3761800577462,"Transport, extracellular"
CRNtim,-1,0,NA,461.27052211990355,"Transport, mitochondrial"
CRTSLtm,-0.5171937564783707,0,-9.155963999612874,-2.9136401106297223,"Transport, mitochondrial"
CRTSLtr,1,0,NA,-364.2587931837082,"Transport, endoplasmic reticular"
CSDPASEly,-0.3664119756810076,0,3.5687418932516506,7.696439127451787,Chondroitin sulfate degradation
CSEPASEly,0.8700972872708984,0,12.422012399122027,0.8628712095269373,Chondroitin sulfate degradation
CSNAT2m,-0.5324842949140354,0,33.02140681763436,108.24189817256928,Fatty acid oxidation
CSNATer,-1.3033679611006979,0,-517.4440007781982,68.15060995502286,Fatty acid oxidation
CSNATp,0.7425399035277301,0,668.4862030033112,98.768769637461,Fatty acid oxidation
CSNt,0.7966526799280799,0,75.12655936115831,8.502914716341897,"Transport, extracellular"
