Reaction,S1K1,S1K1_FC5,fc,pval,subSystem
r1828,2.8236833,65.39572,0.917217601,0,"Transport, extracellular"
r1837,4.3193088,96.027466,0.913912353,0,"Transport, extracellular"
r1846,72.133934,3.0283642,-0.919418,0,"Transport, extracellular"
r1865,8.090383,139.87819,0.890647276,0,"Transport, extracellular"
r1867,6.6910443,152.6578,0.916020174,0,"Transport, extracellular"
r1876,2.5146842,36.24219,0.870232875,0,"Transport, extracellular"
r1883,22.988718,1.7548798,-0.858154835,0,"Transport, extracellular"
r1885,32.23447,2.1082277,-0.877224098,0,"Transport, extracellular"
r1896,143.85805,13.030989,-0.83388274,0,"Transport, extracellular"
r1897,5.3158174,154.3265,0.933403409,0,"Transport, extracellular"
r1901,7.56086,292.3791,0.949584173,0,"Transport, extracellular"
r1904,72.39725,2.8772814,-0.923552317,0,"Transport, extracellular"
r1912,137.59534,4.760638,-0.933116427,0,"Transport, extracellular"
r1918,142.73936,3.5400043,-0.951599405,0,"Transport, extracellular"
r1921,12.1454,467.25876,0.949331267,0,"Transport, extracellular"
r1922,220.7848,4.15299,-0.963074325,0,"Transport, extracellular"
r1929,249.85197,7.039176,-0.945197214,0,"Transport, extracellular"
r1933,3.7079399,295.85443,0.975244288,0,"Transport, extracellular"
r1934,145.97818,6.9863796,-0.908653621,0,"Transport, extracellular"
r1936,114.72306,5.9158072,-0.901925357,0,"Transport, extracellular"
r1942,167.66193,9.754711,-0.890036118,0,"Transport, extracellular"
r1948,14.641561,469.5506,0.939521692,0,"Transport, extracellular"
r1956,133.88045,5.0587244,-0.927180732,0,"Transport, extracellular"
r1957,4.3999276,473.0909,0.981570628,0,"Transport, extracellular"
r1959,131.07777,11.441897,-0.839434126,0,"Transport, extracellular"
r1961,441.8402,8.510208,-0.962206279,0,"Transport, extracellular"
r1963,6.0917325,362.2974,0.966927731,0,"Transport, extracellular"
r1966,11.1110325,291.3821,0.926536959,0,"Transport, extracellular"
r1968,311.76624,6.765639,-0.957519862,0,"Transport, extracellular"
r1970,158.71547,6.466633,-0.921702979,0,"Transport, extracellular"
r1972,140.9746,6.540179,-0.911328488,0,"Transport, extracellular"
r1977,4.2736683,151.74065,0.945214408,0,"Transport, extracellular"
r1978,10.488666,458.66876,0.955287219,0,"Transport, extracellular"
r1982,1.8917433,466.1237,0.991915894,0,"Transport, extracellular"
r1987,110.59747,5.3005543,-0.908530733,0,"Transport, extracellular"
r1996,13.780562,465.5356,0.942499075,0,"Transport, extracellular"
r1997,4.873338,798.5434,0.987868467,0,"Transport, extracellular"
r1998,6.0467873,470.1098,0.974601687,0,"Transport, extracellular"
r2002,136.63983,7.511204,-0.895787027,0,"Transport, extracellular"
r2003,153.5501,9.848648,-0.879452579,0,"Transport, extracellular"
r2005,10.220973,173.95908,0.889011079,0,"Transport, extracellular"
r2006,848.5698,13.175774,-0.969420734,0,"Transport, extracellular"
r2007,3.3462985,130.86101,0.950132398,0,"Transport, extracellular"
r2009,6.7953525,190.9177,0.931260458,0,"Transport, extracellular"
r2012,20.508492,242.41997,0.84399946,0,"Transport, extracellular"
r2020,13.363009,462.2985,0.943812944,0,"Transport, extracellular"
r2029,9.620055,182.81412,0.900017184,0,"Transport, extracellular"
r2031,237.17764,12.840653,-0.89728229,0,"Transport, extracellular"
r2036,169.94147,6.7079463,-0.924053563,0,"Transport, extracellular"
r2044,169.37904,8.0151005,-0.909635109,0,"Transport, extracellular"
r2051,186.39441,16.198788,-0.840085575,0,"Transport, extracellular"
r2054,9.871179,459.52255,0.957940726,0,"Transport, extracellular"
r2055,27.92585,483.73746,0.890842865,0,"Transport, extracellular"
r2056,2.4573538,30.714643,0.851841666,0,"Transport, extracellular"
r2060,5.859176,472.83044,0.975519938,0,"Transport, extracellular"
r2063,434.98566,5.8046927,-0.973662343,0,"Transport, extracellular"
r2064,488.8222,4.5490003,-0.981559522,0,"Transport, extracellular"
r2067,3.6884458,40.16788,0.831794135,0,"Transport, extracellular"
r2080,-517.26685,134.72,1.70433203,0,"Transport, extracellular"
r2082,827.72797,-424.7869,-3.108432099,0,"Transport, extracellular"
r2088,5.9538326,-130.73189,-1.095430771,0,"Transport, extracellular"
r2089,-477.61896,414.86194,14.22121201,0,"Transport, extracellular"
r2092,-466.1309,21.777876,1.098020604,0,"Transport, extracellular"
r2093,-664.66174,91.59047,1.319647727,0,"Transport, extracellular"
r2095,-459.3903,28.983675,1.134680424,0,"Transport, extracellular"
r2097,395.29587,-124.34665,-1.917859331,0,"Transport, extracellular"
r2098,698.0895,-441.6018,-4.443454129,0,"Transport, extracellular"
r2101,-286.42307,32.47106,1.255725979,0,"Transport, extracellular"
r2102,268.39154,-100.320076,-2.193778711,0,"Transport, extracellular"
r2104,25.859383,-465.14435,-1.117733973,0,"Transport, extracellular"
r2105,214.5116,-199.00737,-26.67135772,0,"Transport, extracellular"
r2106,-66.05715,405.9537,1.388689731,0,"Transport, extracellular"
r2108,-358.29764,65.55408,1.447860068,0,"Transport, extracellular"
r2111,-189.3807,112.45794,3.92391802,0,"Transport, extracellular"
r2112,-89.29211,211.30823,2.463611655,0,"Transport, extracellular"
r2113,220.46298,-719.34607,-1.883826224,0,"Transport, extracellular"
r2114,65.290955,-377.1321,-1.418744907,0,"Transport, extracellular"
r2115,-183.06921,414.4976,2.582081039,0,"Transport, extracellular"
r2116,297.6089,-563.0784,-3.24213237,0,"Transport, extracellular"
r2123,-52.811256,442.6049,1.270970354,0,"Transport, extracellular"
r2124,415.26486,-420.6802,-154.366531,0,"Transport, extracellular"
r2125,-388.49933,286.79773,6.639983848,0,"Transport, extracellular"
r2126,14.469927,-491.75256,-1.060634624,0,"Transport, extracellular"
r2128,-457.28854,44.340164,1.214749199,0,"Transport, extracellular"
r2130,26.055567,465.88434,0.894070126,0,"Transport, extracellular"
r2132,-56.185455,45.26502,9.289964902,0,"Transport, extracellular"
r2139,-302.84033,299.14215,162.778271,0,"Transport, extracellular"
r2140,-204.49892,419.6516,2.900965325,0,"Transport, extracellular"
r2141,-205.53697,195.0689,38.26926845,0,"Transport, extracellular"
r2142,-81.28393,214.1384,2.22365366,0,"Transport, extracellular"
r2153,228.61667,8.229088,-0.930511,0,"Transport, extracellular"
r2157,35.218945,1.9016845,-0.897540275,0,"Transport, extracellular"
r2172,267.06824,1.9077479,-0.985814734,0,"Transport, extracellular"
r2173,17.313555,1.6647668,-0.824561234,0,"Transport, extracellular"
r2175,1.034099,18.676714,0.895072928,0,"Transport, extracellular"
r2185,3.098423,273.5117,0.97759718,0,"Transport, extracellular"
r2192,174.23178,6.571072,-0.927312296,0,"Transport, extracellular"
r2195,327.0115,-739.0277,-2.58737198,0,"Transport, extracellular"
r2196,66.033424,1.2134961,-0.963909245,0,"Transport, extracellular"
r2202,-61.69172,852.7805,1.155966614,0,"Transport, extracellular"
r2209,14.945514,284.3918,0.900142653,0,"Transport, extracellular"
r2215,2.4637117,34.777077,0.867687461,0,"Transport, extracellular"
r2217,91.80133,1.8160309,-0.961203119,0,"Transport, extracellular"
r2222,105.08025,9.12008,-0.840279253,0,"Transport, extracellular"
r2224,2.5777922,33.334564,0.856439807,0,"Transport, extracellular"
r2229,175.10612,8.998462,-0.9022462,0,"Transport, extracellular"
r2236,30.254108,1.8261354,-0.886152036,0,"Transport, extracellular"
r2242,97.9751,5.273835,-0.897842334,0,"Transport, extracellular"
r2245,88.389595,5.917341,-0.874508891,0,"Transport, extracellular"
r2250,6.380423,201.59866,0.938643608,0,"Transport, extracellular"
r2251,3.3959858,69.34434,0.906627138,0,"Transport, extracellular"
r2258,14.67328,416.17636,0.931886776,0,"Transport, extracellular"
r2259,25.25525,2.2363513,-0.837306588,0,"Transport, extracellular"
r2260,233.87683,3.1599705,-0.973337721,0,"Transport, extracellular"
r2262,23.140062,367.16763,0.881426557,0,"Transport, extracellular"
r2264,51.609478,2.5220997,-0.906815949,0,"Transport, extracellular"
r2265,3.4890325,418.79813,0.983475545,0,"Transport, extracellular"
r2269,188.88382,2.4293854,-0.974603054,0,"Transport, extracellular"
r2275,374.17334,4.571629,-0.975859066,0,"Transport, extracellular"
r2293,42.365593,3.4108434,-0.850978206,0,"Transport, extracellular"
r2296,1.8242711,408.4601,0.991107285,0,"Transport, extracellular"
r2297,466.2634,1.1901788,-0.994907821,0,"Transport, extracellular"
r2299,3.9552917,589.5704,0.986671876,0,"Transport, extracellular"
r2300,7.9532547,138.9758,0.891740204,0,"Transport, extracellular"
r2301,2.258939,416.20383,0.989203632,0,"Transport, extracellular"
r2307,119.43585,7.9216423,-0.875599899,0,"Transport, extracellular"
r2316,128.54247,-191.90483,-5.057376027,0,"Transport, extracellular"
r2317,-265.1064,133.52702,3.029604159,0,"Transport, extracellular"
r2318,383.4821,4.6666336,-0.975954404,0,"Transport, extracellular"
r2320,27.338112,-698.7789,-1.081431191,0,"Transport, extracellular"
r2322,417.16565,-423.611,-130.4470822,0,"Transport, extracellular"
r2324,599.5994,-505.51605,-11.74613101,0,"Transport, extracellular"
r2326,-22.265741,47.0439,2.797207188,0,"Transport, extracellular"
r2327,92.06881,-16.582293,-1.439344445,0,"Transport, extracellular"
r2328,-133.30447,331.84543,2.34284129,0,"Transport, extracellular"
r2329,81.41773,-447.74506,-1.444508128,0,"Transport, extracellular"
r2330,-397.9003,-22.586086,0.892571615,0,"Transport, extracellular"
