Reaction,S1K,S1K_FC5,fc,pval,subSystem
r2331,260.43152,-501.562,-3.160088057,0,"Transport, extracellular"
r2334,-374.56836,217.84468,3.779984237,0,"Transport, extracellular"
r2343,44.131973,-194.50969,-1.586948316,0,"Transport, extracellular"
r2344,6.102907,-116.51296,-1.110549842,0,"Transport, extracellular"
r2347,362.92184,-97.221176,-1.73180979,0,"Transport, extracellular"
r2352,-246.7337,66.29727,1.73485451,0,"Transport, extracellular"
r2354,383.64664,-120.46941,-1.915500213,0,"Transport, extracellular"
r2357,225.09206,-678.7648,-1.992310301,0,"Transport, extracellular"
r2358,165.67827,-118.288536,-5.992157167,0,"Transport, extracellular"
r2359,286.76584,-80.99627,-1.787252137,0,"Transport, extracellular"
r2360,-89.24188,823.406,1.243111535,0,"Transport, extracellular"
r2361,187.02264,-139.48863,-6.869001938,0,"Transport, extracellular"
r2362,-78.52331,345.69348,1.587814942,0,"Transport, extracellular"
r2364,-61.98225,354.4282,1.423888602,0,"Transport, extracellular"
r2365,5.919988,-105.90862,-1.118413214,0,"Transport, extracellular"
r2368,269.6321,-91.53533,-2.027927881,0,"Transport, extracellular"
r2369,-84.93449,383.65787,1.56864976,0,"Transport, extracellular"
r2372,101.644356,-189.87935,-3.303946654,0,"Transport, mitochondrial"
r2376,263.24524,15.128075,-0.891310881,0,"Transport, mitochondrial"
r2506,-5.2676015,-409.53995,-0.974602191,0,"Transport, endoplasmic reticular"
r2508,189.78705,-79.87825,-2.453537063,0,"Transport, endoplasmic reticular"
r2510,29.823713,2.4179323,-0.85001186,0,"Transport, endoplasmic reticular"
r2516,4.4139514,454.83615,0.980777571,0,"Transport, peroxisomal"
r2525,81.09781,835.98315,0.823139255,0,"Transport, extracellular"
r2534,141.1117,6.4961724,-0.911980678,0,"Transport, extracellular"
r2535,55.30728,-54.82613,-228.8966768,0,"Transport, extracellular"
r2537,-156.1944,30.480904,1.484926489,0,"Transport, endoplasmic reticular"
EX_so3[e],41.54355,-42.030376,-171.6709797,0,Exchange/demand reaction
RE0344C,2.84763,-188.94937,-1.030602937,0,Fatty acid synthesis
RE0577C,-184.71118,1.2760935,1.013913297,0,Fatty acid synthesis
RE1448N,-887.2814,-81.11216,0.832480987,0,Phosphatidylinositol phosphate metabolism
RE1521M,0.10322571,5.310573,0.961865701,0,Fatty acid oxidation
RE1526M,0.10322571,5.310573,0.961865701,0,Fatty acid oxidation
RE1533M,0.10322571,5.310573,0.961865701,0,Fatty acid oxidation
RE1573M,0.10322571,5.310573,0.961865701,0,Fatty acid oxidation
RE1845C,-8.520738,112.80042,1.163420839,0,Bile acid synthesis
RE2269E,-44.28452,145.01787,1.879242452,0,Miscellaneous
RE2273E,-581.5411,-33.3963,0.891383068,0,Miscellaneous
RE2541E,-124.1427,84.443115,5.2541043,0,Miscellaneous
RE2888C,4.219959,-829.3693,-1.010228351,0,Purine catabolism
RE2973N,882.5341,81.11216,-0.83165572,0,Phosphatidylinositol phosphate metabolism
RE3036C,-16.608644,2.9307706,1.428541892,0,Arachidonic acid metabolism
RE3038C,-140.23962,-2.9307706,0.959058984,0,Arachidonic acid metabolism
RE3269C,7.0916724,0.6105132,-0.84147014,0,Phosphatidylinositol phosphate metabolism
RE3520E,371.39874,5.1170554,-0.972818909,0,Arachidonic acid metabolism
RE3597C,61.437263,-2.3358126,-1.079044174,0,Eicosanoid metabolism
EX_prostgi2[e],174.23828,-58.927593,-2.022066525,0,Exchange/demand reaction
EX_CE5788[e],-44.28452,145.01787,1.879242452,0,Exchange/demand reaction
EX_CE5797[e],581.5411,33.3963,-0.891383068,0,Exchange/demand reaction
EX_CE5798[e],-581.5411,-33.3963,0.891383068,0,Exchange/demand reaction
EX_CE5854[e],124.1427,-84.443115,-5.2541043,0,Exchange/demand reaction
EX_CE1926[e],-124.1427,84.443115,5.2541043,0,Exchange/demand reaction
EX_CE0074[e],4.219959,-829.3693,-1.010228351,0,Exchange/demand reaction
EX_C04849[e],371.39874,5.1170554,-0.972818909,0,Exchange/demand reaction
ADPCOACROT,0.044941716,-6.487831,-1.013950796,0,Fatty acid oxidation
C18OHc,3.2392888,34.099045,0.826489897,0,Fatty acid oxidation
C2tcx,-67.56231,106.32609,4.485847046,0,"Transport, peroxisomal"
C6DCCACT,0.044941716,-6.487831,-1.013950796,0,Fatty acid oxidation
EX_3octdeccrn[e],3.2392888,34.099045,0.826489897,0,Exchange/demand reaction
FAOXC12DCTc,0.013560884,-3.6006238,-1.007560996,0,Fatty acid oxidation
FAOXC12DCx,0.013560884,-3.6006238,-1.007560996,0,Fatty acid oxidation
FAOXC18C18OHm,3.2392888,34.099045,0.826489897,0,Fatty acid oxidation
HOCDACBP,3.2392888,34.099045,0.826489897,0,Fatty acid oxidation
HOCTDECCRNe,3.2392888,34.099045,0.826489897,0,Fatty acid oxidation
CYSSNAT5tc,74.953514,-253.90967,-1.837674609,0,"Transport, extracellular"
CYSTALArBATtc,235.52757,15.623585,-0.875584206,0,"Transport, extracellular"
PEHSFABPe,282.86484,-28.042343,-1.220093153,0,"Transport, endoplasmic reticular"
PROGLYPRO1c,87.94647,-912.4728,-1.213326063,0,"Transport, extracellular"
CYTDt5le,298.36707,6.4569287,-0.957635038,0,"Transport, extracellular"
FRDPtcr,1.3235769,-0.24588759,-1.45632369,0,"Transport, endoplasmic reticular"
SPRMTDe,61.604675,-595.75366,-1.230664749,0,"Transport, extracellular"
THMDt5le,7.055797,74.534966,0.827044223,0,"Transport, extracellular"
LKYNRtr2,1.1214712,-0.9080885,-9.511361316,0,"Transport, extracellular"
HKYNRtr,247.82,-52.540176,-1.538101412,0,"Transport, extracellular"
EX_hLkynr[e],-247.82,52.540176,1.538101412,0,Exchange/demand reaction
ARGB0AT3tc,44.374676,4.027038,-0.833599365,0,"Transport, extracellular"
BETBGTtc,-71.367775,206.53719,2.055975177,0,"Transport, extracellular"
BUTSMCT1,101.80749,-411.06326,-1.658403119,0,"Transport, extracellular"
FOLOAT2tc,536.447,8.679683,-0.968155356,0,"Transport, extracellular"
PPASMCT1,26.9017,-606.87836,-1.092768221,0,"Transport, extracellular"
MANt4,177.56633,-200.6622,-16.37646369,0,"Transport, extracellular"
TRPt,-7.075493,133.35101,1.112064357,0,"Transport, extracellular"
RETt,542.5333,16.596922,-0.940633071,0,"Transport, extracellular"
L_LACt4r,102.3667,-194.85474,-3.213620456,0,"Transport, extracellular"
EX_nwharg[e],15.56147,-2.5304816,-1.388379065,0,Exchange/demand reaction
NWHARGtd,15.56147,-2.5304816,-1.388379065,0,"Transport, extracellular"
EX_ttdcea[e],12.69874,149.93352,0.84383491,0,Exchange/demand reaction
TTDCEAt,12.69874,149.93352,0.84383491,0,"Transport, extracellular"
EX_progly[e],-87.94647,912.4728,1.213326063,0,Exchange/demand reaction
SPRMt2r,-93.789795,437.0967,1.546390363,0,"Transport, extracellular"
PROSTGE2t2r,-6.2430334,511.30194,1.024722001,0,"Transport, endoplasmic reticular"
sink_HC02198[c],321.43414,4.2637935,-0.973817499,0,Exchange/demand reaction
DHCHOLESTANATEt,-388.3024,-2.5538623,0.986931962,0,"Transport, extracellular"
XOL7AH3t,402.0613,-2.7623744,-1.013836122,0,"Transport, extracellular"
ACACt2,-407.5168,255.61548,4.365545856,0,"Transport, extracellular"
BUTt2r,-122.29983,642.5052,1.470198279,0,"Transport, extracellular"
DHORTS,-269.98907,-6.261841,0.954665556,0,Pyrimidine synthesis
DHPR,457.80515,27.28589,-0.887501977,0,Tetrahydrobiopterin metabolism
DURIPP,-89.75266,655.4166,1.317335646,0,Nucleotide interconversion
EX_co2[e],-133.47278,261.9539,3.077702688,0,Exchange/demand reaction
EX_duri[e],496.63785,5.7884216,-0.976958125,0,Exchange/demand reaction
EX_glypro[e],904.6099,-17.406706,-1.039239504,0,Exchange/demand reaction
EX_urea[e],132.9116,-578.5882,-1.596448648,0,Exchange/demand reaction
G3PD1,-53.86187,243.15947,1.569070784,0,Glycerophospholipid metabolism
GHMT2r,11.158784,-160.3149,-1.149625568,0,"Glycine, serine, alanine, and threonine metabolism"
GK1,97.41896,-27.11395,-1.771323344,0,Nucleotide interconversion
GLYPROPRO1c,-904.6099,17.406706,1.039239504,0,"Transport, extracellular"
L_LACt2r,-335.83966,26.84975,1.173790476,0,"Transport, extracellular"
MTHFC,49.02974,-194.91037,-1.672189817,0,Folate metabolism
MTHFD,-115.760475,56.527958,2.908680035,0,Folate metabolism
NDPK2,6.649532,-210.63437,-1.065196336,0,Nucleotide interconversion
NDPK4,132.45187,-113.5701,-13.02959463,0,Nucleotide interconversion
PGMT,596.13983,-15.506858,-1.053413632,0,Glycolysis/gluconeogenesis
PROD2,23.037703,345.1518,0.874859531,0,Arginine and proline metabolism
PUNP1,255.52354,-98.35614,-2.251609791,0,Nucleotide interconversion
PUNP2,2.3308594,-54.530396,-1.089305751,0,Purine catabolism
PUNP4,523.4094,-43.819332,-1.182736599,0,Purine catabolism
PUNP5,-262.48895,225.76363,13.29471659,0,Purine catabolism
UMPK,-345.48337,24.531593,1.152867782,0,Nucleotide interconversion
UREAt,-336.39117,30.75086,1.201222542,0,"Transport, extracellular"
VALTA,-777.8305,-14.437067,0.963555073,0,"Valine, leucine, and isoleucine metabolism"
r0345,-181.15218,175.55182,63.69315899,0,Nucleotide interconversion
EX_pnto_R[e],-16.18234,5.5919995,2.056056587,0,Exchange/demand reaction
EX_nac[e],-0.0794824,-13.566543,-0.988350835,0,Exchange/demand reaction
ALCD1,534.7141,-215.1545,-2.346568821,0,Miscellaneous
CYTK1,160.81148,-4.7259693,-1.060556161,0,Nucleotide interconversion
CYTK2,-297.2449,113.376335,2.233232354,0,Nucleotide interconversion
EX_malt[e],41.89928,-109.723816,-2.235520092,0,Exchange/demand reaction
EX_ura[e],63.922363,825.7631,0.856303465,0,Exchange/demand reaction
LDH_L,-444.20114,261.48837,3.862289094,0,Glycolysis/gluconeogenesis
MDH,-153.40794,-7.270116,0.909507058,0,Citric acid cycle
MI1PP,306.04666,16.335367,-0.898658328,0,Inositol phosphate metabolism
r0792,-9.7257185,-144.03116,-0.87349224,0,Folate metabolism
MTHFD2,46.84257,-574.2971,-1.177617478,0,Folate metabolism
AHC,-79.4538,339.0064,1.612236619,0,Methionine and cysteine metabolism
EX_phpyr[e],-130.58653,29.718866,1.589264462,0,Exchange/demand reaction
PHPYRte,130.58653,-29.718866,-1.589264462,0,"Transport, extracellular"
APRGSTRNt1e,-16.22485,71.17122,1.590570441,0,"Transport, extracellular"
MHISTAte,-3.2654498,31.531166,1.231053752,0,"Transport, extracellular"
CE4890te2,346.48016,-397.02814,-14.70894878,0,"Transport, extracellular"
CE4890te,-346.48016,397.02814,14.70894878,0,"Transport, extracellular"
MLTHFte3,530.5615,15.320029,-0.943870504,0,"Transport, extracellular"
MLTHFte2,-193.54436,-15.320029,0.853301655,0,"Transport, extracellular"
34DHOXMANDte,41.4906,-134.72469,-1.890030765,0,"Transport, extracellular"
EX_34dhoxmand[e],41.4906,-134.72469,-1.890030765,0,Exchange/demand reaction
SPHGNSte,58.48468,-43.32734,-6.71700891,0,"Transport, extracellular"
EX_sphings[e],61.84658,-40.490585,-4.791963961,0,Exchange/demand reaction
GGTe_1,4.1601014,-242.34773,-1.0349313,0,Tyrosine metabolism
NH4tr,-75.11199,-2.5174804,0.935141124,0,"Transport, endoplasmic reticular"
DM_pail35p_hs[n],882.5341,81.11216,-0.83165572,0,Exchange/demand reaction
CATr,225.89767,10.178802,-0.913766912,0,ROS detoxification
EX_5cysgly34dhphe[e],4.1601014,-242.34773,-1.0349313,0,Miscellaneous
HMR_0167,3.2385595,-13.338968,-1.641272894,0,"Transport, extracellular"
HMR_0197,4.043197,131.40889,0.9403007,0,Fatty acid oxidation
HMR_0201,14.292927,154.74104,0.830886946,0,Fatty acid oxidation
HMR_0268,10.537298,445.0675,0.953743691,0,Fatty acid oxidation
HMR_1095,-230.21318,170.80423,6.750118197,0,"Transport, nuclear"
HMR_1307,5.237292,626.75854,0.983426183,0,Eicosanoid metabolism
HMR_1321,-25.215517,-504.74384,-0.904839806,0,Eicosanoid metabolism
HMR_1331,-29.427063,-406.32495,-0.864936654,0,"Transport, endoplasmic reticular"
HMR_2287,6.0703382,100.38068,0.885950576,0,Fatty acid synthesis
HMR_2611,-6.0699387,-139.85281,-0.916806139,0,Fatty acid oxidation
HMR_2624,347.98972,-0.619453,-1.003566529,0,"Transport, mitochondrial"
HMR_2633,6.0703382,100.38068,0.885950576,0,Fatty acid oxidation
HMR_2634,-2.556911,-314.371,-0.983864401,0,"Transport, mitochondrial"
HMR_2635,5.5517244,-0.25528637,-1.096399257,0,"Transport, mitochondrial"
HMR_2644,-341.82852,0.51368064,1.003010011,0,"Transport, mitochondrial"
HMR_2660,-0.25966817,-3.5721078,-0.864465894,0,Fatty acid oxidation
HMR_2661,-0.25966817,-3.5721078,-0.864465894,0,"Transport, mitochondrial"
HMR_2662,0.25966817,3.5721078,0.864465894,0,"Transport, mitochondrial"
HMR_2679,-255.32307,-3.791941,0.9707316,0,"Transport, mitochondrial"
HMR_2718,173.66515,-107.29319,-4.233087825,0,"Transport, mitochondrial"
HMR_2722,-141.35,1.9639115,1.028179448,0,"Transport, mitochondrial"
HMR_2748,288.85635,6.398772,-0.956655983,0,"Transport, mitochondrial"
HMR_2753,-557.246,-13.039194,0.954271322,0,"Transport, mitochondrial"
HMR_2757,613.6238,1.0212127,-0.996677065,0,"Transport, mitochondrial"
HMR_2861,0.1942879,4.6696024,0.92011008,0,"Transport, endoplasmic reticular"
HMR_2862,-0.1942879,-4.6696024,-0.92011008,0,"Transport, endoplasmic reticular"
HMR_2884,-181.38461,29.353384,1.386149401,0,"Transport, endoplasmic reticular"
HMR_2886,181.38461,-29.353384,-1.386149401,0,"Transport, endoplasmic reticular"
HMR_3121,104.41418,8.006561,-0.857560775,0,Fatty acid oxidation
HMR_4700,535.701,44.50431,-0.846591155,0,"Glycine, serine, alanine, and threonine metabolism"
HMR_6515,6.077774,89.477615,0.872790543,0,Methionine and cysteine metabolism
HMR_6854,-46.424225,-2.887281,0.882896251,0,Phenylalanine metabolism
HMR_7748,723.4005,28.668959,-0.92375981,0,Glycolysis/gluconeogenesis
HMR_7749,-723.4005,-28.668959,0.92375981,0,Glycolysis/gluconeogenesis
HMR_7758,-1.4618758,6.174807,1.620367926,0,"Transport, mitochondrial"
HMR_8476,-224.53415,-7.614467,0.93440007,0,"Transport, nuclear"
HMR_9561,542.5333,16.596922,-0.940633071,0,Miscellaneous
HMR_9604,6.460228,120.10013,0.897910719,0,"Transport, extracellular"
HMR_9639,4.219959,-829.3693,-1.010228351,0,"Transport, extracellular"
HMR_9805,246.0216,21.329762,-0.840436492,0,Glycerophospholipid metabolism
3DHLCAt,-60.476124,705.3688,1.187554067,0,"Transport, extracellular"
COPROSTt,-52.40794,647.62,1.176098389,0,"Transport, extracellular"
EX_3dhlchol[e],5.541019,-712.99023,-1.015664782,0,Exchange/demand reaction
EX_hyochol[e],6.965102,-1.0103424,-1.339339418,0,Exchange/demand reaction
HDCA24GSc,99.37188,5.9732394,-0.886596752,0,Bile acid synthesis
ICDCHOLt,11.248847,-52.21841,-1.549131918,0,"Transport, extracellular"
1OHMDZtep,0.087354936,-1.263951,-1.148487569,0,Drug metabolism
2HATVLACthc,132.74512,-668.7208,-1.49534,0,Drug metabolism
35DHPVSthc,-708.1799,-1.4727207,0.99584946,0,Drug metabolism
3HPVSthc,21.760557,-654.71783,-1.068758374,0,Drug metabolism
4HATVACIDthc,-699.1279,-4.8263783,0.98628781,0,Drug metabolism
ALLOP2tu,567.1102,4.8519616,-0.983033978,0,Drug metabolism
CRVSthc,-153.50453,11.993439,1.169505271,0,Drug metabolism
EX_1ohmdz[e],0.087354936,-1.263951,-1.148487569,0,Exchange/demand reaction
EX_ibup_S[e],-9.320077,-0.63512063,0.872404231,0,Exchange/demand reaction
FVStu,-19.750704,-424.1559,-0.911014144,0,Drug metabolism
IBUP_Stdhep,9.320077,929.799,0.980151447,0,Drug metabolism
1OHMDZitr,0.087354936,-1.263951,-1.148487569,0,Drug metabolism
ATVLACitr,2.8908641,0.164407,-0.892378131,0,Drug metabolism
EX_caproic[e],-3.2385595,13.338968,1.641272894,0,Exchange/demand reaction
EX_M00260[e],0.62262803,-1.1251606,-3.477961229,0,Exchange/demand reaction
EX_M02745[e],-0.61182004,2.2614527,1.741765111,0,Exchange/demand reaction
EX_M02837[e],-542.5333,-16.596922,0.940633071,0,Exchange/demand reaction
