Reaction,S1K,S1K_FC5,fc,pval,subSystem
r0591,-8.776832,10.991417,8.926387183,0,CoA synthesis
r0594,644.2545,20.020832,-0.939721281,0,Lysine metabolism
r0629,-126.18004,44.364697,2.084508055,0,Bile acid synthesis
r0688,-352.41626,23.457615,1.14261742,0,Bile acid synthesis
r0739,-352.41626,23.457615,1.14261742,0,Bile acid synthesis
r0812,277.5251,-76.25216,-1.757699112,0,Purine catabolism
r0917,-416.6607,452.60583,24.18314264,0,"Transport, mitochondrial"
r0960,5.2676015,409.53995,0.974602191,0,"Transport, endoplasmic reticular"
r0998,-125.70595,174.24069,6.180040146,0,"Transport, endoplasmic reticular"
r1147,517.65204,-38.698246,-1.161594913,0,"Transport, peroxisomal"
r1501,20.729357,1.9275401,-0.829849588,0,"Transport, extracellular"
r1544,-267.96625,387.12683,5.49756611,0,"Transport, extracellular"
r1547,83.76951,-180.33597,-2.73496066,0,"Transport, extracellular"
r1551,-432.37906,153.71458,2.103223514,0,"Transport, extracellular"
r1556,481.2141,-446.67584,-26.86559247,0,"Transport, extracellular"
r1557,365.80914,-59.763596,-1.390553561,0,"Transport, extracellular"
r1562,97.2382,-541.5065,-1.437745354,0,"Transport, extracellular"
r1563,-890.591,45.11156,1.106712389,0,"Transport, extracellular"
r1568,-56.900818,440.9704,1.296304713,0,"Transport, extracellular"
r1569,-488.27426,417.12997,12.72631411,0,"Transport, extracellular"
r1570,482.23444,-501.16824,-51.93907317,0,"Transport, extracellular"
r1576,-15.992636,417.459,1.079671108,0,"Transport, extracellular"
r1578,-396.38223,256.60156,4.671489605,0,"Transport, extracellular"
r1580,121.76096,-289.0771,-2.455460209,0,"Transport, extracellular"
r1581,-359.09512,408.8458,15.43578847,0,"Transport, extracellular"
r1588,859.2588,-450.167,-3.200811962,0,"Transport, extracellular"
r1589,137.43042,-780.71716,-1.427275763,0,"Transport, extracellular"
r1596,-425.7198,630.892,5.149878485,0,"Transport, extracellular"
r1598,451.6458,-7.041621,-1.031675909,0,"Transport, extracellular"
r1599,-436.45416,53.67532,1.280450818,0,"Transport, extracellular"
r1600,-424.8793,349.96042,10.34238533,0,"Transport, extracellular"
r1603,-881.0016,120.25842,1.316160403,0,"Transport, extracellular"
r1604,842.4577,-440.7591,-3.194476742,0,"Transport, extracellular"
r1605,423.1029,-342.45926,-9.493146059,0,"Transport, extracellular"
r1606,-413.91278,1.7397648,1.008441915,0,"Transport, extracellular"
r1609,-406.62128,809.2079,3.020043627,0,"Transport, extracellular"
r1611,-31.770266,66.73796,2.817120939,0,"Transport, extracellular"
r1612,-29.88999,73.587166,2.368051222,0,"Transport, extracellular"
r1615,859.6999,-494.59686,-3.709355077,0,"Transport, extracellular"
