Reaction,S1C2,S1K2,fc,pval,subSystem
r1604,71.857574,-182.31116,-2.301136073,0,"Transport, extracellular"
r1606,364.87988,-54.818695,-1.353599197,0,"Transport, extracellular"
r1607,-50.732643,0.22884974,1.009062674,0,"Transport, extracellular"
r1610,-350.4067,-8.458256,0.952861069,0,"Transport, extracellular"
r1611,478.978,-416.57477,-14.35106146,0,"Transport, extracellular"
r1614,310.72333,-88.38588,-1.79506071,0,"Transport, extracellular"
r1618,60.38198,-407.65765,-1.347746675,0,"Transport, extracellular"
r1620,-135.88,203.89767,4.995431909,0,"Transport, extracellular"
r1621,-138.45229,50.682133,2.154883209,0,"Transport, extracellular"
r1622,-356.4817,364.56287,89.22524076,0,"Transport, extracellular"
r1623,-170.9569,458.52206,2.188995799,0,"Transport, extracellular"
r1625,38.89331,-3.9055579,-1.223252847,0,"Transport, extracellular"
r1628,44.22286,618.59845,0.866561744,0,"Transport, extracellular"
r1630,30.136238,-421.88095,-1.15385652,0,"Transport, extracellular"
r1631,-389.14276,844.2168,2.710239331,0,"Transport, extracellular"
r1632,-729.2732,16.168264,1.045346101,0,"Transport, extracellular"
r1634,-408.3171,79.35722,1.482473571,0,"Transport, extracellular"
r1635,-491.5158,170.16681,2.059077961,0,"Transport, extracellular"
r1637,-802.58875,81.51709,1.226099835,0,"Transport, extracellular"
r1638,247.89392,-842.0627,-1.834422604,0,"Transport, extracellular"
r1641,-119.00652,466.4327,1.685075206,0,"Transport, extracellular"
r1642,-726.72284,-32.546043,0.914270047,0,"Transport, extracellular"
r1643,307.42947,-463.04095,-4.95124415,0,"Transport, extracellular"
r1645,63.4101,-327.59894,-1.480036149,0,"Transport, extracellular"
r1646,56.14675,-386.01166,-1.340422678,0,"Transport, extracellular"
r1649,59.742588,-365.84958,-1.39033792,0,"Transport, extracellular"
r1650,-726.4391,75.97911,1.233616543,0,"Transport, extracellular"
r1651,-58.516945,-848.9322,-0.871029811,0,"Transport, extracellular"
r1652,-340.5566,47.313305,1.322689763,0,"Transport, extracellular"
r1656,501.7414,-52.71305,-1.234787174,0,"Transport, extracellular"
r1657,73.53991,-112.24107,-4.800397899,0,"Transport, extracellular"
r1658,13.199598,169.92363,0.85583916,0,"Transport, extracellular"
r1665,-377.40552,457.6959,10.40101848,0,"Transport, extracellular"
r1666,267.6362,25.755,-0.824432372,0,"Transport, extracellular"
r1668,-425.2051,107.715965,1.678548898,0,"Transport, extracellular"
r1670,10.567277,-566.8862,-1.037989991,0,"Transport, extracellular"
r1671,-207.43254,300.9938,5.434153964,0,"Transport, extracellular"
r1686,100.815094,6.865496,-0.872484046,0,"Transport, extracellular"
r1716,16.44049,180.41824,0.83297168,0,"Transport, extracellular"
r1752,4.171083,137.66435,0.941184195,0,"Transport, extracellular"
r1756,3.443738,57.943363,0.887802561,0,"Transport, extracellular"
r1761,8.049906,147.58337,0.896552911,0,"Transport, extracellular"
r1766,7.6010365,156.7161,0.907483333,0,"Transport, extracellular"
r1769,138.60394,6.5405126,-0.909875824,0,"Transport, extracellular"
r1776,165.89159,4.510114,-0.947064919,0,"Transport, extracellular"
r1783,14.938244,192.06418,0.855670828,0,"Transport, extracellular"
r1792,5.8486586,165.26352,0.931639485,0,"Transport, extracellular"
r1796,44.622005,4.0236673,-0.834572459,0,"Transport, extracellular"
r1797,101.18393,6.7236166,-0.875381908,0,"Transport, extracellular"
r1800,7.394044,94.55148,0.854941281,0,"Transport, extracellular"
r1801,5.378136,163.0414,0.936134058,0,"Transport, extracellular"
r1803,4.4313345,67.6519,0.877049516,0,"Transport, extracellular"
r1821,209.1423,19.48384,-0.829557201,0,"Transport, extracellular"
r1823,4.918741,67.308846,0.863798808,0,"Transport, extracellular"
r1836,13.606575,223.53598,0.885245611,0,"Transport, extracellular"
r1843,6.520289,135.3081,0.908053819,0,"Transport, extracellular"
r1846,10.503731,120.19424,0.839267109,0,"Transport, extracellular"
r1855,4.3301606,113.58566,0.926555052,0,"Transport, extracellular"
r1877,131.39781,8.524021,-0.878160239,0,"Transport, extracellular"
r1882,1.5227517,113.88961,0.973611983,0,"Transport, extracellular"
r1888,14.317884,234.52942,0.884926344,0,"Transport, extracellular"
r1890,2.0541775,26.370438,0.855464882,0,"Transport, extracellular"
r1893,11.071682,435.19073,0.950380397,0,"Transport, extracellular"
r1903,5.702923,378.1017,0.970282156,0,"Transport, extracellular"
r1914,177.72687,3.6797547,-0.959430867,0,"Transport, extracellular"
r1922,74.78638,5.702264,-0.858308846,0,"Transport, extracellular"
r1924,354.6603,4.9409423,-0.972519882,0,"Transport, extracellular"
r1936,11.411969,142.62103,0.851824372,0,"Transport, extracellular"
r1939,4.7742834,446.5,0.978840881,0,"Transport, extracellular"
r1940,227.83278,8.989048,-0.924085987,0,"Transport, extracellular"
r1941,264.812,19.036045,-0.865871578,0,"Transport, extracellular"
r1946,134.65953,6.4209657,-0.908974436,0,"Transport, extracellular"
r1948,3.7157106,428.4924,0.982805918,0,"Transport, extracellular"
r1949,15.698734,180.54712,0.84000953,0,"Transport, extracellular"
r1951,214.16878,8.398371,-0.924531803,0,"Transport, extracellular"
r1956,446.97604,10.926006,-0.952277978,0,"Transport, extracellular"
r1957,321.50803,7.2451506,-0.955923464,0,"Transport, extracellular"
r1959,117.91994,4.039976,-0.933749116,0,"Transport, extracellular"
r1964,143.61694,9.650405,-0.874070967,0,"Transport, extracellular"
r1966,8.532166,156.24854,0.896442176,0,"Transport, extracellular"
r1967,12.460165,220.79018,0.893160582,0,"Transport, extracellular"
r1969,346.88214,21.103926,-0.885300411,0,"Transport, extracellular"
r1977,156.69824,3.2515872,-0.959342412,0,"Transport, extracellular"
r1978,24.824266,330.1257,0.860125267,0,"Transport, extracellular"
r1988,235.88315,11.064947,-0.91038646,0,"Transport, extracellular"
r1992,220.64253,2.0018542,-0.982017474,0,"Transport, extracellular"
r1993,442.408,9.54556,-0.957758667,0,"Transport, extracellular"
r1994,649.2499,16.359503,-0.950843533,0,"Transport, extracellular"
r1995,13.460511,414.9189,0.937156124,0,"Transport, extracellular"
r1998,7.4920063,255.8488,0.943100301,0,"Transport, extracellular"
r1999,2.588832,230.61728,0.977797907,0,"Transport, extracellular"
r2002,319.5502,3.3746648,-0.979099382,0,"Transport, extracellular"
r2003,6.7926836,112.76958,0.88637412,0,"Transport, extracellular"
r2004,224.57483,2.9525714,-0.974046452,0,"Transport, extracellular"
r2005,443.46115,4.936574,-0.977981269,0,"Transport, extracellular"
