Reaction,S1C2,S1K2,fc,pval,subSystem
r2067,330.019,9.706806,-0.942855057,0,"Transport, extracellular"
r2079,229.05286,-394.63324,-3.766666395,0,"Transport, extracellular"
r2081,-420.79654,576.0344,6.421312582,0,"Transport, extracellular"
r2083,-70.49738,93.132095,7.229138314,0,"Transport, extracellular"
r2085,18.11411,-99.961365,-1.442632094,0,"Transport, extracellular"
r2086,-29.681234,51.83164,3.679972332,0,"Transport, extracellular"
r2088,-132.36446,330.85602,2.333703466,0,"Transport, extracellular"
r2089,180.17046,-262.15894,-5.395017597,0,"Transport, extracellular"
r2090,264.41647,-53.1374,-1.503006686,0,"Transport, extracellular"
r2091,17.25029,-10.853579,-4.393488175,0,"Transport, extracellular"
r2092,28.42074,-37.287212,-7.410834602,0,"Transport, extracellular"
r2094,718.2087,-110.62676,-1.36415422,0,"Transport, extracellular"
r2095,-660.63544,286.73715,2.533770889,0,"Transport, extracellular"
r2096,547.8088,38.594406,-0.868369039,0,"Transport, extracellular"
r2097,-95.73028,306.90332,1.90665236,0,"Transport, extracellular"
r2098,-460.0553,213.35013,2.729596051,0,"Transport, extracellular"
r2099,-473.0289,50.839108,1.240835328,0,"Transport, extracellular"
r2100,76.65865,-21.895855,-1.799661588,0,"Transport, extracellular"
r2102,-95.86826,26.533052,1.765355792,0,"Transport, extracellular"
r2103,-11.814684,743.0155,1.032315839,0,"Transport, extracellular"
r2104,149.75308,-59.489582,-2.318131238,0,"Transport, extracellular"
r2106,439.11264,-294.80566,-5.085811855,0,"Transport, extracellular"
r2107,735.9758,-360.90598,-2.924473209,0,"Transport, extracellular"
r2108,-149.74342,134.34247,18.44598814,0,"Transport, extracellular"
r2110,310.89792,-292.31445,-32.45960185,0,"Transport, extracellular"
r2112,-8.848603,-103.79213,-0.842888039,0,"Transport, extracellular"
r2114,14.455815,412.5955,0.932299397,0,"Transport, extracellular"
r2115,601.74225,-619.36835,-69.27843269,0,"Transport, extracellular"
r2118,848.2889,-251.26833,-1.841741003,0,"Transport, extracellular"
r2119,12.968242,-876.4114,-1.030038438,0,"Transport, extracellular"
r2123,-439.78146,404.61218,24.00943193,0,"Transport, extracellular"
r2124,-74.48642,501.10376,1.349195474,0,"Transport, extracellular"
r2126,40.066223,-436.3174,-1.202226391,0,"Transport, extracellular"
r2127,-152.28035,385.5338,2.305706994,0,"Transport, extracellular"
r2128,-2.5898466,-33.553368,-0.856689748,0,"Transport, extracellular"
r2130,-1.4383137,-59.665176,-0.952922045,0,"Transport, extracellular"
r2131,34.130985,-411.21057,-1.181028014,0,"Transport, extracellular"
r2132,-3.1380723,39.90624,1.170695069,0,"Transport, extracellular"
r2133,-4.165565,-58.822964,-0.867735764,0,"Transport, extracellular"
r2141,76.39354,-414.8899,-1.451369908,0,"Transport, extracellular"
r2147,11.757985,302.1834,0.925094397,0,"Transport, extracellular"
r2148,7.6300845,385.46313,0.961179267,0,"Transport, extracellular"
r2158,1.8692226,53.631306,0.932641267,0,"Transport, extracellular"
r2159,258.49057,5.4631834,-0.958604997,0,"Transport, extracellular"
r2171,15.409047,233.48552,0.876180135,0,"Transport, extracellular"
r2175,373.37454,1.0174805,-0.994564625,0,"Transport, extracellular"
r2176,15.259192,1.4268228,-0.828979807,0,"Transport, extracellular"
r2185,260.7293,3.8811367,-0.970665278,0,"Transport, extracellular"
r2191,371.63956,4.27506,-0.977255152,0,"Transport, extracellular"
r2196,-59.496204,82.59547,6.151351654,0,"Transport, extracellular"
r2200,-391.83,236.37962,4.041223856,0,"Transport, extracellular"
r2206,1.9964844,66.1247,0.941384332,0,"Transport, extracellular"
r2207,6.751133,141.5037,0.90892529,0,"Transport, extracellular"
r2208,6.3555913,102.90917,0.883666226,0,"Transport, extracellular"
r2212,4.132114,52.96175,0.855251892,0,"Transport, extracellular"
r2214,436.62085,24.52537,-0.893632994,0,"Transport, extracellular"
r2215,26.753084,2.1455178,-0.851514089,0,"Transport, extracellular"
r2219,5.3101544,109.691536,0.90765085,0,"Transport, extracellular"
r2224,48.088593,3.8921418,-0.850246755,0,"Transport, extracellular"
r2227,90.57444,5.2022066,-0.891367951,0,"Transport, extracellular"
r2229,183.72826,3.101286,-0.966800901,0,"Transport, extracellular"
r2237,2.4403136,477.9701,0.989840713,0,"Transport, extracellular"
r2238,157.40488,3.423187,-0.957430474,0,"Transport, extracellular"
r2242,2.441813,39.723564,0.884179242,0,"Transport, extracellular"
r2252,68.82287,2.50931,-0.929644373,0,"Transport, extracellular"
r2254,3.963375,47.53325,0.846072445,0,"Transport, extracellular"
r2256,3.6225348,245.58272,0.9709273,0,"Transport, extracellular"
r2261,169.40642,10.629361,-0.881919466,0,"Transport, extracellular"
r2265,1.8930991,44.31604,0.918063871,0,"Transport, extracellular"
r2267,48.153267,4.725794,-0.821260292,0,"Transport, extracellular"
r2273,8.498416,429.27695,0.961174534,0,"Transport, extracellular"
r2274,5.6205883,69.56815,0.850493887,0,"Transport, extracellular"
r2277,4.420242,451.3059,0.980601324,0,"Transport, extracellular"
r2287,2.7469268,486.63925,0.988773991,0,"Transport, extracellular"
r2292,479.2705,7.237668,-0.970246471,0,"Transport, extracellular"
r2296,479.65475,2.6519644,-0.989002995,0,"Transport, extracellular"
r2297,334.47614,10.271965,-0.940408869,0,"Transport, extracellular"
r2298,2.724839,398.0128,0.986400883,0,"Transport, extracellular"
r2300,567.39624,9.448715,-0.967240021,0,"Transport, extracellular"
r2305,186.13794,2.2247353,-0.976378173,0,"Transport, extracellular"
r2306,316.88266,15.79034,-0.905069908,0,"Transport, extracellular"
r2316,-486.45685,85.43015,1.426057196,0,"Transport, extracellular"
r2319,81.11295,-364.8037,-1.571840699,0,"Transport, extracellular"
r2320,-580.8868,100.78403,1.419843589,0,"Transport, extracellular"
r2323,90.08872,-367.28653,-1.649995945,0,"Transport, extracellular"
r2325,91.66623,-360.1623,-1.682812465,0,"Transport, extracellular"
r2326,25.43836,-7.4177547,-1.823252623,0,"Transport, extracellular"
r2329,83.20063,-54.69444,-4.837372796,0,"Transport, extracellular"
r2330,-391.71576,120.73784,1.891126744,0,"Transport, extracellular"
r2333,-335.8161,122.23416,2.144611399,0,"Transport, extracellular"
r2334,356.9856,1.5270666,-0.991481101,0,"Transport, extracellular"
r2335,81.39852,-211.71773,-2.249217716,0,"Transport, extracellular"
r2343,-232.98427,408.90314,3.648769823,0,"Transport, extracellular"
r2353,-59.948895,151.2664,2.312977019,0,"Transport, extracellular"
r2354,-96.45298,344.0726,1.779041477,0,"Transport, extracellular"
r2356,230.1322,-431.16916,-3.289451596,0,"Transport, extracellular"
r2357,-703.6531,-39.07171,0.894788194,0,"Transport, extracellular"
r2358,-99.423134,465.28,1.543508364,0,"Transport, extracellular"
r2359,358.10117,16.677814,-0.910999203,0,"Transport, extracellular"
r2362,-93.91105,173.78075,3.351606423,0,"Transport, extracellular"
r2367,460.1816,-141.88942,-1.891567173,0,"Transport, extracellular"
r2369,-300.5284,198.37979,4.884139884,0,"Transport, extracellular"
r2373,-371.73196,76.36655,1.517098771,0,"Transport, mitochondrial"
r2375,72.66255,-305.48907,-1.624177577,0,"Transport, mitochondrial"
r2378,-516.692,227.4356,2.572553598,0,"Transport, mitochondrial"
r2506,-385.38892,-17.943457,0.911023978,0,"Transport, endoplasmic reticular"
r2508,46.951214,1.3912282,-0.942442783,0,"Transport, endoplasmic reticular"
r2510,-7.861193,4.847882,4.217644643,0,"Transport, endoplasmic reticular"
r2516,577.8316,-172.00488,-1.847676458,0,"Transport, peroxisomal"
r2532,-139.4851,218.23528,4.542471684,0,"Transport, extracellular"
r2535,73.72226,7.265352,-0.820581147,0,"Transport, extracellular"
r2537,-244.77577,14.986741,1.130439129,0,"Transport, endoplasmic reticular"
EX_sprm[e],252.48285,-1.4250984,-1.011352753,0,Exchange/demand reaction
RE0512X,0.58959264,10.139105,0.890090544,0,Fatty acid oxidation
RE0579C,1.6259677,-13.891059,-1.265137464,0,Fatty acid synthesis
RE1235C,22.947191,-448.64474,-1.107809832,0,Urea cycle
RE1516X,0.58959264,10.139105,0.890090544,0,Fatty acid oxidation
RE1517X,0.58959264,10.139105,0.890090544,0,Fatty acid oxidation
RE1519X,4.4657984,-28.916513,-1.365289848,0,Fatty acid oxidation
RE1521M,5.437212,-0.15320441,-1.057987954,0,Fatty acid oxidation
RE1523X,0.58959264,10.139105,0.890090544,0,Fatty acid oxidation
RE1526M,5.437212,-0.15320441,-1.057987954,0,Fatty acid oxidation
RE1531X,0.58959264,10.139105,0.890090544,0,Fatty acid oxidation
RE1533M,5.437212,-0.15320441,-1.057987954,0,Fatty acid oxidation
RE1573M,5.437212,-0.15320441,-1.057987954,0,Fatty acid oxidation
RE1834C,56.92508,614.7594,0.830500531,0,Bile acid synthesis
RE1845C,-206.00346,278.71213,6.666544719,0,Bile acid synthesis
RE2112R,58.70845,632.4976,0.830127506,0,Bile acid synthesis
RE2269E,34.04418,-357.8119,-1.21030005,0,Miscellaneous
RE2759X,0.33866996,6.644027,0.902997387,0,Fatty acid oxidation
RE2766C,-31.521645,46.095215,5.325863332,0,Steroid metabolism
RE2888C,16.510403,-35.130074,-2.773436537,0,Purine catabolism
RE3012C,-1.9608347,1.6869127,13.31673579,0,Eicosanoid metabolism
RE3036C,-4.385024,3.7547293,12.91420346,0,Arachidonic acid metabolism
RE3038C,-200.68445,-3.7547293,0.963268005,0,Arachidonic acid metabolism
RE3040C,208.78702,15.757815,-0.8596466,0,Arachidonic acid metabolism
RE3218C,-1.7022773,130.65953,1.026400648,0,Androgen and estrogen synthesis and metabolism
RE3237C,0.35688537,-0.8054952,-2.591072372,0,Fatty acid synthesis
RE3269C,-1.9746127,7.252418,1.748270381,0,Phosphatidylinositol phosphate metabolism
RE3272N,-7.9328117,-411.62646,-0.962185024,0,Phosphatidylinositol phosphate metabolism
RE3273R,-44.061813,-641.75,-0.871504653,0,Phosphatidylinositol phosphate metabolism
RE3346C,-18.490507,759.91614,1.049878251,0,Bile acid synthesis
RE3431C,286.5153,-184.25325,-4.603552084,0,Eicosanoid metabolism
RE3432C,286.5153,-184.25325,-4.603552084,0,Eicosanoid metabolism
RE3597C,-1.9608347,-30.578135,-0.879477762,0,Eicosanoid metabolism
EX_prostgi2[e],-313.91492,-10.153788,0.937335589,0,Exchange/demand reaction
EX_CE5788[e],34.04418,-357.8119,-1.21030005,0,Exchange/demand reaction
EX_CE0074[e],16.510403,-35.130074,-2.773436537,0,Exchange/demand reaction
C140CPT1,181.5413,-162.26613,-17.83679132,0,Fatty acid oxidation
C2tcx,65.97191,-168.43668,-2.287699333,0,"Transport, peroxisomal"
C4CRNCPT2,-19.039387,-363.12686,-0.900360711,0,Fatty acid oxidation
C4tcx,20.408535,-9.780544,-2.840525379,0,"Transport, peroxisomal"
C4x,20.408535,-9.780544,-2.840525379,0,"Transport, peroxisomal"
C9BRxtc,-115.869736,30.935816,1.728467895,0,"Transport, peroxisomal"
ASNATB0tc,105.6143,9.451822,-0.835714928,0,"Transport, extracellular"
GLYPROPEPT1tc,114.15682,2.9818501,-0.949088546,0,"Transport, extracellular"
GLYSNAT5tc,-126.26153,-11.00392,0.839669491,0,"Transport, extracellular"
OCDEAFABP1tc,17.771544,-129.07805,-1.319326238,0,"Transport, endoplasmic reticular"
ORNALArBATtc,20.126062,297.94257,0.873448311,0,"Transport, extracellular"
PEHSFABPe,-15.073063,339.9319,1.092797626,0,"Transport, endoplasmic reticular"
PROGLYPEPT1tc,125.1775,8.318271,-0.875377756,0,"Transport, extracellular"
PROGLYPRO1c,125.1775,8.318271,-0.875377756,0,"Transport, extracellular"
THRATB0tc,124.54539,3.450626,-0.946082293,0,"Transport, extracellular"
3HCO3_NAt,29.146675,378.26266,0.856916996,0,"Transport, extracellular"
ASPPROASCT1,5.8631916,458.74475,0.974760691,0,"Transport, extracellular"
FRDPtcr,0.1779766,1.8864322,0.827576209,0,"Transport, endoplasmic reticular"
5MTAte,-432.12866,1.8532553,1.008614275,0,"Transport, extracellular"
EX_5mta[e],432.12866,-1.8532553,-1.008614275,0,Exchange/demand reaction
5HOXINDOAtr,-100.19736,-2.999275,0.941872618,0,"Transport, extracellular"
HKYNRtr,203.029,6.37501,-0.939112819,0,"Transport, extracellular"
EX_5hoxindoa[e],100.19736,2.999275,-0.941872618,0,Exchange/demand reaction
EX_hLkynr[e],-203.029,-6.37501,0.939112819,0,Exchange/demand reaction
BETBGTtc,-8.445274,-233.18193,-0.930096658,0,"Transport, extracellular"
GABABGTtc,-765.6027,247.80037,1.95712335,0,"Transport, extracellular"
ILEB0AT3tc,7.246286,90.83493,0.852239077,0,"Transport, extracellular"
METB0AT3tc,180.7078,5.1530156,-0.944549732,0,"Transport, extracellular"
PYRSMCT1,-84.36125,41.678204,2.952915879,0,"Transport, extracellular"
TRPB0AT3tc,153.0348,12.643859,-0.847368891,0,"Transport, extracellular"
MANt4,-206.98221,24.901737,1.273524529,0,"Transport, extracellular"
TRPt,375.6832,-107.02819,-1.796770521,0,"Transport, extracellular"
MAGLINL_HSe,115.71769,8.421495,-0.864321727,0,Glycerophospholipid metabolism
LPS7e,7.0814314,185.23412,0.926356121,0,Glycerophospholipid metabolism
C04483t1,2.7114487,34.405937,0.853898726,0,"Transport, extracellular"
C06314t,208.78702,15.757815,-0.8596466,0,"Transport, extracellular"
EX_C06314[e],208.78702,15.757815,-0.8596466,0,Exchange/demand reaction
EX_magarachi_hs[e],7.0814314,185.23412,0.926356121,0,Exchange/demand reaction
EX_maglinl_hs[e],115.71769,8.421495,-0.864321727,0,Exchange/demand reaction
EX_mev_R[e],-221.9938,22.193583,1.22215774,0,Exchange/demand reaction
MEV_Rt,-221.9938,22.193583,1.22215774,0,"Transport, extracellular"
EX_progly[e],-125.1775,-8.318271,0.875377756,0,Exchange/demand reaction
PGPP_hsc,3.5709329,146.46255,0.952398192,0,Glycerophospholipid metabolism
PGLYCtm,3.5709329,146.46255,0.952398192,0,"Transport, mitochondrial"
sink_lnlncgcoa[c],-19.005856,84.452415,1.580805343,0,Exchange/demand reaction
DHCHOLESTANATEt,-2.1469343,-58.618137,-0.929336575,0,"Transport, extracellular"
THCHOLSTOICt,-4.225479,338.04297,1.0253161,0,"Transport, extracellular"
XOL7AH3t,-4.326521,292.66068,1.030010465,0,"Transport, extracellular"
7KILTCHOLt,-1.5207946,380.6451,1.00802267,0,"Transport, extracellular"
ADK1,-43.25829,506.34036,1.186827757,0,Nucleotide interconversion
AMPTASECG,19.85057,224.87898,0.837775443,0,Glutathione metabolism
DGK1,-143.56891,8.256572,1.122037225,0,Nucleotide interconversion
DURIPP,2.9716651,165.44106,0.96470973,0,Nucleotide interconversion
EX_co2[e],-182.3159,451.54364,2.354361827,0,Exchange/demand reaction
EX_duri[e],-304.80032,744.12177,2.387596091,0,Exchange/demand reaction
EX_glypro[e],-114.15682,-2.9818501,0.949088546,0,Exchange/demand reaction
EX_thymd[e],76.68838,-416.67273,-1.451128844,0,Exchange/demand reaction
EX_urea[e],44.950268,-4.2694893,-1.209902046,0,Exchange/demand reaction
G3PD1,140.76219,-11.321542,-1.174930239,0,Glycerophospholipid metabolism
GHMT2r,122.72414,-133.16026,-24.5191103,0,"Glycine, serine, alanine, and threonine metabolism"
GK1,156.37602,4.568878,-0.94322432,0,Nucleotide interconversion
GLYPROPRO1c,114.15682,2.9818501,-0.949088546,0,"Transport, extracellular"
INSt2,55.468292,-482.5293,-1.259767536,0,"Transport, extracellular"
MTHFC,-203.60374,390.88562,3.174302885,0,Folate metabolism
NDPK3,-31.368853,-421.69125,-0.86152454,0,Nucleotide interconversion
PGI,64.42939,-179.17502,-2.122994987,0,Glycolysis/gluconeogenesis
PNP,542.65015,9.63103,-0.965122727,0,NAD metabolism
PUNP1,-370.3058,156.27435,2.46029317,0,Nucleotide interconversion
PUNP2,418.2943,-103.443855,-1.657098384,0,Purine catabolism
PUNP4,107.671585,-51.21745,-2.814479797,0,Purine catabolism
TPI,24.583061,330.39664,0.861495953,0,Glycolysis/gluconeogenesis
UMPK,35.208458,-159.92311,-1.564624294,0,Nucleotide interconversion
EX_nac[e],-18.78267,15.597231,10.79283338,0,Exchange/demand reaction
GUAt,0.83735037,-706.6961,-1.002372572,0,"Transport, extracellular"
CYTK2,-41.949257,83.49315,3.019515065,0,Nucleotide interconversion
EX_hxan[e],285.9695,-373.48514,-7.535278271,0,Exchange/demand reaction
EX_spmd[e],-341.00507,192.33661,3.587456942,0,Exchange/demand reaction
GLYOX,3.748152,92.586716,0.922184932,0,Pyruvate metabolism
HYXNt,-285.9695,373.48514,7.535278271,0,"Transport, extracellular"
LCADi,7.562729,78.09781,0.823425603,0,Pyruvate metabolism
LDH_D,-751.5625,386.67197,3.119386342,0,Pyruvate metabolism
LDH_L,30.734526,361.5902,0.84332098,0,Glycolysis/gluconeogenesis
NTD5_a,542.65015,9.63103,-0.965122727,0,Vitamin B2 metabolism
r0792,-100.93526,247.71574,2.375322403,0,Folate metabolism
r1667,234.97403,-222.088,-35.46959648,0,"Transport, extracellular"
PYRt2r,177.65079,-583.8915,-1.874608455,0,"Transport, extracellular"
GLNt4,12.060315,345.71234,0.932581129,0,"Transport, extracellular"
EX_gua[e],-0.83735037,706.6961,1.002372572,0,Exchange/demand reaction
AHC,248.66893,-23.69799,-1.21067602,0,Methionine and cysteine metabolism
EX_phpyr[e],135.77658,-594.64703,-1.591786136,0,Exchange/demand reaction
PHPYRte,-135.77658,594.64703,1.591786136,0,"Transport, extracellular"
VANILPYRc,517.847,17.369804,-0.935092451,0,Tyrosine metabolism
VANILLACc,517.847,17.369804,-0.935092451,0,Tyrosine metabolism
VANILLACte,517.847,17.369804,-0.935092451,0,"Transport, extracellular"
EX_vanillac[e],517.847,17.369804,-0.935092451,0,Exchange/demand reaction
N8ASPMDte,22.947191,-448.64474,-1.107809832,0,"Transport, extracellular"
CE4890te2,-503.3553,16.837265,1.069215373,0,"Transport, extracellular"
CE4890te,503.3553,-16.837265,-1.069215373,0,"Transport, extracellular"
EX_n8aspmd[e],22.947191,-448.64474,-1.107809832,0,Exchange/demand reaction
GGTe_1,-252.11778,3.0837266,1.024765504,0,Tyrosine metabolism
TETTET6COAtm,-259.8669,217.59578,11.29523997,0,"Transport, mitochondrial"
TETPENT3COAtm,8.636721,-32.066425,-1.737245466,0,"Transport, mitochondrial"
Rtotalter,-63.487694,-4.728215,0.861374996,0,"Transport, endoplasmic reticular"
EX_5cysgly34dhphe[e],-252.11778,3.0837266,1.024765504,0,Miscellaneous
HMR_0167,-30.045494,3.0730875,1.227868996,0,"Transport, extracellular"
HMR_0467,-44.061813,-641.75,-0.871504653,0,"Transport, endoplasmic reticular"
HMR_0807,63.114338,3.4476054,-0.896409107,0,Glycosphingolipid metabolism
HMR_1095,149.93486,-339.93005,-2.578301653,0,"Transport, nuclear"
HMR_1129,-1.9608347,1.6869127,13.31673579,0,Leukotriene metabolism
HMR_1307,724.8515,4.6243515,-0.987321441,0,Eicosanoid metabolism
HMR_1329,247.50697,-226.91095,-23.03444083,0,Eicosanoid metabolism
HMR_1331,-349.61267,85.6775,1.649231388,0,"Transport, endoplasmic reticular"
HMR_1976,7.2052555,143.21684,0.904199517,0,Androgen and estrogen synthesis and metabolism
HMR_2569,-5.744353,1.4046795,1.647366559,0,"Transport, endoplasmic reticular"
HMR_2608,212.12712,-118.30005,-3.521661376,0,Fatty acid oxidation
HMR_2609,212.12712,-118.30005,-3.521661376,0,"Transport, mitochondrial"
HMR_2610,-212.12712,118.30005,3.521661376,0,"Transport, mitochondrial"
HMR_2611,1.3365554,19.777452,0.873396342,0,Fatty acid oxidation
HMR_2620,-1.3940405,5.532048,1.673773716,0,Fatty acid oxidation
HMR_2621,1.3940405,-5.532048,-1.673773716,0,"Transport, mitochondrial"
HMR_2622,1.3940405,-5.532048,-1.673773716,0,"Transport, mitochondrial"
HMR_2624,0.8684529,-519.5272,-1.003348841,0,"Transport, mitochondrial"
HMR_2635,6.2453475,-0.6041834,-1.214205229,0,"Transport, mitochondrial"
HMR_2644,2.022841,-322.14276,-1.012638021,0,"Transport, mitochondrial"
HMR_2655,-179.4705,261.62405,5.369147818,0,"Transport, mitochondrial"
HMR_2667,-306.3513,256.4794,11.28552969,0,"Transport, mitochondrial"
HMR_2673,358.5258,18.792782,-0.900387725,0,"Transport, mitochondrial"
HMR_2711,-26.740997,368.56845,1.15645904,0,Fatty acid oxidation
HMR_2712,-29.983713,365.2085,1.178887209,0,"Transport, mitochondrial"
HMR_2713,29.983713,-365.2085,-1.178887209,0,"Transport, mitochondrial"
HMR_2715,-17.130611,-292.87466,-0.889481806,0,"Transport, mitochondrial"
HMR_2718,343.01764,-387.51294,-16.41815613,0,"Transport, mitochondrial"
HMR_2722,-35.088936,-568.44775,-0.883722275,0,"Transport, mitochondrial"
HMR_2748,-0.4229355,169.15453,1.005013116,0,"Transport, mitochondrial"
HMR_2753,-9.616204,13.808433,5.587633058,0,"Transport, mitochondrial"
HMR_2757,-1.823702,447.7933,1.008178593,0,"Transport, mitochondrial"
HMR_2764,8.788473,-386.4341,-1.046543492,0,"Transport, mitochondrial"
HMR_2821,-3.0501099,-286.86905,-0.978958894,0,"Transport, endoplasmic reticular"
HMR_2827,3.0501099,286.86905,0.978958894,0,"Transport, endoplasmic reticular"
HMR_2884,-244.47397,10.069223,1.085913137,0,"Transport, endoplasmic reticular"
HMR_2886,244.47397,-10.069223,-1.085913137,0,"Transport, endoplasmic reticular"
HMR_3106,-166.68045,57.82417,2.062394741,0,"Transport, peroxisomal"
HMR_4938,202.59235,7.0224853,-0.9329963,0,"Transport, extracellular"
HMR_7255,-1.67E-16,1.34E-16,9.079529161,0,N-glycan metabolism
HMR_7256,-1.83E-15,1.43E-15,8.171900272,0,N-glycan metabolism
HMR_7977,-71.45684,137.98344,3.148218011,0,"Transport, extracellular"
HMR_8476,-52.14378,102.195786,3.083583952,0,"Transport, nuclear"
HMR_9610,21.135626,356.94092,0.888193937,0,"Transport, extracellular"
HMR_9639,16.510403,-35.130074,-2.773436537,0,"Transport, extracellular"
HMR_9674,25.501972,398.0773,0.8795882,0,"Transport, nuclear"
HMR_6672,167.61191,-355.04626,-2.788486703,0,Vitamin A metabolism
DCA3GSr,26.686285,429.44705,0.8829891,0,Bile acid synthesis
DCA3Gtr,-26.686285,-429.44705,-0.8829891,0,"Transport, extracellular"
HYOCHOLt,-39.3654,6.728458,1.412321615,0,"Transport, extracellular"
ICDCHOLt,11.452426,-38.825428,-1.836767952,0,"Transport, extracellular"
UCHOLt,-36.886936,12.480778,2.022756378,0,"Transport, extracellular"
2HATVACIDthc,-729.05115,-25.737743,0.931801477,0,Drug metabolism
2HATVLACthc,32.483746,-668.6365,-1.102125605,0,Drug metabolism
ALLOP2tu,427.3717,7.91435,-0.9636361,0,Drug metabolism
CRVSM24tev,-2.458471,1.4676964,3.962724587,0,Drug metabolism
FVStu,-241.85284,432.7747,3.533527004,0,Drug metabolism
OXYPthc,-15.039675,131.98332,1.257212353,0,Drug metabolism
PVSOATPtu,133.63185,-297.7005,-2.628974837,0,Drug metabolism
SMVthep,-93.99692,15.698247,1.400983755,0,Drug metabolism
TMDOATthc,-652.8392,2.1118264,1.006490664,0,Drug metabolism
EX_caproic[e],30.045494,-3.0730875,-1.227868996,0,Exchange/demand reaction
EX_M00260[e],-0.5591386,0.44240245,8.579528415,0,Exchange/demand reaction
EX_M02745[e],4.912129,-1.6653674,-2.025863823,0,Exchange/demand reaction
