Reaction,fc,pval,Clus,Disp,subSystem,rxnNames,geneRules,kegg,source
NDP7g,0.42256068085340137,0,14.172123019533604,34.913980228435996,Nucleotide interconversion,"Nucleoside-Diphosphatase (UDP), Golgi Apparatus",9583.1,NA,"PMID:10393803,PMID:10858452,PMID:9556635"
NDP8,0.7368165027182738,0,2.2015137857373803,14.528363341632485,Nucleotide interconversion,Nucleoside-Diphosphatase (dUDP),1841.1,NA,NA
NDP8ex,0.45167803590317074,8.454715669449579e-4,0.8335832731103409,2.2069050811483875,Nucleotide interconversion,"Nucleoside-Diphosphatase (UTP), Extracellular",124583.1 or 953.1 or 377841.1 or 956.1,NA,"PMID:12234496,PMID:12600208"
NDPK1n,0.962699505334465,0,-323.49394238396286,-6.147901927641034,Nucleotide interconversion,"Nucleoside-Diphosphate Kinase (ATP:GDP), Nuclear",(4831.1 and 4830.1) or (4830.2 and 4831.1),NA,PMID:15242782
NDPK3m,0.8671558700894335,0,0.4934610094876058,6.935711959160911,Nucleotide interconversion,"Nucleoside-Diphosphate Kinase (ATP:CDP), Mitochondrial",4833.1 or 10201.1,NA,PMID:9099850
NDPK3n,-0.615304237698626,0,-4.834521088412404,-20.299735964437573,Nucleotide interconversion,"Nucleoside-Diphosphate Kinase (ATP:CDP), Nuclear",(4831.1 and 4830.1) or (4830.2 and 4831.1),NA,PMID:7050910
NDPK4n,-1.0000320018088555,0,339.8428015051842,-0.00543770517911762,Nucleotide interconversion,"Nucleoside-Diphosphate Kinase (ATP:dTDP), Nuclear",(4831.1 and 4830.1) or (4830.2 and 4831.1),NA,PMID:7050910
NDPK5n,0.8756823528055879,0,-244.52480740239025,-16.20676800176874,Nucleotide interconversion,"Nucleoside-Diphosphate Kinase (ATP:dGDP), Nuclear",(4831.1 and 4830.1) or (4830.2 and 4831.1),NA,PMID:7050910
NDPK6n,-0.9895755218568847,0,-4.3756481656409045,-835.1192609451294,Nucleotide interconversion,"Nucleoside-Diphosphate Kinase (ATP:dUDP), Nuclear",(4831.1 and 4830.1) or (4830.2 and 4831.1),NA,PMID:7050910
NDPK7n,-0.708549683520452,0,-41.429891838417575,-242.87168202056884,Nucleotide interconversion,"Nucleoside-Diphosphate Kinase (ATP:dCDP), Nuclear",(4831.1 and 4830.1) or (4830.2 and 4831.1),NA,PMID:7050910
NDPK8n,0.998942312912331,0,-297.3257902984649,-0.15732202335116452,Nucleotide interconversion,"Nucleoside-Diphosphate Kinase (ATP:dADP), Nuclear",(4831.1 and 4830.1) or (4830.2 and 4831.1),NA,PMID:7050910
NH4t3r,-1.2561138365577589,0,10.025858972549438,-88.31806768176854,"Transport, extracellular",Transport of Ammonium ion via Proton Antiport,57127.1 or 6005.1,NA,"PMID:10444453,PMID:11024028,PMID:12920597,PMID:1417776,PMID:14966114,PMID:15284342,PMID:8595899"
NICRNTtn,0.4863607495971738,0,0.23819631072322373,0.6892885360302755,"Transport, nuclear","Transport of Nicotinate D-Ribonucleotide, Nuclear through Pore",NA,NA,NA
NKCC2t,0.6448687189462575,0,-85.5148637308076,-18.46287351449728,"Transport, extracellular",Na+-K+-Cl- Symport (NH4+),6557.1 or 6558.1,NA,"PMID:10617769,PMID:12657561,PMID:12739168,PMID:7629105,PMID:8640224"
NKCCt,-1.1532479033884906,0,1.8822012772917749,-26.446338673942538,"Transport, extracellular",Na+-K+-Cl- Symport,6557.1 or 6558.1,NA,"PMID:10617769,PMID:12657561,PMID:12739168,PMID:7629105,PMID:8640224"
NMNATm,-0.954026529136155,0,70.08340980147123,1.6488914303385864,NAD metabolism,"Nicotinamide-Nucleotide Adenylyltransferase, Mitochondrial",349565.1,NA,PMID:12574164
NMNATr,-0.8633736517307918,0,-72.44990987174958,-988.1055509094239,NAD metabolism,Nicotinamide-Nucleotide Adenylyltransferase,349565.1 or 23057.1 or 23057.2,NA,NA
NNATn,0.4863607495971738,0,0.23819631072322373,0.6892885360302755,NAD metabolism,Nicotinate-Nucleotide Adenylyltransferase,64802.1,NA,"PMID:11027696,PMID:12574164"
NORANMT,-0.6726487673664384,0,238.70823955745698,46.717181743991375,Tyrosine metabolism,Noradrenaline N-Methyltransferase,5409.1,NA,NA
NOS1,-0.35954687123429685,0,14.315782575766741,6.743855570831057,Arginine and proline metabolism,Nitric Oxide Synthase (Intermediate Forming),4846.1 or 201288.1 or 4842.1 or 4843.2 or 4843.1 or 645740.1,NA,"PMID:7545544,PMID:7558036"
NOS2,0.5749814032110582,0,1.9503175356641178,7.227245754031734,Arginine and proline metabolism,Nitric Oxide Synthase (No Forming),4846.1 or 201288.1 or 4842.1 or 4843.2 or 4843.1 or 645740.1,NA,"PMID:7545544,PMID:7558036"
NRPPHRt4_2_r,-0.48326650611652305,3.5740952946530135e-4,18.136185903644563,6.3182001811981205,"Transport, extracellular","Transport of Norepinephrine  via Sodium Symport (1:2), Reversible",6530.1 or 6531.1,NA,PMID:12719981
NRPPHRtu,-0.6427674184886927,0,142.67858171973825,31.02656986039132,"Transport, extracellular",Transport of Norepinephrine via Uniport,6581.1 or 6582.2 or 6582.1 or 6580.1,NA,PMID:12883891
NRVNCCOAtx,-0.3417884324085268,0,19.510813354176282,9.570989533562333,"Transport, peroxisomal",Fatty Acid Intracellular Transport,NA,NA,NA
NTD12,-0.8694052671465506,0,6.915453158057216,0.4831064582991916,Nucleotide interconversion,5'-Nucleotidase (DIMP),30833.1 or 5251.1,NA,PMID:10899995
NTD2e,-0.39271301854566454,0,48.2801859049201,21.052383349493144,Nucleotide interconversion,"5'-Nucleotidase (UMP), Extracellular",4907.1,NA,PMID:2840110
NTD2l,-0.8974367627910572,0,85.77123426879346,4.636241701712392,Pyrimidine catabolism,"5'-Nucleotidase (UMP), Lysosomal",53.1 or 55.1 or 51205.1 or 54.1,NA,NA
NTD4e,0.5829728622060563,0,16.744012034928797,63.55777419176102,Nucleotide interconversion,"5'-Nucleotidase (CMP), Extracellular",4907.1 or 30833.1,NA,PMID:8450671
NTD5m,-0.3602904526516752,0,0.4383763141183954,0.20615708426552884,Nucleotide interconversion,"5'-Nucleotidase (dTMP), Mitochondrial",56953.1,NA,PMID:10899995
NTD7e,-0.3373508210636055,0,206.68834404706956,102.41281443980932,Nucleotide interconversion,"5'-Nucleotidase (AMP), Extracellular",4907.1 or 30833.1,NA,PMID:14578500
NTD7l,0.8657971619609781,0,3.5589388220004783,49.479266241377594,Purine catabolism,"5'-Nucleotidase (AMP), Lysosomal",53.1 or 55.1 or 51205.1 or 54.1,NA,NA
NTPP10,-0.8694052671465506,0,6.915453158057216,0.4831064582991916,Nucleotide interconversion,Nucleoside Triphosphate Pyrophosphorylase (dITP),3704.1 or 3704.2,NA,PMID:11278832
NTPP9,0.9240608236875464,0,0.9076358372206597,22.996648651885987,Nucleotide interconversion,Nucleoside Triphosphate Pyrophosphorylase (ITP),3704.1 or 3704.2,NA,PMID:11278832
O2Stn,0.5418684450877188,0,1.1041297875455145,3.716013141735675,"Transport, nuclear","Transport of peroxide Anion via Diffusion, Nuclear",NA,NA,PMID:12939409
O2Stx,0.6800382312418551,0,86.28145970250219,453.0420978424072,"Transport, peroxisomal","Transport of peroxide Anion via Diffusion, Peroxisomal",NA,NA,PMID:12939409
O2ter,-0.5802255385663165,0,-42.590752091422495,-160.33132156670092,"Transport, endoplasmic reticular","Transport of Oxygen, Endoplasmic Reticulum",NA,NA,NA
OAGD3tg,0.3347928367460914,0,-232.23168094316125,-115.73494661124944,"Transport, golgi apparatus","Transport of 9-O-Acetylated Gd3, Golgi Apparatus",NA,NA,PMID:8206147
OAGT3te,0.410161762807018,0,0.6496906934558414,1.553254631173145,"Transport, extracellular",Transport of 9-O-Acetylated Gt3,NA,NA,PMID:8206147
OAGT3tg,-0.45578162019117446,0,-0.2800279486453219,-0.7490734526843826,"Transport, golgi apparatus","Transport of 9-O-Acetylated Gt3, Golgi Apparatus",NA,NA,PMID:8206147
OCCOAtm,-1,0,53.7632827085495,NA,"Transport, mitochondrial","Octanoyl Coenzyme A Transport, Diffusion",NA,NA,NA
OCDCEAtr,1.0320643100432987,0,-7.87022895283103,498.77297672462464,"Transport, extracellular",Fatty Acid Transport via Diffusion,10998.1,NA,"PMID:11788354,PMID:12864740"
ODECOAtx,0.9975405755861173,0,-13.464999597027525,-0.016578461106920357,"Transport, peroxisomal",Fatty Acid Intracellular Transport,NA,NA,NA
OIVD2m,-0.977105476607479,0,270.07192929143906,3.1273840348851163,"Valine, leucine, and isoleucine metabolism",2-Oxoisovalerate Dehydrogenase (Acylating,(1629.1) and (594.1 and 593.1) and (1738.1) or (1629.1) and (1738.1) and (594.2 and 593.1),NA,"PMID:1429740,PMID:2914958"
ORNt3m,-2.87546249050458,0,73.81520671309531,-35.72158207141562,"Transport, mitochondrial",Ornithine Mitochondrial Transport via Proton Antiport,83884.1 or 10166.1,NA,PMID:14598172
ORNt4m,-0.6549859612483384,0,-2.6987704823561014,-12.945639189324854,"Transport, mitochondrial",Ornithine Mitochondrial Transport Exchange with Citruline,10166.1 or 83884.1,NA,PMID:14598172
ORNTArm,0.6473324336184088,0,27.194500753365364,127.02722727444274,Urea cycle,"Ornithine Transaminase Reversible, Mitochondrial",4942.1,NA,PMID:9514741
ORNtiDF,0.43782439073074647,0,35.517553932972994,90.8399519685749,"Transport, extracellular",Ornithine Transport via Diffusion (Extracellular to Cytosol),6542.1 or 6541.1 or 84889.1,NA,"PMID:11591158,PMID:11891586,PMID:12049641,PMID:1348489,PMID:14770310,PMID:7534987,PMID:8954799"
ORPT,-1.1942273486064066,0,50.619287387359144,-571.8567727420807,Pyrimidine synthesis,Orotate Phosphoribosyltransferase,7372.1,NA,"PMID:3279416,PMID:6574608,PMID:6893554,PMID:9042911"
OXAHCOtex,0.9131306401643938,0,6.890425642621517,151.74837762843146,"Transport, extracellular",Oxalate Transport via Bicarbonate Antiport,1836.1 or 10861.1 or 10861.3 or 10861.2 or 1811.1,NA,PMID:12759755
P45011B11m,0.48244437612328556,0,0.3478986565559566,0.9964927112744066,Steroid metabolism,Steroid 11-Beta-Hydroxylase,1584.1,NA,PMID:1741400
P45011B12m,-0.4950744338390046,0,2.3114567027949264,0.7806391159525606,Steroid metabolism,Steroid 11-Beta-Hydroxylase,1584.1,NA,"PMID:15755848,PMID:1741400"
P45017A3r,-0.37069107565816567,0,0.4802155124093988,0.22047557829287834,Steroid metabolism,Cytochrome P450 17A1,1586.1,NA,PMID:7893148
P45019A1r,0.6843233804209199,0,0.6987407837748378,3.728199575042559,Steroid metabolism,Aromatase,1588.1 or 1588.2,NA,PMID:16322257
P4502A6,0.7067136135727299,7.830723960623565e-9,2.2859285905523268,13.30244302395626,Cytochrome metabolism,Cytochrome P450 2A6,1553.1 or 1548.1,NA,"PMID:15579107,PMID:9827545"
P4502C18,0.5641412839463095,0,9.35315068108294,33.565117723721826,Cytochrome metabolism,Cytochrome P450 2C18,1562.1,NA,"PMID:15579107,PMID:8110777"
P4502C8,-0.45124487332267305,0,3.759659974234947,1.4216296114806342,Cytochrome metabolism,Cytochrome P450 2C8,1558.1 or 1558.2,NA,PMID:15579107
P4502C9,0.33201276412648467,2.639902753028378e-10,2.294428187096998,4.575248548856239,Cytochrome metabolism,Cytochrome P450 2C9,1559.1,NA,"PMID:15579107,PMID:2827463,PMID:3032244"
P4502C93,-0.45615403091262124,0,4.369327589718503,1.6318611540026497,Limonene and pinene degradation,Cytochrome P450 2C9,1559.1 or 1557.1,NA,"PMID:11950794,PMID:11996015"
P45039A1r,0.4167225642649852,0,0.2769431587241557,0.672667238513882,Bile acid synthesis,Oxysterol 7-Alpha-Hydroxylase,51302.1,NA,NA
