Reactions,sprint_GES1_ARID1A_KO,gimme_GES1_ARID1A_KO,init_GES1_ARID1A_KO,sprint_GES1_ARID1A_KO_Volasertib,gimme_GES1_ARID1A_KO_Volasertib,init_GES1_ARID1A_KO_Volasertib,sprint_GES1_WT_Volasertib,gimme_GES1_WT_Volasertib,init_GES1_WT_Volasertib,sprint_GES_WT,gimme_GES_WT,init_GES_WT,sprint_OVCAR3_ARID1A_KO,gimme_OVCAR3_ARID1A_KO,init_OVCAR3_ARID1A_KO,sprint_OVCAR3_WT,gimme_OVCAR3_WT,init_OVCAR3_WT
HMR_0614,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0625,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0629,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0634,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0641,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1
HMR_0642,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HMR_0653,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,0,1
HMR_0654,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,0,1
HMR_0657,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,0,1
HMR_0672,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0678,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
HMR_0750,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0753,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0758,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0761,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HMR_0765,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0767,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0769,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
HMR_0770,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HMR_0775,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0783,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
HMR_0793,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0
HMR_0795,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0803,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
HMR_0805,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
HMR_0806,1,0,0,1,0,0,1,0,0,1,0,1,1,0,1,1,0,0
HMR_0807,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0808,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0809,1,0,0,1,0,0,1,0,0,1,0,1,1,0,1,1,0,1
HMR_0810,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0811,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0812,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1
HMR_0814,1,0,0,1,0,0,1,0,0,1,0,1,1,0,1,1,1,1
HMR_0815,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0816,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1
HMR_0817,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0819,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0820,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
