Reaction,fc,pval,OVCAR3_A1AKO,OVCAR3_P,subSystem
C4CRNe,-0.398353614162033,0,29.72671909144735,12.79002172487494,Fatty acid oxidation
C4DCCACT,-1,-3.9737609329446064,2.3607751668329384,NA,Fatty acid oxidation
C4OHc,-0.3678819180507555,0,422.79654698598387,195.38041903235913,Fatty acid oxidation
C4tcx,-1.1784302113300666,0,15.02291638142674,-1.2304925495388062,"Transport, peroxisomal"
C4x,-1.178430211330067,0,15.02291638142674,-1.2304925495388093,"Transport, peroxisomal"
C51CPT1,0.6981400762587023,0,24.699521435961547,138.94937325553596,Fatty acid oxidation
C60CPT1,-1,-3.9795620437956205,202.00018671126367,NA,Fatty acid oxidation
C6COAt,1,-3.9853801169590644,-202.00018671126367,NA,"Transport, peroxisomal"
C6CRNtcx,1,-3.9912152269399708,-202.00018671126367,NA,"Transport, peroxisomal"
C6DCCACT,-1.182319012105278,0,1.0167136084735684,-12.16984126897755,Fatty acid oxidation
C6DCe,-1,-3.997067448680352,1.0167136084735684,NA,Fatty acid oxidation
C80CPT1,1,-4.002936857562408,-159.1178712856385,NA,Fatty acid oxidation
C8DCe,-1,-4.008823529411765,1.3120254337681647,NA,Fatty acid oxidation
C9BRxtc,-40.05556324528793,0,209.10662491436005,-198.9201065287739,"Transport, peroxisomal"
DCATDc,-0.9271737710114211,0,83.55404194083465,3.157434935465653,Fatty acid oxidation
DOCOSACTDe,1,-4.014727540500736,NA,10.960185489000603,Fatty acid oxidation
