Reaction,fc,pval,Ges1_A_D,Ges1_P_D,subSystem
HMR_3115,0.4046144630350486,0,31.251069132246716,13.246648860376467,Fatty acid oxidation
HMR_3116,0.846803486964482,0,229.84479163603783,19.066143672866783,Fatty acid oxidation
HMR_3117,0.846803486964482,0,229.84479163603783,19.066143672866783,Fatty acid oxidation
HMR_3118,0.846803486964482,0,229.84479163603783,19.066143672866783,Fatty acid oxidation
HMR_3128,-0.8131775406799473,0,8.350241961302942,81.042029093194,Fatty acid oxidation
HMR_3135,-0.34346256061210495,0,4.188629764099213,8.571129277226348,Fatty acid oxidation
HMR_3170,-0.40937859359425055,0,5.993988523970295,14.303238968839203,Fatty acid oxidation
HMR_3171,-0.40937859359425055,0,5.993988523970295,14.303238968839203,Fatty acid oxidation
HMR_3172,-0.40937859359425055,0,5.993988523970295,14.303238968839203,Fatty acid oxidation
HMR_3173,-0.40937859359425055,0,5.993988523970295,14.303238968839203,Fatty acid oxidation
HMR_3218,-0.572693175146076,0,5.099724315736418,18.769420847015294,Fatty acid oxidation
HMR_3219,-0.572693175146076,0,5.099724315736418,18.769420847015294,Fatty acid oxidation
HMR_3220,-0.572693175146076,0,5.099724315736418,18.769420847015294,Fatty acid oxidation
HMR_3221,-0.572693175146076,0,5.099724315736418,18.769420847015294,Fatty acid oxidation
HMR_3222,-0.35236528326044014,0,8.92952322369125,18.6462783597874,Fatty acid oxidation
HMR_3223,-0.35236528326044014,0,8.92952322369125,18.6462783597874,Fatty acid oxidation
HMR_3224,-0.35236528326044014,0,8.92952322369125,18.6462783597874,Fatty acid oxidation
HMR_3225,-0.35236528326044014,0,8.92952322369125,18.6462783597874,Fatty acid oxidation
HMR_3229,0.43471439632448805,0,26.283632379904855,10.355900125295308,Fatty acid oxidation
HMR_3398,-0.43798589482131606,0,2.2403207858672225,5.732150955406766,Fatty acid oxidation
HMR_3407,-0.3774559799107199,0,1.699831916931714,3.7610892776464238,Fatty acid oxidation
HMR_3408,-0.44036750746079106,0,1.7715667621590594,4.559612309023767,Fatty acid oxidation
HMR_3409,-0.37142668290754194,0,1.5198724940528114,3.3160709121457383,Fatty acid oxidation
HMR_3414,-0.3609104238012652,0,2.2534250375718,4.798559915695729,Fatty acid oxidation
HMR_3452,-0.5255915284288184,0,3.304438086703101,10.6263337469415,Fatty acid synthesis
HMR_3453,-0.5255915284288184,0,3.304438086703101,10.6263337469415,Fatty acid synthesis
HMR_3454,-0.5255915284288184,0,3.304438086703101,10.6263337469415,Fatty acid synthesis
HMR_3455,0.5255915284288184,0,-3.304438086703101,-10.6263337469415,Fatty acid synthesis
HMR_3456,-0.5255915284288184,0,3.304438086703101,10.6263337469415,Fatty acid synthesis
HMR_3457,-0.5255915284288184,0,3.304438086703101,10.6263337469415,Fatty acid synthesis
HMR_3491,-0.3746733440474201,0,3.7511612556164056,8.246284303144057,Fatty acid oxidation
HMR_3505,0.4935673072750053,0,5.424277458483148,1.8392418112036983,Fatty acid oxidation
HMR_3664,-0.6399398500352941,0,14.706638528928053,66.98325984149498,Cholesterol metabolism
HMR_3670,0.44328378323546097,0,5.742519239904026,2.2150554333605967,Cholesterol metabolism
HMR_3679,-0.3440010910182898,0,1.931828302649196,3.957901927688907,Cholesterol metabolism
HMR_3723,-0.6399398500352941,0,14.706638528928053,66.98325984149498,Cholesterol metabolism
HMR_3729,0.44328378323546097,0,5.742519239904026,2.2150554333605967,Cholesterol metabolism
HMR_3738,-0.3440010910182898,0,1.931828302649196,3.957901927688907,Cholesterol metabolism
HMR_3831,-0.8712450184040269,0,16.49987657415833,239.79896902599336,Glutamate metabolism
HMR_3855,-0.4005292128276914,0,121.17703377891928,283.10299578018186,Pyruvate metabolism
HMR_3966,0.4664137965490533,0,10.861111624902904,3.9520490947556506,Nucleotide metabolism
HMR_4261,0.35168871766887744,0,18.322319458524465,8.78794523336871,NAD metabolism
HMR_4343,0.9617445122142597,0,569.4149417861938,11.1040179875067,Pyrimidine synthesis
HMR_4422,-0.8433642424550096,0,6.486871330718728,76.340593258336,Arginine and proline metabolism
HMR_4592,1.219955798019822,0,24.51453671012875,-247.41874683619739,Pentose phosphate pathway
HMR_4756,-0.8887856015723707,0,1.7857273494843988,30.32751292751854,"Transport, mitochondrial"
HMR_4764,0.7680015158039376,0,139.8817854258865,18.35539273883933,Heme synthesis
HMR_4771,0.7794962953557119,0,-2.4500384043078847,-19.772158798775262,Heme synthesis
HMR_4964,0.5294639628475084,0,23.821913808598868,7.328756474927093,"Transport, mitochondrial"
HMR_5420,-0.9209139749658177,0,1.7857273494843988,43.37338511602581,"Transport, mitochondrial"
HMR_6550,0.4176841672230544,0,11.091403281234411,4.555810022925064,Inositol phosphate metabolism
HMR_6629,0.5230432777874944,0,77.4182617440761,24.244327721589805,"Transport, endoplasmic reticular"
HMR_6633,0.6807069127520939,0,53.949359332541796,10.249054945652324,Vitamin A metabolism
HMR_6755,1.289227303304086,0,66.35019416853609,-8.382866876247048,Phenylalanine metabolism
HMR_6826,1.0115634703135061,0,2.248057146962641,-391.06855584049225,Phenylalanine metabolism
HMR_6834,-1.0115634703134726,0,-2.248057146956169,391.06855584049225,Phenylalanine metabolism
HMR_6854,3.305500611620722,0,154.05341518945397,-287.69329748916624,Phenylalanine metabolism
HMR_7180,0.41607801821849866,0,1.5642122125297289,0.6450053480925184,O-glycan metabolism
HMR_7181,0.41607801821849866,0,1.5642122125297289,0.6450053480925184,O-glycan metabolism
HMR_7182,0.41607801821849866,0,1.5642122125297289,0.6450053480925184,"Transport, golgi apparatus"
HMR_7628,-0.5067351921572992,0,4.651908539790542,14.209800083355377,Phenylalanine metabolism
HMR_7652,0.6628085121743388,0,86.49907165405006,17.54065513438362,Inositol phosphate metabolism
HMR_7755,0.91087487670551,0,159.08393683943748,7.419834578301784,Glycerophospholipid metabolism
HMR_7756,-0.5067351921572992,0,4.651908539790542,14.209800083355377,Phenylalanine metabolism
HMR_7758,-1.8203682489372637,0,-8.912103593697163,30.63918434125716,"Transport, mitochondrial"
HMR_7977,-1.241278941501598,0,-66.87958367153593,621.2552225508451,"Transport, extracellular"
HMR_8501,0.5071220740057966,0,189.67680240026712,62.03048219430195,Pyruvate metabolism
HMR_8510,0.4037881211344385,0,535.3933144716262,227.39033700842856,"Transport, mitochondrial"
HMR_8585,0.4494876803258804,0,972.020083203125,369.1711478732109,Starch and sucrose metabolism
HMR_8670,0.4456398964205284,0,396.853393113327,152.18152781816423,"Transport, extracellular"
HMR_8761,-0.5126316193872872,0,9.968747933941522,30.939724303871486,Galactose metabolism
HMR_8762,-0.5126316193872872,0,9.968747933941522,30.939724303871486,Galactose metabolism
HMR_8776,0.6938116018585705,0,23.113621485566114,4.178223085818573,"Transport, mitochondrial"
HMR_9187,0.4494876803258804,0,972.020083203125,369.1711478732109,"Transport, extracellular"
HMR_9188,0.8572187145970931,0,-12.44390620166377,-161.8633381483078,"Transport, extracellular"
HMR_9561,0.8073437852778534,0,137.58182255993495,14.665717372025137,Miscellaneous
HMR_9621,-0.36806296066787275,0,4.174901409348267,9.038128210692925,"Transport, extracellular"
HMR_9622,0.3370795263101835,0,23.6600263776202,11.730578163177187,"Transport, extracellular"
HMR_9639,-6.013892601135701,0,-19.029041874667957,26.619568193623284,"Transport, extracellular"
HMR_9674,0.3706494532941996,0,11.880396317010105,5.455030021878993,"Transport, nuclear"
HMR_9726,-0.4472096527323498,0,23.64079627218603,61.891798097590915,Folate metabolism
HMR_9803,-0.36472225214768045,0,17.163874665953006,36.87193793405962,Propanoate metabolism
HMR_9804,0.36472225214768045,0,-17.163874665953006,-36.87193793405962,Propanoate metabolism
HMR_0980,-0.36623471609596403,0,-10.851426918849498,-5.033730720619086,Arachidonic acid metabolism
HMR_4772,-0.7794962953557193,0,2.450038404307792,19.772158798775262,Heme synthesis
CA24GSc,-0.6785872055964985,0,3.568584204869712,18.63702967862562,Bile acid synthesis
DM_ca24g[c],-0.5233703825795024,0,8.09624978676586,25.876669607469324,Exchange/demand reaction
DM_hdca24g[c],-0.857218714596902,0,12.443906201681704,161.8633381483078,Exchange/demand reaction
HDCA24GSr,-0.857218714596902,0,12.443906201681704,161.8633381483078,Bile acid synthesis
HDCA24Gtr,0.857218714596902,0,-12.443906201681704,-161.8633381483078,"Transport, extracellular"
M02155tr,-0.857218714596902,0,12.443906201681704,161.8633381483078,"Transport, extracellular"
2HATVACIDteb,-0.4085595423430951,0,2.22397213776006,5.296555445255534,Drug metabolism
6HLVSTAChep,-0.3651738979930073,0,7.930822038191035,17.054987502777323,Drug metabolism
6HMSMVACIDhep,-0.42805356852184906,0,4.960180279467686,12.384731783882328,Drug metabolism
6HMSMVACIDteb,-0.42805356852184906,0,4.960180279467686,12.384731783882328,Drug metabolism
6HMSMVhep,-0.42805356852184906,0,4.960180279467686,12.384731783882328,Drug metabolism
6MSMVhep,-0.3714239355138946,0,8.81184706416931,19.225641354590213,Drug metabolism
ACMPdt,-0.8368110123848448,0,0.23742398625245095,2.672380035724356,Drug metabolism
ATVACIDtu,0.4709943790578621,0,11.62200760714233,4.17955869739509,Drug metabolism
CRVS23M24hc,-0.6584396626298681,0,6.72378765256008,32.64722189925359,Drug metabolism
CRVSM23hc,-0.6584396626298681,0,6.72378765256008,32.64722189925359,Drug metabolism
CRVSM23hr,-0.5612637735207133,0,18.46810605385283,65.71963564257958,Drug metabolism
CRVSM24tev,-0.6584396626298681,0,6.72378765256008,32.64722189925359,Drug metabolism
CVM23GLUChc,-0.5612637735207133,0,18.46810605385283,65.71963564257958,Drug metabolism
EX_6hmsmvacid[e],-0.42805356852184906,0,4.960180279467686,12.384731783882328,Exchange/demand reaction
EX_crvs[e],0.6584396626298681,0,-6.72378765256008,-32.64722189925359,Exchange/demand reaction
EX_crvsm24[e],-0.6584396626298681,0,6.72378765256008,32.64722189925359,Exchange/demand reaction
EX_ibup_R[e],-0.5462497706204849,0,-10.235576452063887,-3.003651318953362,Exchange/demand reaction
EX_isolvstacid[e],-0.3651738979930073,0,7.930822038191035,17.054987502777323,Exchange/demand reaction
