Reaction,fc,pval,Clus,Disp,subSystem
ADK3,0.4754918261760158,0,216.23943057253362,608.302269115448,Nucleotide interconversion
ADKd,-0.7341785804113954,0,-101.30028291198951,-660.867664793396,Nucleotide interconversion
ADNt,1.418887839349438,0,-482.7315290031433,83.59642141338885,"Transport, extracellular"
ADNt4,0.39122559631208675,0,154.5406964628674,353.1701912704885,"Transport, extracellular"
ADPMAN,-0.4106211513005463,0,21.99045307290973,9.187943837749458,Nucleotide interconversion
ADSL2,-0.4318746939524897,0,7.4985088763673335,2.9751853764010416,Purine synthesis
AGMTm,0.37678173614133786,0,54.791441128332544,121.0424337940447,Arginine and proline metabolism
AIRCr,-0.4318746939524897,0,7.4985088763673335,2.9751853764010416,Purine synthesis
AKGDm,-0.3463080773213297,0,677.6347500610351,329.02154425354,Citric acid cycle
AKGMALtm,-1.3171885466375224,0,52.75907151657408,-385.426010949707,"Transport, mitochondrial"
ALADGLYexR,-1.2964885704156681,0,7.817834652547701,-60.5539967352029,"Transport, extracellular"
ALAGLNexR,2.473971115123491,0,-244.47371591949462,103.72774664231241,"Transport, extracellular"
ALAGLYexR,15.340897869001852,0,-204.81252976446225,179.74505410842931,"Transport, extracellular"
ALCD2if,-0.5466833364897768,0,228.00681952371448,66.8264073489299,Glycolysis/gluconeogenesis
ALDD20x,-0.3591298442824887,0,7.16428178698536,3.378172000080916,Tryptophan metabolism
ALDD20xm,0.6812267753591106,0,1.7551023764538667,9.256502368148244,Tryptophan metabolism
ALDD21,0.3925478248323548,0,249.4593464369774,571.8706500129699,Fatty acid oxidation
ALDD2xm,-0.46382443471616586,0,77.74699869077601,28.477486769259475,Glycolysis/gluconeogenesis
ALOX5,0.33952477248615714,0,6.150896240584623,12.474772018731603,Eicosanoid metabolism
AMCOXO,-1,-12.501845018450185,2.4057882726546143,NA,Tryptophan metabolism
AMPDA,-1,-12.548148148148147,534.1365592628479,NA,Nucleotide interconversion
AMY1e,-0.5076056928750267,0,35.14706174235949,11.479270206989302,Starch and sucrose metabolism
ANTIPYRENEte,0.5015767605014693,0,7.483945537642375,22.546538374673016,"Transport, extracellular"
AOBUTDsm,-0.5870342606766993,0,51.62078546176553,13.432360195915262,"Glycine, serine, alanine, and threonine metabolism"
APNNOXte,0.6252608654549512,0,-12.932074728107137,-2.9817702465420566,"Transport, extracellular"
APOCFm,0.6280185271514019,2.4209982623785606e-8,2.6843442883094744,11.748333058511191,Biotin metabolism
APOC_LYS_BTNPm,0.6280185271514019,2.4209982623785606e-8,2.6843442883094744,11.748333058511191,Biotin metabolism
