Reaction,fc,pval,subSystem
EX_dha[e],-6.849077256141181,0,Exchange/demand reaction
EX_HC01104[e],-2.391333060579326,0,Exchange/demand reaction
EX_prpp[e],-3.430570512098616,0,Exchange/demand reaction
r0051,-3.430570512098616,0,Purine catabolism
r0081,1.2368439091658379,0,Citric acid cycle
r0130,0.9030270907289917,0,Glutathione metabolism
r0242,-3.403506746633126,0,Miscellaneous
r0409,3.3635844767473064,0,Miscellaneous
r0410,-32.37284432692106,0,Pyrimidine catabolism
r0472,1.9377797543122819,0,Nucleotide interconversion
r0480,-0.8370094012679007,0,Glycerophospholipid metabolism
r0483,-1.3662373469010178,0,Pyrimidine catabolism
r0512,-0.8342071396746924,0,Folate metabolism
r0584,-0.9075726784301172,0,NAD metabolism
r0587,2.391333060579326,0,Miscellaneous
r0591,-1.8948748958236639,0,CoA synthesis
r0638,-5.073400213123388,0,Fatty acid oxidation
r0660,1.48750291335158,0,Fatty acid oxidation
r0722,-3.8002937738066715,0,Fatty acid oxidation
r0724,3.8002937738066715,0,Fatty acid oxidation
r0735,-2.4667970948805045,0,Fatty acid oxidation
r0788,-0.8370094012679007,0,Sphingolipid metabolism
r0789,-0.8370094012679007,0,Sphingolipid metabolism
r0819,2.096765416564069,0,"Transport, mitochondrial"
r0822,3.3755574674729623,0,"Transport, mitochondrial"
r0835,1.0306166748737804,0,"Transport, mitochondrial"
r0836,-4.105413140076025,0,"Transport, mitochondrial"
r0885,17.560616753780785,0,"Transport, mitochondrial"
r0915,-1.1473626445974663,0,"Transport, mitochondrial"
r0917,1.0522991699243132,0,"Transport, mitochondrial"
r0946,1.5341605534536862,0,"Transport, extracellular"
r0970,0.8329363166904504,0,"Transport, endoplasmic reticular"
r1147,-2.296032807102194,0,"Transport, peroxisomal"
r1497,0.8648122429500809,0,"Transport, extracellular"
r1527,0.8898814282441221,0,"Transport, extracellular"
r1536,-0.8459107123563642,0,"Transport, extracellular"
r1544,-1.5619512402930253,0,"Transport, extracellular"
r1548,-2.9975332423263388,0,"Transport, extracellular"
r1549,-0.9153500701090921,0,"Transport, extracellular"
r1551,1.3827975909549295,0,"Transport, extracellular"
r1552,1.3619254919570896,0,"Transport, extracellular"
r1559,-2.8628493572396403,0,"Transport, extracellular"
r1562,-3.856946287114717,0,"Transport, extracellular"
r1565,-2.746131916110173,0,"Transport, extracellular"
r1566,-6.521623794914318,0,"Transport, extracellular"
r1568,5.389618388303656,0,"Transport, extracellular"
r1569,-5.164091390296123,0,"Transport, extracellular"
r1571,1.8329713660922058,0,"Transport, extracellular"
r1576,3.2921663651371014,0,"Transport, extracellular"
r1578,-1.2566083537617747,0,"Transport, extracellular"
r1586,1.6832711910643816,0,"Transport, extracellular"
r1587,0.8898681444753819,0,"Transport, extracellular"
r1588,2.324184984570769,0,"Transport, extracellular"
r1590,1.515681716411501,0,"Transport, extracellular"
r1593,-1.8632872173246875,0,"Transport, extracellular"
r1594,-1.25812023804214,0,"Transport, extracellular"
r1599,2.0170129941598276,0,"Transport, extracellular"
r1600,-1.3424545475488978,0,"Transport, extracellular"
r1602,-1.694270099155734,0,"Transport, extracellular"
r1603,-4.614083791338331,0,"Transport, extracellular"
r1605,-5.639452187446543,0,"Transport, extracellular"
r1607,0.8642341708031602,0,"Transport, extracellular"
r1608,3.524381165770514,0,"Transport, extracellular"
r1609,-6.160035383640354,0,"Transport, extracellular"
r1611,1.5759565517296397,0,"Transport, extracellular"
r1612,2.784758955199143,0,"Transport, extracellular"
r1616,2.756679860993529,0,"Transport, extracellular"
r1619,7.43312740753671,0,"Transport, extracellular"
r1620,1.3411751027511554,0,"Transport, extracellular"
r1621,-3.7746039640009346,0,"Transport, extracellular"
r1622,-2.204626114219745,0,"Transport, extracellular"
r1623,-1.1129488788553923,0,"Transport, extracellular"
r1626,-1.3144021235586552,0,"Transport, extracellular"
r1627,1.9523346077351602,0,"Transport, extracellular"
r1628,0.8973422651912089,0,"Transport, extracellular"
r1629,-1.5098111717414573,0,"Transport, extracellular"
r1631,-1.9279367731245842,0,"Transport, extracellular"
r1632,1.056559047911093,0,"Transport, extracellular"
r1633,-1.585121051024768,0,"Transport, extracellular"
r1634,2.4917739461873145,0,"Transport, extracellular"
r1635,0.9485034369117534,0,"Transport, extracellular"
r1639,-1.5045189842162865,0,"Transport, extracellular"
r1641,-1.384146320278814,0,"Transport, extracellular"
r1643,-1.0645546238265526,0,"Transport, extracellular"
r1644,4.14698689566384,0,"Transport, extracellular"
r1645,1.9724066514721572,0,"Transport, extracellular"
r1646,2.055670953983905,0,"Transport, extracellular"
r1647,1.201912782012081,0,"Transport, extracellular"
r1648,7.504924653807725,0,"Transport, extracellular"
r1651,1.7359650303525374,0,"Transport, extracellular"
r1652,-3.422820266615581,0,"Transport, extracellular"
r1656,-3.25830158782428,0,"Transport, extracellular"
r1662,2.0568444517244084,0,"Transport, extracellular"
r1665,0.8911550013073695,0,"Transport, extracellular"
r1666,-6.864438754649102,0,"Transport, extracellular"
r1671,-3.0787665175886465,0,"Transport, extracellular"
r1685,0.8994567600031345,0,"Transport, extracellular"
r1700,0.990635693645432,0,"Transport, extracellular"
r1710,-0.8616213382046718,0,"Transport, extracellular"
r1713,0.831598095525106,0,"Transport, extracellular"
r1717,-0.8218300851685232,0,"Transport, extracellular"
r1728,0.9540604866717045,0,"Transport, extracellular"
r1745,-0.8574588773858239,0,"Transport, extracellular"
r1762,0.8993227325703804,0,"Transport, extracellular"
r1763,-0.870179301336837,0,"Transport, extracellular"
r1767,0.8336733231523453,0,"Transport, extracellular"
r1777,0.9524894610707931,0,"Transport, extracellular"
r1797,-0.8216355794677686,0,"Transport, extracellular"
r1806,0.9688353231461646,0,"Transport, extracellular"
r1807,-0.9208025044893635,0,"Transport, extracellular"
r1821,-0.9556653632109711,0,"Transport, extracellular"
r1831,-0.8251519776781848,0,"Transport, extracellular"
r1835,-0.9045247112861555,0,"Transport, extracellular"
r1842,-0.871384773821215,0,"Transport, extracellular"
r1844,0.9425684012082849,0,"Transport, extracellular"
r1855,-0.8276785672776376,0,"Transport, extracellular"
r1860,-0.8762027069375693,0,"Transport, extracellular"
r1866,-0.8402818971031671,0,"Transport, extracellular"
r1874,-0.8366281461668122,0,"Transport, extracellular"
r1883,-0.8334951312042973,0,"Transport, extracellular"
r1884,-0.9094332977596516,0,"Transport, extracellular"
r1885,-0.9657632896677952,0,"Transport, extracellular"
r1894,-0.9148944434819906,0,"Transport, extracellular"
r1898,0.878627759832737,0,"Transport, extracellular"
r1900,-0.8883895756568713,0,"Transport, extracellular"
r1913,-0.8502930335047956,0,"Transport, extracellular"
r1923,-0.8223780841338597,0,"Transport, extracellular"
r1924,-0.9782628632656614,0,"Transport, extracellular"
r1933,0.9811014113720211,0,"Transport, extracellular"
r1934,0.9591519206071132,0,"Transport, extracellular"
r1937,-0.9142898726157817,0,"Transport, extracellular"
r1940,-0.8517831105621331,0,"Transport, extracellular"
r1942,0.822876077465825,0,"Transport, extracellular"
r1943,-0.8451789196221987,0,"Transport, extracellular"
r1946,-0.8540387014051649,0,"Transport, extracellular"
r1947,0.9888351515649709,0,"Transport, extracellular"
r1950,0.9778847973162583,0,"Transport, extracellular"
r1953,0.8793983423579584,0,"Transport, extracellular"
r1954,-0.8343803157283235,0,"Transport, extracellular"
r1956,0.8276799986187487,0,"Transport, extracellular"
r1957,-0.8958930391361573,0,"Transport, extracellular"
r1960,-0.9176437297517525,0,"Transport, extracellular"
r1961,-0.9841829765696077,0,"Transport, extracellular"
r1962,0.9532162629708008,0,"Transport, extracellular"
r1964,0.984434859359522,0,"Transport, extracellular"
r1969,0.9244026993732846,0,"Transport, extracellular"
r1972,-0.9220929579632695,0,"Transport, extracellular"
r1977,-0.9128489000908944,0,"Transport, extracellular"
r1981,-0.8637868207030631,0,"Transport, extracellular"
r1986,0.9837135452605752,0,"Transport, extracellular"
r1987,-0.9916969399271659,0,"Transport, extracellular"
r1990,0.9379201084330497,0,"Transport, extracellular"
r1992,-0.8545428811205183,0,"Transport, extracellular"
r2000,0.9756623001424014,0,"Transport, extracellular"
r2002,0.9400057593798863,0,"Transport, extracellular"
r2007,0.9371589975361674,0,"Transport, extracellular"
r2008,-0.9502591115690461,0,"Transport, extracellular"
r2009,-0.9662878484022639,0,"Transport, extracellular"
r2015,0.8983985420346601,0,"Transport, extracellular"
r2035,0.9727181548123924,0,"Transport, extracellular"
r2036,-0.9176449615583706,0,"Transport, extracellular"
r2040,-0.882072186291223,0,"Transport, extracellular"
r2044,0.9724372568198517,0,"Transport, extracellular"
r2049,0.9335480208431494,0,"Transport, extracellular"
r2051,0.8419091659324249,0,"Transport, extracellular"
r2056,-0.9015123812366144,0,"Transport, extracellular"
r2057,0.9929230764262535,0,"Transport, extracellular"
r2081,-2.112775152668117,0,"Transport, extracellular"
