Reaction,fc,pval,Truncating,WT,subSystem,rxnNames,geneRules,kegg,source
GLDBRAN,0.821309687552701,0,5.849621789550781,0.5739115936279297,Starch and sucrose metabolism,Glycogen Debranching Enzyme,178.4 or 178.5 or 178.1 or 178.3 or 178.2 or 178.6,NA,PMID:1374391
GLGNS1,0.8213096157797908,0,5.849621838226803,0.573911851537742,Starch and sucrose metabolism,Glycogen Synthase (Ggn -> Glygn1),(8908.1 and 2997.1) or (2998.1 and 2992.1) or (2997.1 and 2992.1) or (8908.1 and 2998.1),NA,PMID:15238248
GLNtm,0.9003346271757983,0,145.55618628787994,7.633872143249913,"Transport, mitochondrial",L-Glutamine Transport via Electroneutral Transporter,NA,NA,NA
GLPASE1,0.741152093730275,0,672.1755429840088,99.9287957517624,Starch and sucrose metabolism,Glycogen Phosphorylase (Glygn2 -> Dxtrn),5834.1 or 5837.1 or 5836.1,NA,PMID:3346228
GLPASE2,0.8213096157797908,0,5.849621838226803,0.573911851537742,Starch and sucrose metabolism,Glycogen Phosphorylase (Amyls -> Glc-D),5834.1 or 5836.1 or 5837.1,NA,PMID:3346228
GLUDC,0.5104977892137521,0,39.755753219066165,12.883520407093759,Glutamate metabolism,Glutamate Decarboxylase,2571.1 or 2572.1 or 2571.2,NA,"PMID:1924293,PMID:8088791"
GLUDxm,-2.4562914695576037,0,-160.95500589277745,67.81760280600638,Glutamate metabolism,"Glutamate Dehydrogenase (NAD), Mitochondrial",2747.1 or 2746.1,NA,"PMID:12324473,PMID:3368458"
GLUDym,-1.3159754927310148,0,-183.09513223604262,24.98021883500698,Glutamate metabolism,"Glutamate Dehydrogenase (NADP), Mitochondrial",2747.1 or 2746.1,NA,"PMID:12324473,PMID:3368458"
GLUNm,0.9562031180171996,0,140.7243748954773,3.150638490775785,Glutamate metabolism,"Glutaminase, Mitochondrial",2744.1 or 27165.2 or 27165.1,NA,"PMID:10719215,PMID:12579526"
GLUt6,-0.6492928000994822,0,14.980246676116316,70.44854794438557,"Transport, extracellular","Glutamate Transport via Na, H Symport And K Antiport",6511.1 or 6505.1 or 6507.1 or 6506.1 or 6512.1,NA,PMID:14530974
GLUt7l,0.6239434309169497,0,165.07637045059204,38.22673396528368,"Transport, lysosomal","Glutamate Transport, Lysosomal",NA,NA,NA
GLUTCOADHm,1,0,6.17201871749059,NA,Tryptophan metabolism,"Glutaryl Coenzyme A Dehydrogenase, Mitochondrial",2639.1 or 2639.2,NA,NA
GLUtr,-0.9175060890337194,0,-95.08136770105902,-4.09053923037916,"Transport, endoplasmic reticular",Intracellular Transport,NA,NA,NA
GLXO2p,0.4515511296297559,0,4.819861231253355,1.821119073012946,Glyoxylate and dicarboxylate metabolism,"Glyoxylate Oxidase, Peroxisomal",54363.1 or 51179.2 or 51179.1,NA,"PMID:10777549,PMID:4705431,PMID:9038835"
GLXtm,-2.5755812313498265,0,-17.58205269418264,7.747538215793795,"Transport, mitochondrial","Glyoxylate Transport, Mitochondrial",NA,NA,PMID:15240345
GLXtp,1,0,22.54408029887269,NA,"Transport, peroxisomal","Glyoxylate Transport, Peroxisomal",NA,NA,PMID:15240345
GLYBt4_2_r,-0.6510371483817664,0,-474.47113093147277,-100.28411475941539,"Transport, extracellular",Betaine Transport (Sodium Symport) (2:1),6539.1,NA,PMID:12719981
GLYOXm,-0.6868453509125612,0,79.26064499989003,426.9470401222229,Pyruvate metabolism,"Hydroxyacylglutathione Hydrolase, Mitochondrial",3029.1,NA,"PMID:15117945,PMID:8550579"
GLYt7_211_r,1,0.015986541008096884,0,-7.525874416202307,"Transport, extracellular","Transport of Glycine   via Sodium And Chloride Symport (2:1:1), Reversible",6536.1 or 6536.2,NA,PMID:12719981
GLYtp,-0.4169952227297327,0,238.72272543973924,580.2164488067627,"Transport, peroxisomal","Transport of Glycine, Passive, Peroxisomal",NA,NA,PMID:15240345
GLYVESSEC,0.5315964921810463,0,8.780569753879508,2.6853350045933624,"Transport, extracellular",Secretion of Glycine  via Secretory Vesicle (ATP Driven),140679.1,NA,"PMID:12750892,PMID:15383652"
GPAM_hs,0.4784190434055797,0,5.774585936540213,2.037253287660109,Triacylglycerol synthesis,Glycerol-3-Phosphate Acyltransferase,57678.1 or 129642.1,NA,NA
GPIDA2er,0.3814020066673494,0,4.835798910173637,2.165492367576952,Phosphatidylinositol phosphate metabolism,"Glycophosphatidylinositol (Gpi) Deacylase, Endoplasmic Reticulum",80055.1,NA,PMID:14734546
GQ1Bte,0.7622884310736786,0,-0.3194885114026778,-2.3685465122667257,"Transport, extracellular",Transport of Gq1B,NA,NA,PMID:8206147
GQ1Btg,-0.7694354908928389,0,-5.006476054966068,-0.6523638188061617,"Transport, golgi apparatus",Transport of Gq1B,NA,NA,PMID:8206147
GRTTx,0.4514470284261636,0,5.267728055826912,1.9908600326944128,Cholesterol metabolism,Geranyltranstransferase,2224.1,NA,PMID:8188698
GSNt,-0.34458413568177126,0,2.136690118455887,4.383414855440334,"Transport, extracellular",Guanosine Faciliated Transport in Cytosol,3177.1 or 2030.1,NA,"PMID:10722669,PMID:12838422"
GSNtl,0.5440166775803953,0,12.685958605549633,3.746452766365861,"Transport, lysosomal",Guanosine Faciliated Transport from Lysosome,55315.1,NA,"PMID:12838422,PMID:15701636,PMID:2925670"
GT1Atg,-0.36645369581791876,0,-3.9132151329856044,-1.814333696458294,"Transport, golgi apparatus",Transport of Gt1A,NA,NA,PMID:8206147
GTHO,0.36235915692824794,0,517.389546031189,242.15986265449524,Glutamate metabolism,Glutathione Oxidoreductase,2936.1,NA,PMID:10708558
GTHPe,0.4863867982215273,0,4.673707961840617,1.6149753976089463,Glutathione metabolism,"Glutathione Peroxidase, Extracellular",2878.1 or 257202.1 or 2882.1 or 2877.1 or 2876.1,NA,PMID:3619451
GTHRDtr,0.8943582975716277,0,104.21548461995125,5.811731196132512,"Transport, endoplasmic reticular",Glutathione Transport via Diffusion,NA,NA,NA
GTHS,-0.3984746898630411,0,7.714624271633912,17.935582433308895,Glutathione metabolism,Glutathione Synthetase,2937.1,NA,NA
GUAD,1,0,189.82324354618788,0,Purine catabolism,Guanine Deaminase,9615.1,NA,PMID:10075721
GULN3D,-1,0,-834.8868170959473,NA,Pentose phosphate pathway,L-Gulonate 3-Dehydrogenase,NA,NA,PMID:6821187
H2O2syn,0.46845093950992783,0,12.745822046393029,4.613725628583085,Tyrosine metabolism,Hydrogen Peroxide Synthesis (NADPH Dependent),53905.1 or 50506.1 or 53905.2,NA,"PMID:15677770,PMID:15972824"
H2O2t,0.5135431561637354,0,59.93569401042443,19.263493361726823,"Transport, extracellular",Hydrogen Peroxide Transport via Diffusion,NA,NA,PMID:2989289
H2O2tly,0.35605540105254774,0,749.2567091278077,355.79653360290524,"Transport, lysosomal",Hydrogen Peroxide Lysosomal Transport via Diffusion,NA,NA,PMID:2989289
H2O2tp,1.7962362387419404,0,158.80176159240602,-45.219254226109385,"Transport, peroxisomal",Hydrogen Peroxide Peroxisomal Transport via Diffusion,NA,NA,PMID:2989289
H2Otly,-0.844106985355704,0,5.01313426040113,59.301925292968754,"Transport, lysosomal","H2O Transport, Lysosomal",NA,NA,NA
H2Otm,-0.45197484966544016,0,37.46353116112538,99.25840993320048,"Transport, mitochondrial","H2O Transport, Mitochondrial",343.1,NA,PMID:15749715
H2Otn,2.6994782517343157,0,14.490668812217189,-31.54374824695485,"Transport, nuclear","H2O Transport, Nuclear",NA,NA,NA
H3ETer,0.44238628293633087,0,2.0191076882651737,0.7805690864678543,Phosphatidylinositol phosphate metabolism,"H3 Phosphoethanolaminyl Transferase, Endoplasmic Reticulum",23556.1 or 23556.2,NA,PMID:10574991
H6ET3er,0.45099497244151127,0,6.830874607480422,2.5845606451813787,Phosphatidylinositol phosphate metabolism,"H6 Phosphoethanolaminyl Transferase, Endoplasmic Reticulum",(84720.2 and 5281.1) or (84720.1 and 5281.2) or (5281.1 and 84720.1) or (84720.2 and 5281.2),NA,"PMID:10781593,PMID:8463218"
H6_ETer,0.43815195170153526,0,2.711994360612775,1.05950469051893,Phosphatidylinositol phosphate metabolism,"H6' Phosphoethanolaminyl Transferase, Endoplasmic Reticulum",23556.1 or 23556.2,NA,PMID:10574991
H7ET2er,0.4490884052405533,0,6.51297028956936,2.4760883020466373,Phosphatidylinositol phosphate metabolism,"H7 Phosphoethanolaminyl Transferase, Endoplasmic Reticulum",(5281.1 and 54872.1) or (5281.2 and 54872.1),NA,PMID:15632136
H7_TAer,0.3814020066673494,0,4.835798910173637,2.165492367576952,Phosphatidylinositol phosphate metabolism,"H7' Transamidase, Endoplasmic Reticulum",10026.1 and 8733.1 and 128869.1 and 94005.1 and 51604.1,NA,"PMID:10727241,PMID:11483512,PMID:12802054,PMID:15632136,PMID:9356492,PMID:9468317"
HACD9m,-0.38855953711079605,0,-190.69381530902385,-83.97041076486036,"Valine, leucine, and isoleucine metabolism","3-Hydroxyacyl Coenzyme A Dehydrogenase (2-Methylacetoacetyl Coenzyme A), Mitochondrial",3028.1 or 1962.1 or 3033.1,NA,PMID:12872843
HAS1,0.49281544366171987,0,2.81264373108164,0.9555966673195445,Hyaluronan metabolism,Hyaluronan Synthase,3038.2 or 3036.1 or 3038.1 or 3037.1,NA,"PMID:12512858,PMID:8651928,PMID:8798477,PMID:8798544,PMID:9083017"
HAS2,0.49281544366171987,0,2.81264373108164,0.9555966673195445,Hyaluronan metabolism,Hyaluronan Synthase,3038.2 or 3036.1 or 3038.1 or 3037.1,NA,"PMID:12512858,PMID:8651928,PMID:8798477,PMID:8798544,PMID:9083017"
HAtly,0.49281544366171987,0,2.81264373108164,0.9555966673195445,"Transport, lysosomal","Hyaluronan Transport, Extracellular to Lysosome",NA,NA,NA
HBZOPT10m,0.4033014330295306,0,0.8915769175365829,0.37910790690885876,Ubiquinone synthesis,Hydroxybenzoate Decaprenyltransferase,27235.1,NA,"PMID:15153069,PMID:1965190,PMID:7380842"
HCO3_CLt,-0.6136425613121239,0,47.15681145152003,196.95295183747558,"Transport, extracellular",Bicarbonate Transport (Cl-/Hco3- Exchange),6522.1 or 83697.1 or 6521.1 or 6508.2 or 6508.1,NA,"PMID:11302728,PMID:12027221,PMID:14722772"
HDCEAtr,0.981891975494287,0,246.992085521698,2.2567015723592085,"Transport, extracellular",Fatty Acid Transport via Diffusion,11001.1,NA,"PMID:11788354,PMID:12864740"
HEX10,0.3413042824220425,0,7.836076201952565,3.848187100036859,Aminosugar metabolism,Hexokinase (D-Glucosamine:ATP),2645.1 or 3099.1 or 3098.3 or 2645.2 or 80201.1 or 3098.2 or 2645.3 or 3098.1 or 3098.4 or 3101.1 or 3098.5,NA,NA
HEX4,0.6593463504339938,0,25.678258717211033,5.271589348558977,Fructose and mannose metabolism,Hexokinase (D-Mannose:ATP),3098.2 or 2645.2 or 3098.3 or 2645.3 or 3098.4 or 3099.1 or 3098.5 or 3098.1 or 3101.1 or 80201.1 or 2645.1,NA,NA
HIBDm,-0.9056702290125836,0,23.621049495193873,477.1974990486145,"Valine, leucine, and isoleucine metabolism","3-Hydroxyisobutyrate Dehydrogenase, Mitochondrial",11112.1,NA,PMID:7527207
HISTAtu,0.5527034786789536,0,131.4522578489959,37.8682333510831,"Transport, extracellular",Histamine Uniport,6581.1 or 6582.2 or 6582.1 or 6584.1,NA,PMID:12883891
HISTAVESSEC,0.5367768768660781,0,6.327272449937352,1.907198728260549,"Transport, extracellular",Histamine Secretion via Secretory Vesicle (ATP Driven),6570.1 or 6571.1,NA,"PMID:12827358,PMID:15383652"
HKt,0.5179323065129466,0,16.281888679421414,5.1708317212989625,"Transport, extracellular",H+/K+ Gastric/Non-Gastric P-ATPase And ABC ATPase,495.1 and 496.1,NA,"PMID:2160952,PMID:7900835"
HKYNH,1,0,149.63344480845817,NA,Tryptophan metabolism,3-Hydroxy-L-Kynurenine Hydrolase,8942.1,NA,PMID:9180257
HMGCOASim,-0.3350149806542519,0,225.68730509109497,453.086798160553,Cholesterol metabolism,Hydroxymethylglutaryl Coenzyme A Synthase (Ir),3158.1,NA,PMID:7893153
HMGCOAtx,1,0,216.02678850809932,NA,"Transport, peroxisomal",Hydroxymethylglutaryl Coenzyme A Reversible Peroxisomal Transport,NA,NA,PMID:14713247
HOXG,0.5360133760243325,0,1.642268579011607,0.49608334506120944,Heme degradation,Heme Oxygenase 1,3162.1 or 3163.1,NA,PMID:16356137
HPCLx,0.46918579215215706,0,6.1907399355216475,2.236703303570744,Fatty acid oxidation,2-Hydroxyphytanoyl Coenzyme A Lyase,26062.1,NA,PMID:10468558
HPDCACRNCPT1,12.699862593696498,0,2.243668424081962,-1.9161223032742531,Fatty acid oxidation,Carnitine Fatty-Acyl Transferase,1375.2 or 1375.3 or 1374.1 or 126129.1 or 1375.1,NA,PMID:1988962
