Reaction,fc,pval,Truncating,WT,subSystem,rxnNames,geneRules,kegg,source
r1726,-0.4230241262807626,0,5.807261318364173,14.322735733089829,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1728,0.49505748968950375,0,176.30947278664866,59.546972871859,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1731,-0.7884969267257226,0,11.974208655608145,101.25543354519307,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1733,0.3735773960587181,0,11.195782864376003,5.105858232078678,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1734,0.941513463259079,0,50.716126444232835,1.5277826544960733,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1737,0.7989278156703363,0,83.30618130011428,9.311410772719181,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1738,-0.3792703974269078,0,2.648309923167707,5.8845839880933175,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1740,0.8541428818391572,0,69.8301485108167,5.493225102710796,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1745,0.9254306889550579,0,228.80125689405054,8.861161396604514,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1746,0.950758942963101,0,174.67863222419695,4.409238016571208,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1747,-0.8564747664702625,0,25.206770326150675,326.0453364461124,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1748,-0.7352071980711549,0,7.999416712040385,52.4207809199933,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1751,-0.9041394505336466,0,12.648707967853593,251.24938229488208,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1752,-0.3499713379398656,0,260.51141618070153,541.0268278563022,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1753,0.8925352304081416,0,400.51046468436124,22.742384984374045,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1754,-0.9886526167613484,0,1.904205665824622,333.71602073817996,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1755,-0.905618141994677,0,23.077464230928616,465.94584424488244,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1757,0.8644191151889405,0,163.56243352469428,11.894288831554283,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1758,0.44070728551240446,0,139.64176571309193,54.209916883802414,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1759,-0.4752773541926678,0,112.68074299147129,316.8061255163744,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1761,0.6826275184782077,0,456.23695310787,86.05413401341661,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1762,-0.8367573670208923,0,6.822392985895067,76.76352891930007,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1764,-0.5728874734607092,0,7.930214895153721,29.20386290588314,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1765,0.39883574583051773,0,4.324660310218826,1.858567882382423,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1766,0.6140368888247716,0,8.650862002802384,2.06867243002131,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1767,0.4699198390986213,0,110.37347335363627,39.80270689483098,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1769,-0.8151678053312891,0,3.6063451672959648,35.416566114582125,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1771,0.48367689635976296,0,106.6862421882173,37.127067097617875,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1773,0.6020317525605376,0,7.2339608907159185,1.7970222707024892,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1775,0.903559637630669,0,134.8214353911277,6.830481077260791,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1776,0.7940959904907415,0,125.77193636095338,14.434537570857605,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1777,-0.8738252131981141,0,0.621186594475395,9.22525912135141,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1778,0.6893096729601462,0,466.60009298591615,85.81501533262133,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1779,0.6799660919946501,0,73.70040801542177,14.03994384836629,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1780,-0.35907005106096523,0,1.6778039147032928,3.557725857249634,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1781,0.6261534253974869,0,98.59426637455356,22.66645212186235,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1782,-0.9293308905120949,0,9.762194021759369,266.51676555477604,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1783,0.8095021149670776,0,12.799970125934156,1.3475348922260921,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1784,0.5415602833043208,0,33.86987144517023,10.072453499230207,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1786,0.9009192215441332,0,23.144290435421468,1.2063396945860128,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1788,-0.9353637364360897,0,0.7773894337566519,23.276891890472267,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1789,0.6901754142108213,0,14.619932655235939,2.6799671448830864,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1790,-0.8016202740655113,0,5.395973649234826,49.00448107280415,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1796,0.926538612653855,0,60.718888011754956,2.3152890485357553,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1798,0.7604656217837477,0,53.85742042847881,7.328006610884937,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1800,-0.9156998558856728,0,14.887174214444915,338.30733976539074,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1803,0.5192969600877728,0,7.632740558116697,2.414986461195891,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1807,-0.9997775026684733,0,7.356432378292084e-4,6.611867148726772,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1808,-0.9989447304945047,0,0.0039206954654539,7.426779130573611,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1809,-0.9999953795306374,0,1.679413215169916e-5,7.269431754916641,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1810,-0.9999979049931307,0,9.473112653540737e-6,9.043505173393152,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1811,-0.998252178820749,0,0.011078185135126114,12.665487663407507,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1812,-0.9999345051836497,0,0.004993409211328253,152.4775842840433,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1813,-0.9999924532249828,0,2.829968754915171e-4,74.99781217678934,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1814,-0.9997322865223056,0,5.004935190227116e-4,3.738523206991196,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1815,-0.9999929210013162,0,1.147921700612642e-5,3.243163867758127,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1816,-0.9994226990713057,0,0.007389624279178679,25.593207609784848,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1817,-0.9996730497345393,0,0.0024641110703349112,15.070844160220114,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1818,-0.9999475040348141,0,1.975673120992724e-4,7.5267547003557205,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1819,-0.9728825679537265,0,0.011372661554813385,0.8273986155636821,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1820,-0.9998308700827846,0,0.004830151459854096,57.11281691396758,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1821,-0.9827089792096435,0,0.0930636740617454,10.671329613077129,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1822,0.9013224390461281,0,47.935480640763046,2.487824377203011,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1823,0.3424776598129106,0,147.9580675917655,72.46730263359099,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1825,-0.40183011735177565,0,23.058539434041176,54.03841948323548,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1826,0.3767526379281849,0,9.991151429471165,4.522932152756669,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1828,-0.7179192954766139,0,4.160527379336289,25.33831683523748,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1830,0.8561715468902187,0,144.7425202945957,11.215608184524159,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1831,-0.5517531926743202,0,14.891975128019613,51.55345129617639,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1832,-0.4713142560973206,0,6.3447022067336585,17.657088194868667,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1834,0.48912897015244605,0,51.92113337999815,17.812428212968307,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1835,0.8722505127472375,0,26.863694242311198,1.8329935774110548,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1836,0.6438234364873625,0,37.47863956814427,8.120709773450788,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1837,0.560886858622361,0,76.33374112778976,21.47442569240108,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1841,-0.6038174586700272,0,6.317918912931236,25.576060522518773,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1843,-0.3921716882757526,0,7.490268449215134,17.15573208987536,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1846,-0.5844576226030674,0,8.518480566260193,32.480854421531966,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1847,0.7105385984510002,0,14.376239179907342,2.432781315655783,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1848,0.46613666553951094,0,5.043043221952522,1.8363198558363771,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1851,-0.793666700694876,0,13.30773766277599,115.68489423515736,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1853,-0.5403213495647017,0,2.4804975647124037,8.311813813523095,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1854,0.9407090838503599,0,112.75040204676539,3.4446557133281446,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1855,0.8208501642718389,0,19.766425210832246,1.9447793667688695,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1856,0.8309560891642418,0,24.093475438745088,2.224441830087715,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1858,0.9083850067619967,0,130.46920451575144,6.263377278235411,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1859,-0.9433029359644866,0,3.1421209011885765,107.6968071681887,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1860,0.4525049660207515,0,5.367829645205871,2.0233046652143556,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1862,-0.4105949275933801,0,45.03798817534689,107.78725980377467,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1864,-0.8279168532386563,0,22.312710481096072,237.0120508453667,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1866,-0.7665988257657943,0,13.293025739109636,100.61407676561717,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1871,0.9729009106765137,0,126.898722377868,1.7430372676826147,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1873,-0.48810105940362186,0,39.82449461217411,115.77064909246937,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1874,-0.6685888516264042,0,3.458941215626724,17.41507725117211,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1877,-0.45685838497344017,0,16.72198431525943,44.85305929262806,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1879,0.9585440623549963,0,148.56399705521912,3.1446113041787522,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1880,0.4149833985525958,0,14.039319387355144,5.804474400919883,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1881,-0.9792140176729095,0,4.986522252407813,474.81011895890236,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1882,0.7779108555730886,0,14.662965955484099,1.831636020223693,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1884,0.9772643442948308,0,166.80132845263407,1.9179719625280776,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1885,-0.3531844776050142,0,24.956877035474125,52.21157724980787,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1886,0.8674370691963066,0,29.869452753868885,2.1203296560132046,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1889,-0.5847782565995754,0,12.575256518978952,47.99602482093796,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1891,0.44884292246231505,0,46.766279695270214,17.79044894690821,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1892,0.629216079579884,0,14.29380811752556,3.253045607624779,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1897,0.7952331407092718,0,6.412647825768823,0.7314357813723356,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1898,-0.5091534306846923,0,6.576963756325579,20.22148678800613,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1901,0.8759240784792738,0,29.619018590627423,1.959038251244573,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1905,0.5145726462821486,0,44.67594411262274,14.318841277552712,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1906,0.7082671035751594,0,84.93176594474278,14.504400410030083,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1910,-0.848606702124783,0,3.6309977052614033,44.33674929836327,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1911,0.4038829691849902,0,6.285448161921427,2.668928092917506,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1912,1,0,0.21475522893121232,0,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1913,0.795705839336921,0,4.4852322301177905,0.5102766465187073,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1916,0.9999997703874217,0,24.674929261825874,2.8328373897238636e-6,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1919,-1,0.0022139778014379084,0,1.1175046843111516,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1921,0.9999999870472266,0,1.1587054756422446,7.504224777221679e-9,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1923,0.9130520856918253,0,28.371422262977063,1.289476648426056,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1924,-0.9999639116130649,3.685867972889683e-14,5.002980269491672e-5,2.772576121920347,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1926,0.9999996849637698,4.126140538321722e-14,4.798398415584117,7.558347926533315e-7,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1928,0.8116479696112632,0,69.79973558557927,7.256885520072561,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1929,-0.9998855293903204,0,2.4039624230936168e-4,4.199898713383079,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1931,0.9999999966815328,0,21.252075664203222,3.526215659803711e-8,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1934,-0.9999858686389244,1.5150989098499526e-4,1.049050111323595e-5,1.4847015704154969,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1936,0.9999996824159424,0,2.395049353852625,3.80314806534443e-7,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1938,0.9757553079512652,0,18.907358495235442,0.23201409725546837,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1941,0.9999999953192164,7.934841737575254e-10,4.268798356521129,9.990661055780947e-9,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1943,0.7783469130219219,0,51.421468657580206,6.409169764031656,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1945,-0.34581075334978245,1.2942011249408245e-8,0.35819367488931164,0.7368829462060239,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1946,0.9999999966826489,0,5.45690200588163,9.051230154000223e-9,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1948,0.7873921771509085,0,54.03322947166115,6.427177776836231,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1949,-1,7.684594112419866e-6,0,0.18636289740540088,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1951,0.9999998764565411,8.847712889542708e-6,2.1823350168973206,1.3480661655194126e-7,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1953,0.5093696430646816,0,8.512089014645095,2.766909544464422,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1954,-1,1.7133023254276198e-4,0,1.1927399253308772,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1956,0.9999998290299722,0,3.5462579226346103,3.03151933621848e-7,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1958,-0.9994078359856432,0,0.00241110633573262,8.14096227427125,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1959,-1,0.024593032170379486,0,0.16666799716353417,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1960,-1,0,0,2.1056358049839035,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1961,-1,0.030263327517235112,0,7.908234023489058e-7,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1962,1,1.3652687403586338e-7,0.13430869451405889,0,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1963,0.41865130624898234,0,24.111858979752647,9.880791467249953,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1966,0.9999999348473663,0,36.9154039987809,1.2025679352518637e-6,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1970,0.911187558308152,1.491825935975875e-14,2.124124496959895,0.09870757174637255,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1971,0.999999631639221,6.511017562430262e-8,3.4213025798175485,6.301369576249272e-7,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1973,-0.49845220853176414,0,17.207894084244966,51.41126595181227,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1974,-1,5.178027539485789e-13,0,1.2484720600899308,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1975,-0.8016510336827805,0,0.7679126912459731,6.975134378813878,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1976,0.999999560755791,0,15.699872406867518,3.4480397751394778e-6,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1977,1,1.6055911177552315e-7,0.23935562148988246,0,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1978,0.5813767966674471,0,1.8601132689761106,0.4924105228185654,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1980,0.7448289617551167,1.6777846582627653e-8,1.6573391692335717,0.2423761674106121,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1981,0.999999996436256,0,11.743033868291787,2.0924583077430726e-8,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1986,0.999999733313626,0,5.7054742315556854,7.607862193253823e-7,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1988,0.6233331111455984,0,9.187753147384525,2.131862135889847,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1990,0.4654287632683184,0.021671322183646535,1.0883831580609082,0.3970294192567468,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1991,0.999999742610545,0,7.738617101310939,9.959193474060158e-7,"Transport, extracellular",Y+Lat2 Utilized Transport,9057.1,NA,"PMID:14770309,PMID:14770310"
r1992,-0.891625263050453,0,0.3586241812348366,6.259600532921404,"Transport, extracellular",Amino Acid-Polyamine-Organocation (Apc) Tcdb:2.A.3.8.15,11136.1,NA,"PMID:14770309,PMID:14770310"
r1993,-0.45794223173266296,0,2.97634243561849,8.005300517796725,"Transport, extracellular",Amino Acid-Polyamine-Organocation (Apc) Tcdb:2.A.3.8.15,11136.1,NA,"PMID:14770309,PMID:14770310"
r1995,-0.7712894529873153,1.3134930791860354e-15,0.49924348824566983,3.8664798661563546,"Transport, extracellular",Amino Acid-Polyamine-Organocation (Apc) Tcdb:2.A.3.8.15,11136.1,NA,"PMID:14770309,PMID:14770310"
r1996,-0.4842023549461265,0,3.0393322437223977,8.74564689632369,"Transport, extracellular",Amino Acid-Polyamine-Organocation (Apc) Tcdb:2.A.3.8.15,11136.1,NA,"PMID:14770309,PMID:14770310"
r1998,-0.786738636541975,0,1.449817381679546,12.146807512495482,"Transport, extracellular",Amino Acid-Polyamine-Organocation (Apc) Tcdb:2.A.3.8.15,11136.1,NA,"PMID:14770309,PMID:14770310"
r2000,-0.5380607863818538,2.414744915037161e-6,0.353422218676575,1.1767454235479933,"Transport, extracellular",Amino Acid-Polyamine-Organocation (Apc) Tcdb:2.A.3.8.15,11136.1,NA,"PMID:14770309,PMID:14770310"
r2001,0.9220731085469278,0,16.16527135197316,0.6553909632017058,"Transport, extracellular",Amino Acid-Polyamine-Organocation (Apc) Tcdb:2.A.3.8.15,11136.1,NA,"PMID:14770309,PMID:14770310"
