GeneID	GES_W1	GES1_ARID1A_KO	GES1_WT_Volasertib	GES1_ARID1A_KO_Volasertib	OVCAR3_WT	OVCAR3_ARID1A_KO
148479	26.619999999999997	43.620000000000005	26.295	44.655	40.605000000000004	50.025
90326	17.04	23.384999999999998	18.245	22.380000000000003	16.67	21.795
55735	40.665	67.33	41.644999999999996	62.834999999999994	33.379999999999995	55.335
100505887	0	0	0	0	0	0
110841581	3.305	3.1375	1.8915000000000002	2.8605	2.4364999999999997	2.5495
23261	3.4375	3.982	3.1174999999999997	3.825	4.1965	3.4935
105376692	0	0	0	0	0	0
102725193	0.15325	0	0	0	0	0
101928836	0.037625	0	0.04295	0	0	0
105376691	0	0	0	0	0.1213	0.36475
105376689	1.19845	0.08401	0.86795	0.132	3.3194999999999997	0.13219
9341	76.46000000000001	102.39500000000001	83.485	106.44999999999999	65.52000000000001	97.15
8863	3.0404999999999998	1.564	3.0335	1.7375	5.406499999999999	4.7695
10911	0.2057	0	0.06295	0	0.029335	0.36185
3604	0.34704999999999997	0.5277499999999999	0.35805	0.3023	0.10694000000000001	0.18805
11315	310.35	506.95000000000005	323.9	499.4	262	413.75
54206	38.745	42.345	38.364999999999995	42.86	45.13	79.42
107984915	0.21000000000000002	0.15435	0.049325	0.05215	0	0.05155
102724539	0.22945	0.56	0	0.33904999999999996	0.65055	0.7914
105376695	0.3164	0.6325	0	0.3218	0	0
50651	2.154	2.0585	2.2775	2.141	2.9725	3.5660000000000003
473	30.230000000000004	33.06	30.415	31.174999999999997	46.015	47.085
102724552	0.577	0	0.1832	0.3254	0.25125	0.4061
106632271	0.512	0	0	0	0	0.49115
2023.1	2558.5	2906.5	2421	2711.5	1312	1951.5
102465436	9.594000000000001	12.54	10.191	12.004999999999999	7.843999999999999	12.6545
100505975	5.962	7.244	7.27	5.4245	3.51	4.3985
112268261	0	0	0	0	0	0.009075
765.1	0	0	0	0	0	0.694
155184.1	0	0	0.02578	0	0	0.78167
6518.1	0.087755	0.15175	0.09602	0.09568	0.4458	0.55275
80045	2.8609999999999998	6.879	2.8815	6.397	4.713	11.46
106614088	0.202855	2.524	0.1739	2.7825	0.3115	3.26
407040	0	1.0150000000000001	0	1.538	0.3386	3.58
102724571	0.11885	2.955	0	2.6385	0.45594999999999997	8.76
9563.1	5.432499999999999	10.2655	4.8155	10.809	21.165	43.185
80176	14.5	10.517	12.17	11.5535	16.095	13.735
100506022	0.41985	0.11427000000000001	0.5944	0.32375	0.72975	0.39175
84275	8.575	19.035	8.248000000000001	16.105	6.8629999999999995	17.155
199953	19.79	29.935000000000002	18.94	25.235	27.22	38.405
107985734	4.1245	8.5075	3.9115	7.7115	6.7219999999999995	12.345
105376712	0	0	0	0	0	0
5293.1	6.806	9.785	7.109999999999999	9.9695	9.66	16.32
644997	0	0	0	0	0	0.12285
101929074	8.6455	12.133	8.8355	11.485	18.445	22.64
22883	106.4	132.4	103.42500000000001	129.25	137.8	175.45
56998	5.0515	20.520000000000003	4.8685	18.35	18.19	31.314999999999998
105376717	4.2375	13.004999999999999	5.038	15.100000000000001	10.214	14.605
84328	13.195	15.905000000000001	13.05	16.985	14.745000000000001	22.465
64802.1	3.6494999999999997	5.18	3.8015	5.3294999999999995	5.1165	6.074
113391335	0.1314	1.0059999999999998	0.12065	0.25355	0	0.2522
100847055	0	0	0	0	0	1.442
116362	4.7165	26.520000000000003	5.0285	27.755000000000003	5.2475000000000005	35.035
10277.1	10.855	27.924999999999997	11.84	30.189999999999998	13.335	18.28
23095	11.455	17.465	11.719999999999999	17.965	12.645	16.84
105376725	0	0.1928	0	0	0.0689	0.15486
5226.1	97.9	184.45	102.69999999999999	181.35	83.80000000000001	167.45
100526739	8.167	12.515	8.722999999999999	14.100000000000001	7.436	12.510000000000002
378708	11.129999999999999	18	11.735	19.01	10.1835	17.465
1325	1.1139999999999999	1.0387	1.1752500000000001	1.292	1.7435	3.4475
1676	43.835	57.839999999999996	42.88	56.599999999999994	52.055	66.64500000000001
5195	9.211500000000001	12.725000000000001	10.2745	12.295	9.2955	13.525
54897	2.698	5.0634999999999994	2.926	4.523	3.529	6.5794999999999995
105376733	0	0	0	0	0	0
105376735	0	0	0	0	0	0
148345	0	0.019185	0	0	0.05105	0.51804
23435	131.5	151.7	128.55	151.3	98.57	120.30000000000001
10747	1.9020000000000001	3.096	2.0490000000000004	2.723	3.122	4.1425
6723.1	200.60000000000002	319.95	205.3	281.7	119.75	236
5394	55.894999999999996	79.7	53.375	82.74000000000001	53.77	81.58
105376736	18.200000000000003	27.595	18.305	26.525	16.1	23.625
2475	22.744999999999997	33.66	23.98	32.33	26.759999999999998	35.96
100873935	5.807	9.41	6.0489999999999995	8.9275	6.8055	10.423
10218	0	0.089395	0	0.090255	0.014885	0.246365
29914	6.0005	10.4085	5.406499999999999	9.601	7.1035	12.695
105376737	0	0.0285	0.03255	0	0	0.028905
105376739	0	0	0	0	0	0
105376740	0	0	0.0674	0.0593	0	0
57540	0.09995000000000001	0.0372	0.031204999999999997	0.08996	0.21035	0.5815199999999999
112268221	0.031129999999999998	0.015285	0.017355	0.046	0.033964999999999995	0.06115
101929181	0	0	0	0	0	0
26232	4.832	7.026	3.5835	4.689	9.065	11.655999999999999
93611	14.25	18.585	12.91	20.4	16.2	25.475
26270	2.8649999999999998	4.025	2.616	4.498	4.3235	8.1575
10459	78.305	104	75.815	91.495	68.52000000000001	96.055
