Reaction,fc,pval,Clus,Disp,subSystem,rxnNames,geneRules,kegg,source
HMR_2294,-0.5536766224850679,0,17.987482598655973,5.167249008086533,Fatty acid synthesis,Stearoyl Coenzyme A 9-Desaturase,6319.1 or 79966.1 or 283985.1,NA,NA
HMR_2353,0.7578210359861711,0,0.8732656611826453,6.3384726889143534,Fatty acid synthesis,Very-Long-Chain 3-Oxoacyl Coenzyme A Synthase,60481.1 or 64834.1 or 6785.1 or 83401.1 or 79993.1 or 79071.1 or 54898.1,NA,PMID:10970790
HMR_2354,0.7578210359861711,0,0.8732656611826453,6.3384726889143534,Fatty acid synthesis,Very-Long-Chain 3-Oxoacyl Coenzyme A Reductase,51144.1,NA,PMID:10970790
HMR_2355,0.7578210359861711,0,0.8732656611826453,6.3384726889143534,Fatty acid synthesis,Very-Long-Chain (3R)-3-Hydroxyacyl Coenzyme A Dehydratase,51495.1 or 192286.1 or 9200.1 or 401494.1 or 201562.1,NA,PMID:10970790
HMR_2356,0.7578210359861711,0,0.8732656611826453,6.3384726889143534,Fatty acid synthesis,Very-Long-Chain Enoyl Coenzyme A Reductase,9524.1 or 253017.1,NA,PMID:10970790
HMR_2368,-0.49567261500754384,0,7.818604212092538,2.6363631833666648,Fatty acid synthesis,"Linoleoyl Coenzyme A, Ferrocytochrome B5:Oxygen Oxidoreductase (6, 7 Cis-Dehydrogenating)",9415.1 or 3992.1 or 3995.1,R03814,NA
HMR_2374,0.4887421691726393,0,7.76687706080752,22.616528698429466,Fatty acid synthesis,HMR_2374,NA,NA,NA
HMR_2376,0.4887421691726393,0,7.76687706080752,22.616528698429466,Fatty acid synthesis,HMR_2376,NA,NA,NA
HMR_2391,-0.48336305388493583,0,12.346447606317467,4.300114506689263,Fatty acid synthesis,HMR_2391,NA,NA,NA
HMR_2393,-1,0,6.67422224231729,NA,Fatty acid synthesis,HMR_2393,NA,NA,NA
HMR_2472,-0.5659275771694623,0,10.977706080484321,3.0430011866134223,Fatty acid synthesis,HMR_2472,9415.1 or 3992.1 or 3995.1,NA,NA
HMR_2495,-1,0,3.9698660550892293,NA,Fatty acid synthesis,HMR_2495,NA,NA,NA
HMR_2608,-0.8752082846020808,0,17.50145893802941,1.164690397742344,Fatty acid oxidation,Carnitine O-Palmitoyltransferase,1374.1 or 126129.1 or 1375.1,NA,NA
HMR_2609,-0.8752082846020808,0,17.50145893802941,1.164690397742344,"Transport, mitochondrial",HMR_2609,114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1,NA,NA
HMR_2610,0.8752082846020808,0,-17.50145893802941,-1.164690397742344,"Transport, mitochondrial",Carnitine O-Acetyltransferase,1384.1 or 1376.1,NA,NA
HMR_2611,-1.4084711585685843,0,11.851865451098464,-2.0100490698366436,Fatty acid oxidation,Carnitine O-Palmitoyltransferase,1374.1 or 126129.1 or 1375.1,NA,NA
HMR_2612,1.6974793034310536,0,-17.318600245812537,4.478019616493769,"Transport, mitochondrial",HMR_2612,114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1,NA,NA
HMR_2620,-8.806904146605468,0,2.085260877207187,-2.619470299546228,Fatty acid oxidation,Carnitine O-Palmitoyltransferase,1374.1 or 126129.1 or 1375.1,NA,NA
HMR_2621,8.806904146459011,0,-2.0852608772087002,2.619470299558151,"Transport, mitochondrial",HMR_2621,114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1,NA,NA
HMR_2622,8.806904146459011,0,-2.0852608772087002,2.619470299558151,"Transport, mitochondrial",Carnitine O-Acetyltransferase,1384.1 or 1376.1,NA,NA
HMR_2624,1.0978065287188237,0,-2.216872815013048,47.54866904686094,"Transport, mitochondrial",HMR_2624,114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1,NA,NA
HMR_2633,-0.4990437475640474,0,4.571652988727883,1.5277727233726996,Fatty acid oxidation,Carnitine O-Palmitoyltransferase,1374.1 or 126129.1 or 1375.1,NA,NA
HMR_2634,1.38711334194242,0,-353.8378247979641,57.381164294326304,"Transport, mitochondrial",HMR_2634,114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1,NA,NA
HMR_2635,-0.3406285710708084,0,21.857352939750523,10.75026621951037,"Transport, mitochondrial",Carnitine O-Acetyltransferase,1384.1 or 1376.1,NA,NA
HMR_2655,197.9617823741936,0,-57.95695249850247,58.54546212508976,"Transport, mitochondrial",HMR_2655,114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1,NA,NA
HMR_2667,1.0135909891558401,0,-1.2062817520422862,178.71826976270677,"Transport, mitochondrial",HMR_2667,114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1,NA,NA
HMR_2702,-0.6828473208604889,0,-35.14794316648431,-186.49888801808356,Fatty acid oxidation,Carnitine O-Palmitoyltransferase,1374.1 or 126129.1 or 1375.1,NA,NA
HMR_2703,-0.3301524230222287,0,-17.977561054222797,-35.69901156348894,"Transport, mitochondrial",HMR_2703,114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1,NA,NA
HMR_2704,0.3301524230222287,0,17.977561054222797,35.69901156348894,"Transport, mitochondrial",Carnitine O-Acetyltransferase,1384.1 or 1376.1,NA,NA
HMR_2708,0.7578210359861711,0,0.8732656611826453,6.3384726889143534,Fatty acid oxidation,Carnitine O-Palmitoyltransferase,1374.1 or 126129.1 or 1375.1,NA,NA
HMR_2709,-0.7578210359861711,0,-0.8732656611826453,-6.3384726889143534,"Transport, mitochondrial",HMR_2709,114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1,NA,NA
HMR_2710,-0.7578210359861711,0,-0.8732656611826453,-6.3384726889143534,"Transport, mitochondrial",Carnitine O-Acetyltransferase,1384.1 or 1376.1,NA,NA
HMR_2718,0.3367967175364496,0,-112.54020505133867,-55.832747357964514,"Transport, mitochondrial",HMR_2718,114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1,NA,NA
HMR_2722,-0.3572801216225232,0,-152.47082456245423,-321.9841586795807,"Transport, mitochondrial",HMR_2722,114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1,NA,NA
HMR_2727,1.00136176986479,0,-109.64216804363727,0.07460290418267254,"Transport, mitochondrial",HMR_2727,114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1,NA,NA
HMR_2731,-0.6424308750997332,0,-66.37135660316572,-304.8651511444092,"Transport, mitochondrial",HMR_2731,114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1,NA,NA
HMR_2744,1.3893579901099662,0,-38.90662153654825,6.34003109879,"Transport, mitochondrial",HMR_2744,114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1,NA,NA
HMR_2748,-0.34465864012686787,0,128.37246071365476,62.56441632384062,"Transport, mitochondrial",HMR_2748,114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1,NA,NA
HMR_2753,-1.28333184688811,0,115.02432697511911,-14.273026079559326,"Transport, mitochondrial",HMR_2753,114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1,NA,NA
HMR_2757,-0.48357797460442353,0,118.04459937388897,41.09041259656576,"Transport, mitochondrial",HMR_2757,114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1,NA,NA
HMR_2760,-0.8470893515203549,0,72.56821564112343,6.007534450654126,"Transport, mitochondrial",HMR_2760,114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1,NA,NA
HMR_2764,-1.2450412038583047,0,5.264509222137928,-48.23286833273173,"Transport, mitochondrial",HMR_2764,114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1,NA,NA
HMR_2821,0.4012570068200552,0,-62.583109124631434,-26.74113163924458,"Transport, endoplasmic reticular",HMR_2821,6584.1,NA,NA
HMR_2827,-0.40125700682155147,0,62.583109124631434,26.741131639149202,"Transport, endoplasmic reticular",Carnitine O-Acetyltransferase,1384.1,NA,PMID:1735445;PMID:1988962;PMID:2355017;PMID:6361812;PMID:7892212
HMR_2851,-0.7955544954871717,0,-17.170382118614764,-150.7998763571579,"Transport, endoplasmic reticular",HMR_2851,6584.1,NA,NA
HMR_2852,0.7955544954871717,0,17.170382118614764,150.7998763571579,"Transport, endoplasmic reticular",Carnitine O-Acetyltransferase,1384.1,NA,NA
HMR_2865,0.7059195137778912,0,1.6674813271185303,9.672824509149295,"Transport, endoplasmic reticular",HMR_2865,6584.1,NA,NA
HMR_2866,-0.7059195137774097,0,-1.6674813271217317,-9.672824509149295,"Transport, endoplasmic reticular",Carnitine O-Acetyltransferase,1384.1,NA,NA
HMR_2884,-0.6930754139477284,0,26.07334525023744,4.726635702108278,"Transport, endoplasmic reticular",HMR_2884,6584.1,NA,NA
HMR_2886,0.6930754139477323,0,-26.073345250237825,-4.726635702108278,"Transport, endoplasmic reticular",Carnitine O-Acetyltransferase,1384.1,NA,NA
HMR_2888,-0.9678723778009835,0,216.50137282238006,3.53461656867126,"Transport, endoplasmic reticular",HMR_2888,6584.1,NA,NA
HMR_2890,0.9678723778009835,0,-216.50137282238006,-3.53461656867126,"Transport, endoplasmic reticular",Carnitine O-Acetyltransferase,1384.1,NA,NA
HMR_2956,0.5025654444734821,0,0.8473639390846299,2.559572429410009,Fatty acid synthesis,Long-Chain-Fatty-Acid Coenzyme A Ligase,2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1,NA,NA
HMR_2963,0.46170968203174856,0,0.5485338001666329,1.4895255215653458,Fatty acid synthesis,Long-Chain-Fatty-Acid Coenzyme A Ligase,2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1,NA,NA
HMR_2964,0.4144063641965606,0,0.6301697294021755,1.522072681967536,Fatty acid synthesis,Long-Chain-Fatty-Acid Coenzyme A Ligase,2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1,NA,NA
