Reaction,fc,pval,Clus,Disp,subSystem,rxnNames,geneRules,kegg,source
HMR_3181,-0.02488964514580903,0,1.8885322369217405,1.7968054886888305,Fatty acid oxidation,Acetyl Coenzyme A C-Acyltransferase,3030.1 or 3032.1 or 10449.1,NA,NA
HMR_3182,0.0652789503208042,0,2.0530282191578024,2.339786556678088,Fatty acid oxidation,Medium-Chain Acyl Coenzyme A Dehydrogenase,37.1 or 33.1 or 34.1 or 28976.1,NA,NA
HMR_3183,0.0652789503208042,0,2.0530282191578024,2.339786556678088,Fatty acid oxidation,Enoyl Coenzyme A Hydratase,3030.1 or 1892.1,NA,NA
HMR_3184,0.0652789503208042,0,2.0530282191578024,2.339786556678088,Fatty acid oxidation,3-Hydroxyacyl Coenzyme A Dehydrogenase,3028.1 or 3030.1 or 3033.1,NA,NA
HMR_3185,0.0652789503208042,0,2.0530282191578024,2.339786556678088,Fatty acid oxidation,Acetyl Coenzyme A C-Acyltransferase,3030.1 or 3032.1 or 10449.1,NA,NA
HMR_3186,0.0652789503208042,0,2.0530282191578024,2.339786556678088,Fatty acid oxidation,Medium-Chain Acyl Coenzyme A Dehydrogenase,37.1 or 33.1 or 34.1 or 28976.1,NA,NA
HMR_3187,0.0652789503208042,0,2.0530282191578024,2.339786556678088,Fatty acid oxidation,Enoyl Coenzyme A Hydratase,3030.1 or 1892.1,NA,NA
HMR_3188,0.0652789503208042,0,2.0530282191578024,2.339786556678088,Fatty acid oxidation,3-Hydroxyacyl Coenzyme A Dehydrogenase,3028.1 or 3030.1 or 3033.1,NA,NA
HMR_3189,0.0652789503208042,0,2.0530282191578024,2.339786556678088,Fatty acid oxidation,Acetyl Coenzyme A C-Acyltransferase,3030.1 or 3032.1 or 10449.1,NA,NA
HMR_3190,0.6971781782009326,0,3.064712356965756,17.1763147840657,Fatty acid oxidation,Medium-Chain Acyl Coenzyme A Dehydrogenase,34.1 or 28976.1,NA,NA
HMR_3191,0.6971781782009326,0,3.064712356965756,17.1763147840657,Fatty acid oxidation,Enoyl Coenzyme A Hydratase,3030.1 or 1892.1,NA,NA
HMR_3192,0.6971781782009326,0,3.064712356965756,17.1763147840657,Fatty acid oxidation,3-Hydroxyacyl Coenzyme A Dehydrogenase,3028.1 or 3030.1 or 3033.1,NA,NA
HMR_3193,0.6971781782009326,0,3.064712356965756,17.1763147840657,Fatty acid oxidation,Acetyl Coenzyme A C-Acyltransferase,3030.1 or 3032.1 or 10449.1,NA,NA
HMR_3194,0.5462568622783674,0,5.376157959137403,18.32076442797594,Fatty acid oxidation,Medium-Chain Acyl Coenzyme A Dehydrogenase,34.1 or 28976.1,NA,NA
HMR_3195,0.5462568622783674,0,5.376157959137403,18.32076442797594,Fatty acid oxidation,Enoyl Coenzyme A Hydratase,3030.1 or 1892.1,NA,NA
