Reaction,fc,pval,MCF10A_KO,MCF10A_P,rxnNames,subSystem,geneRules,kegg,source
NACHEXA21ly,-0.7187412842042443,0,0.07803045427672496,0.47683558111674573,"Beta-N-Acetylhexosaminidase A, Lysosomal",Keratan sulfate degradation,3073.1 or (3073.1 and 3074.1),NA,"PMID:10336991,PMID:11707436,PMID:12706724,PMID:8993162"
NACHEXA22ly,-1,0,NA,0.19707197316716082,"Beta-N-Acetylhexosaminidase A, Lysosomal",Keratan sulfate degradation,3073.1 or (3073.1 and 3074.1),NA,"PMID:10336991,PMID:11707436,PMID:12706724,PMID:8993162"
NACHEXA2ly,-0.8708697581527413,0,0.1258817577368386,1.8238049451772211,"Beta-N-Acetylhexosaminidase A, Lysosomal",Chondroitin sulfate degradation,3073.1 or (3073.1 and 3074.1),NA,"PMID:10336991,PMID:11707436,PMID:12706724,PMID:8993162"
NACHEXA3ly,-0.8794639928875693,0,0.144068768172008,2.246399800072949,"Beta-N-Acetylhexosaminidase A, Lysosomal",Chondroitin sulfate degradation,3073.1 or (3073.1 and 3074.1),NA,"PMID:10336991,PMID:11707436,PMID:12706724,PMID:8993162"
NACHEXA4ly,-0.8799869276613452,0,0.144068768172008,2.2568158248908645,"Beta-N-Acetylhexosaminidase A, Lysosomal",Chondroitin sulfate degradation,3073.1 or (3073.1 and 3074.1),NA,"PMID:10336991,PMID:11707436,PMID:12706724,PMID:8993162"
NACHEXA5ly,-0.9883109797077096,0,0.04209841831532422,7.160972029443318,"Beta-N-Acetylhexosaminidase A, Lysosomal",Chondroitin sulfate degradation,3073.1 or (3073.1 and 3074.1),NA,"PMID:10336991,PMID:11707436,PMID:12706724,PMID:8993162"
NACHEXA6ly,-0.9884196973004719,0,0.04209841831532422,7.228595519078791,"Beta-N-Acetylhexosaminidase A, Lysosomal",Chondroitin sulfate degradation,3073.1 or (3073.1 and 3074.1),NA,"PMID:10336991,PMID:11707436,PMID:12706724,PMID:8993162"
NACHEXA9ly,-1,0,NA,0.49957720120291427,"Beta-N-Acetylhexosaminidase A, Lysosomal",Keratan sulfate degradation,3073.1 or (3073.1 and 3074.1),NA,"PMID:10336991,PMID:11707436,PMID:12706724,PMID:8993162"
NADPHtru,1,0,276.48469034433367,NA,"Transport of NADPH, Endoplasmic Reticulum","Transport, endoplasmic reticular",NA,NA,NA
NADPtru,1,0,276.48469034433367,NA,"Transport of NADP, Endoplasmic Reticulum","Transport, endoplasmic reticular",NA,NA,NA
NADtn,0.9991170761265505,0,192.58788205094336,0.08505776916742325,"Transport of NAD, Nuclear Through Pores","Transport, nuclear",NA,NA,NA
NAGA2ly,-0.41568296838671215,0,0.4752667675603181,1.1514760513101705,"N-Acetylgalactosaminidase, Alpha-",Keratan sulfate degradation,4668.1,NA,"PMID:2174888,PMID:2551294"
NAGLCAly,-0.41568296838671215,0,0.4752667675603181,1.1514760513101705,"N-Acetylglucosaminidase, Lysosomal",Keratan sulfate degradation,NA,NA,NA
NAt3_1g,-1,0,NA,339.10060219111443,Sodium Proton Antiporter (H:Na Is 1:1),"Transport, golgi apparatus",84679.1 or 23315.1,NA,"PMID:11279194,PMID:15522866"
NAt5,1,0,500.1686879591465,NA,Sodium/Ammonium Proton Antiporter,"Transport, extracellular",6548.1 or 6550.1 or 6549.1,NA,"PMID:10444453,PMID:12845533,PMID:2536298,PMID:2581505,PMID:7631746,PMID:8199403,PMID:8595899"
NCNt,1,0,29.017222579365967,NA,Na+/Ca2+-NH4+ Antiport,"Transport, extracellular",9187.1 or 25769.1,NA,"PMID:10484410,PMID:10662833,PMID:11294880,PMID:12379639,PMID:14770312,PMID:9478004"
NDP10ex,-1,0,NA,103.09893765346334,"Nucleoside-Diphosphatase (IDP), Extracellular",Nucleotide interconversion,124583.1 or 953.1 or 377841.1 or 956.1,NA,"PMID:12234496,PMID:12600208"
