Reaction,fc,pval,Ges1_A_D,Ges1_P_D,rxnNames,subSystem,geneRules,kegg,source
r1167,0.9239587997072286,0,26.399909256871553,1.0434115261814556,Sterol O-Acyltransferase,Miscellaneous,6646.1 or 8435.1,NA,"PMID:2760547,PMID:7822296,PMID:9242919"
r1174,0.603445214354676,0,0.8122949209493989,0.20089207624565752,Sterol Esterase,Miscellaneous,3988.1 or 1056.1,NA,"PMID:11230747,PMID:8112342"
r1175,0.39233163419397615,0,0.5660370628124095,0.24704086906994635,Sterol Esterase,Miscellaneous,3988.1 or 1056.1,NA,"PMID:11230747,PMID:8112342"
r1177,0.9239587997072286,0,26.399909256871553,1.0434115261814556,Sterol Esterase,Miscellaneous,3988.1 or 1056.1,NA,"PMID:11230747,PMID:8112342"
r1251,0.603445214354676,0,0.8122949209493989,0.20089207624565752,Long-Chain-Fatty-Acid---Coa Ligase,Fatty acid oxidation,2182.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1,NA,PMID:8584017
r1291,-25.878720465128332,0,-1.3009433591457735,1.2041423703610894,Postulated Transport Reaction,"Transport, mitochondrial",NA,NA,PMID:8584017
r1298,-0.3838950755469602,0,0.4072883541973388,0.9148512296046172,Vesicular Transport,"Transport, lysosomal",NA,NA,"PMID:11023036,PMID:12739169,PMID:12856180,PMID:12883891,PMID:1554704,PMID:18021224,PMID:4553030,PMID:793184,PMID:8725559,PMID:8781017"
r1374,1,0,27.40201517687142,NA,Chitinase,Aminosugar metabolism,1118.1 or 27159.1,NA,PMID:17267599
r1375,-0.474115876386181,0,82.20604551142752,230.4333433581829,Transport Reaction,Aminosugar metabolism,NA,NA,PMID:17267599
r1377,0.4831874747862859,0,56.22759055140093,19.592346587028356,S- (Hydroxymethyl)Glutathione Synthase,Miscellaneous,NA,NA,NA
r1378,0.4831874747862859,0,56.22759055140093,19.592346587028356,S- (Hydroxymethyl)Glutathione Dehydrogenase,Miscellaneous,128.1,NA,PMID:18288723
r1435,0.6497218894092323,0,252.4264316859007,53.596581412743404,Transport Reaction,"Transport, mitochondrial",NA,NA,"PMID:12930836,PMID:16288981,PMID:911815"
r1443,-1,0,NA,2.318231008326287,Acyl-CoA Oxidase,Fatty acid oxidation,8310.1 or 51.1,NA,"PMID:17603022,PMID:6240978,PMID:7876265"
r1444,-0.9495923035936936,0,0.30156244571742574,11.663374149944918,Acyl-CoA Oxidase,Fatty acid oxidation,8310.1 or 51.1,NA,"PMID:17603022,PMID:6240978,PMID:7876265"
r1445,-1,0,NA,23.94299929744303,Acyl-CoA Oxidase,Fatty acid oxidation,8310.1 or 51.1,NA,"PMID:17603022,PMID:6240978,PMID:7876265"
r1446,-1,0,NA,8.996013568161253,Acyl-CoA Oxidase,Miscellaneous,8310.1 or 51.1,NA,"PMID:17603022,PMID:1774065,PMID:3597357,PMID:6240978,PMID:7876265"
r1447,-1,0,NA,3.3185953382158093,Acyl-CoA Oxidase,Fatty acid oxidation,8310.1 or 51.1,NA,"PMID:17603022,PMID:1774065,PMID:3597357,PMID:6240978,PMID:7876265"
r1448,-1,0,NA,5.159746397667832,Acyl-CoA Oxidase,Fatty acid oxidation,8310.1 or 51.1,NA,"PMID:17603022,PMID:1774065,PMID:3597357,PMID:6240978,PMID:7876265"
r1449,-1,0,NA,9.980518297200742,Acyl-CoA Oxidase,Fatty acid oxidation,8310.1 or 51.1,NA,"PMID:17603022,PMID:1774065,PMID:3597357,PMID:6240978,PMID:7876265"
r1450,-1,0,NA,5.5905759896783405,Acyl-CoA Oxidase,Fatty acid oxidation,8310.1 or 51.1,NA,"PMID:17603022,PMID:1774065,PMID:3597357,PMID:6240978,PMID:7876265"
r1451,-1,0,NA,5.641117046165017,Acyl-CoA Oxidase,Fatty acid oxidation,8310.1 or 51.1,NA,"PMID:17603022,PMID:1774065,PMID:3597357,PMID:6240978,PMID:7876265"
r1455,-0.8182907228565738,0,22.788001264613868,228.03024668457508,Transport Reaction,"Transport, mitochondrial",NA,NA,"PMID:17603022,PMID:6240978,PMID:7876265"
r1459,-0.8046164399005235,0,-12.676554594873265,-1.3724746775986627,Transport Reaction,"Transport, nuclear",NA,NA,NA
r1467,-0.7037172163997013,0,8.001845125887334,46.013072843036916,Postulated Transport Reaction,"Transport, mitochondrial",NA,NA,NA
r1472,-0.6969315134875732,0,7.996437644327758,44.77340151874125,Long-Chain-Acyl Coenzyme A Dehydrogenase,Fatty acid oxidation,33.1,NA,NA
