Reaction,fc,pval,OVCAR3_A1AKO,OVCAR3_P,rxnNames,subSystem,geneRules,kegg,source
RE3237C,-1,0,NA,0.6756234980725742,RE3237C,Fatty acid synthesis,NA,NA,PMID:0
RE3247M,-0.3659332539276361,0,0.39503353056865054,0.8509978470919174,Acyl Coenzyme A Oxidase,Fatty acid oxidation,51.1,NA,PMID:10709654
RE3251M,1,0,146.22504801039696,NA,RE3251M,Bile acid synthesis,1593.1,NA,"PMID:9210654,PMID:9660774"
RE3269C,-0.7132842314496604,0,0.12234623930969656,0.7310859937920264,"Phosphatidylinositol-3,4-Bisphosphate 4-Phosphatase",Phosphatidylinositol phosphate metabolism,8897.1 or 8897.3 or 8897.2 or 8898.1,NA,PMID:7556092
RE3273R,0.6810720640203418,0,-52.49022209288301,-276.6764401604414,Phospholipase D,Phosphatidylinositol phosphate metabolism,5337.1,NA,PMID:3135804
RE3301C,1,0,148.19759559468628,NA,Phospholipase D,Glycerophospholipid metabolism,5338.1,NA,PMID:11182251
RE3346C,-1.0084683904015663,0,-2.8209151018144722,669.0431764875635,Aldehyde Dehydrogenase (NAD+),Bile acid synthesis,223.1 or 218.1,NA,PMID:1591235
RE3352C,-0.48278159977144713,0,-560.0341433023452,-195.34904109739065,RE3352C,Purine catabolism,NA,NA,"PMID:11342423,PMID:8248161"
RE3430C,0.44213865257466195,0,334.0851220292807,129.23388191369773,RE3430C,Eicosanoid metabolism,873.1,NA,"PMID:8244977,PMID:9862787"
RE3430X,-0.4407913250938011,0,-332.96882599449157,-129.23388191369773,RE3430X,Eicosanoid metabolism,NA,NA,"PMID:8244977,PMID:9862787"
RE3432X,-0.4407913250938011,0,-332.96882599449157,-129.23388191369773,Carbonyl Reductase (NADPH),Eicosanoid metabolism,10901.1,NA,"PMID:8244977,PMID:9862787"
RE3470C,0.8386538671406875,0,-0.3485216039741184,-3.9716514029366285,Carbonyl Reductase (NADPH),Arachidonic acid metabolism,874.1 or 873.1,NA,"PMID:1326548,PMID:7929234"
RE3470M,-1,0,-0.8186589422199517,NA,Carbonyl Reductase (NADPH),Arachidonic acid metabolism,10901.1,NA,"PMID:1326548,PMID:7929234"
RE3475C,-0.4392074010340875,0,0.226169152216422,0.5804361868464409,Arachidonate 5-Lipoxygenase,Arachidonic acid metabolism,NA,NA,"PMID:1326548,PMID:7929234"
RE3476C,-0.5474369764189148,0,1.7064420200604713,5.834792818603851,Carbonyl Reductase (NADPH),Arachidonic acid metabolism,874.1 or 873.1,NA,"PMID:1326548,PMID:7929234"
RE3476M,1,0,0.8186589422199517,NA,Carbonyl Reductase (NADPH),Arachidonic acid metabolism,10901.1,NA,"PMID:1326548,PMID:7929234"
RE3526C,-0.8386538671406875,0,0.1742608019870592,1.9858257014683143,Arachidonate 12-Lipoxygenase,Arachidonic acid metabolism,239.1,NA,"PMID:1326548,PMID:7929234"
RE3526M,1,0,0.40932947110997586,NA,Arachidonate 12-Lipoxygenase,Arachidonic acid metabolism,NA,NA,"PMID:1326548,PMID:7929234"
RE3597C,0.7610932993802222,0,765.3267110275268,103.82282386294901,Carbonyl Reductase (NADPH),Eicosanoid metabolism,874.1 or 873.1,NA,"PMID:8847485,PMID:9862787"
RE3597X,-0.7596462376927385,0,-767.2616657669067,-104.80187670165897,Carbonyl Reductase (NADPH),Eicosanoid metabolism,10901.1,NA,"PMID:8847485,PMID:9862787"
RE3624M,-0.6257027881114059,0,1.6760763282140778,7.279781610225205,Acyl Coenzyme A Oxidase,Fatty acid oxidation,51.1,NA,"PMID:11356164,PMID:7775433"
RE3626M,0.4024043935558187,0,5.054778481841936,2.1539531865257944,Acyl Coenzyme A Oxidase,Fatty acid oxidation,51.1,NA,"PMID:11356164,PMID:7775433"
EX_HC02187[e],-1,0,NA,407.5618224469986,Exchange of Reverse-Triiodthyronine,Exchange/demand reaction,NA,NA,NA
EX_HC02180[e],0.7097095655745745,0,-0.682250359282186,-4.018217023548188,Exchange of Thromboxane-B2,Exchange/demand reaction,NA,NA,NA
EX_HC02203[e],-1,0,NA,463.7969726769984,Exchange of Prostaglandin-A2,Exchange/demand reaction,NA,NA,NA
EX_crm_hs[e],-0.5262717287314876,0,-109.19888240416944,-33.89343903314976,Exchange of N-Acylsphingosine,Exchange/demand reaction,NA,NA,NA
EX_CE0074[e],0.48278159977144713,0,560.0341433023452,195.34904109739065,Exchange of Alloxan,Exchange/demand reaction,NA,NA,NA
HCO3_NAt,0.41423452540791605,0,24.75781907159919,10.254505442905426,Bicarbonate Transport (Na/Hco3 Symport),"Transport, extracellular",9497.1,NA,"PMID:10993873,PMID:14722772"
2MB2COAc,-0.8840404431059888,0,1.559631337328212,25.33994260212276,Transport of 2-Methylcrotonoyl Coenzyme A into Cytosol,Fatty acid oxidation,1622.1,NA,"PMID: 20511713, PMID: 11859412, PMID: 16908521, PMID: 8001684"
ADPACtx,-0.7175539729381681,0,0.20114086999716219,1.2231374042596697,Transport into Cytosol (Diffusion),Fatty acid oxidation,NA,NA,"Glatz JFC, Luiken JJFP, Bonen A. (2010). Physiological Reviews 90: 367-417, Kamp F, Hamilton JA. (2006). Prostaglandins, Leukotrienes and Essential Fatty Acids 75: 149-59, PMCID: PMC2785172, Evtodienko VY, Bondarenko DI, Antonenko YN. (1999). Biochimica et Biophysica Acta (BBA) - Biomembranes 1420: 95-103"
ADPCOACROT,1.216487249490872,0,0.19479854853261425,-1.9944292333949822,Production of Adipoyl Carnitine,Fatty acid oxidation,54677.1,NA,"PMID: 15060085, Westin M, Hunt M, Alexson S. (2008). Cellular and Molecular Life Sciences 65: 982-90, PMID: 20560540"
ADPCOAPTE,-0.7175539729381681,0,0.20114086999716219,1.2231374042596697,Thioesterification of Adipoyl Coenzyme A for Release into Cytosol,Fatty acid oxidation,10005.1,NA,"PMID: 15007068, PMID: 18538142, Westin MAK, Hunt MC, Alexson SEH. (2005). Journal of Biological Chemistry 280: 38125-32"
C10DCCACT,1.2493055260674832,0,0.2930158340687329,-2.6436723854154347,Transport of Sebacoyl Carnitine into Cytosol,Fatty acid oxidation,788.1,NA,"Westin M, Hunt M, Alexson S. (2008). Cellular and Molecular Life Sciences 65: 982-90. doi:10.1006/mgme.2000.3055,doi:10.1006/bbrc.1999.1340,biochimica et biophysica acta 1546 (2001) 21-43"
C10DCe,1,0,0.2930158340687329,NA,Transport of Sebacoyl Carnitine into Extra Cellular Space,Fatty acid oxidation,NA,NA,"PMID: 6959231, PMID: 3119938"
C10OHc,-0.7755440676658318,0,1.7179495843206234,13.58972855503863,Production of 3-Ohdecanoylcarnitinec,Fatty acid oxidation,1374.1 or 1375.1 or 126129.1,NA,"clinical chemistry 46:2, 149-155(2000), Biochemistry 2005,  44, 5234-5245"
C12DCACOT,-0.6319164612337,0,0.3043957337193566,1.3495534471627615,Thioesterification of Dodecanedioyl Coenzyme A for Release into Cytosol,Fatty acid oxidation,10005.1,NA,"PMID: 15007068, PMID: 18538142, Westin MAK, Hunt MC, Alexson SEH. (2005). Journal of Biological Chemistry 280: 38125-32"
