Reaction,fc,pval,Ges1_A_D,Ges1_P_D,subSystem,rxnNames,geneRules,kegg,source
PETOHMm_hs,1,0,2.101284062741026,NA,Glycerophospholipid metabolism,Phosphatidylethanolamine N-Methyltransferase,10400.2 or 10400.1 or 10400.3,NA,PMID:9989271
PGESr,-1.0001755517888653,0,-0.024406935511901977,278.08406864128114,Eicosanoid metabolism,Prostaglandin E Synthase,80142.4 or 80142.2 or 9536.1 or 80142.1 or 9536.2 or 80142.3,NA,PMID:11847219
PGLYCt,-1,0,-56.49926341607784,NA,"Transport, extracellular",Phosphatidylglycerol Transport,NA,NA,"PMID:2164460,PMID:6290284"
PGPP_hs,0.9994931879481975,0,67.71300621570498,0.01716323307362627,Glycerophospholipid metabolism,Phosphatidylglycerol Phosphate Phosphatase (Homo Sapiens),114971.1,NA,PMID:10799718
PGPPT,0.9994931879481975,0,67.71300621570498,0.01716323307362627,Glycerophospholipid metabolism,Phosphatidyl-CMP: Glycerophosphate Phosphatidyltransferase,9489.1,NA,PMID:10799718
PHEMEtm,-0.9160870249323203,0,1.2887866248498294,29.428432584941387,"Transport, mitochondrial",Transport of Heme,NA,R01512,NA
PHETA1m,-0.37441482714306684,0,90.25660897095725,198.294376209116,Phenylalanine metabolism,"Phenylalanine Transaminase, Mitochondrial",6898.1 or 2806.1,NA,NA
PHEtec,0.9992762226550831,0,54.4861945309259,0.0197250748872757,"Transport, extracellular",Transport of L-Phenylalanine  via Diffusion,117247.1 or 124935.1 or 8501.1,NA,"PMID:11827462,PMID:14624363,PMID:15659399"
PI345P5P,0.3589846081945369,0,12.315075795984985,5.808861328433274,Inositol phosphate metabolism,"Phosphatidylinositol-3, 4, 5-Trisphosphate 5-Phosphatase",3633.1 or 27124.1 or 3635.1 or 3636.1 or 8871.1 or 56623.1 or 8867.2 or 27124.2 or 8867.1 or 3632.1,NA,PMID:10358929
PI45P5P,-0.4455935145803002,0,10.902201909249815,28.42707073082968,Inositol phosphate metabolism,"Phosphatidylinositol-4, 5-Bisphosphate 5-Phosphatase",8867.1 or 56623.1 or 4952.1 or 8871.1 or 8867.2 or 4952.2 or 3633.1,NA,"PMID:10764818,PMID:12915445,PMID:7721860,PMID:7761412"
