Reaction,fc,pval,MCF10A_KO,MCF10A_P,subSystem,rxnNames,geneRules,kegg,source
HMR_1516,-0.43186344875546023,0,0.4488142535550198,1.1311377934374267,Cholesterol metabolism,HMR_1516,6309.1,R04667,PMID:12189593;PMID:12812989;PMID:11969204
HMR_1526,-0.43186344875760346,0,0.4488142535550198,1.131137793443387,Cholesterol metabolism,Cholesterol:NADP+ Delta24-Oxidoreductase,1718.1,R01457,PMID:11519011;PMID:15670717;PMID:7946524;PMID:9465114
HMR_1532,-0.5797290529840575,0,3.6398813133239747,13.681712478339673,N-glycan metabolism,"(2E, 6E)-Farnesyl Diphosphate Synthase",9453.1 or 2224.1,NA,PMID:9741684;PMID:9054372
HMR_1536,-0.33361714318884816,0,0.6194038708768809,1.2395991468205432,Cholesterol metabolism,Sterol 14Alpha-Demethylase,1595.1,NA,NA
HMR_1538,-0.3336171431887146,0,0.6194038708768809,1.2395991468201706,Cholesterol metabolism,Sterol 14Alpha-Demethylase,1595.1,NA,NA
HMR_1539,-0.33361714318884816,0,0.6194038708768809,1.2395991468205432,Cholesterol metabolism,Sterol 14Alpha-Demethylase,1595.1,NA,NA
HMR_1540,-0.33361714318884816,0,0.6194038708768809,1.2395991468205432,Cholesterol metabolism,Delta14-Sterol Reductase,3930.1 or 7108.1,NA,PMID:11111101
HMR_1543,-0.33361714318884816,0,0.6194038708768809,1.2395991468205432,Cholesterol metabolism,Methylsterol Monooxygenase,6307.1 or 10826.1,NA,NA
HMR_1544,-0.33361714318884816,0,0.6194038708768809,1.2395991468205432,Cholesterol metabolism,Methylsterol Monooxygenase,6307.1 or 10826.1,NA,NA
HMR_1545,-0.33361714318884816,0,0.6194038708768809,1.2395991468205432,Cholesterol metabolism,Methylsterol Monooxygenase,6307.1 or 10826.1,NA,NA
HMR_1546,-0.33361714318884816,0,0.6194038708768809,1.2395991468205432,Cholesterol metabolism,3Beta-Hydroxysteroid-4Alpha-Carboxylate 3-Dehydrogenase (Decarboxylating),50814.1,NA,NA
HMR_1547,-0.33361714318884816,0,0.6194038708768809,1.2395991468205432,Cholesterol metabolism,3Beta-Hydroxysteroid 3-Dehydrogenase,51478.1,NA,NA
HMR_1548,-0.33361714318884816,0,0.6194038708768809,1.2395991468205432,Cholesterol metabolism,Methylsterol Monooxygenase,6307.1 or 10826.1,NA,NA
HMR_1549,-0.33361714318884816,0,0.6194038708768809,1.2395991468205432,Cholesterol metabolism,Methylsterol Monooxygenase,6307.1 or 10826.1,NA,NA
HMR_1550,-0.33361714318884816,0,0.6194038708768809,1.2395991468205432,Cholesterol metabolism,Methylsterol Monooxygenase,6307.1 or 10826.1,NA,NA
HMR_1551,-0.33361714318884816,0,0.6194038708768809,1.2395991468205432,Cholesterol metabolism,3Beta-Hydroxysteroid-4Alpha-Carboxylate 3-Dehydrogenase (Decarboxylating),50814.1,NA,NA
HMR_1552,-0.33361714318884816,0,0.6194038708768809,1.2395991468205432,Cholesterol metabolism,3Beta-Hydroxysteroid 3-Dehydrogenase,51478.1,NA,NA
HMR_1565,-0.5555245695415956,0,3.000209405446347,10.499791718809796,Cholesterol metabolism,Cholesterol:NADP+ Delta7-Oxidoreductase,1717.1,R01456,PMID:15670717;PMID:7946524;PMID:9465114
HMR_1620,-0.4332134489574239,0,6.587854602411389,16.658478925769032,"Transport, mitochondrial",Cholate Coenzyme A Ligase,10998.1 or 11001.1,NA,PMID:12543708
HMR_1706,-0.7162382977294822,0,10.414777016160999,62.99031558673233,Bile acid synthesis,"3Alpha, 7Alpha, 12Alpha-Trihydroxy-5Beta-Cholest-24-Enoyl Coenzyme A Hydratase",3295.1,NA,PMID:8902629
HMR_1766,-0.6854375876294289,0,59.21081165872552,317.25382194137575,Bile acid synthesis,"Cholest-5-Ene-3Beta, 7Alpha-Diol 3Beta-Dehydrogenase",80270.1,NA,PMID:12679481;PMID:11067870
HMR_1769,-0.6854375876294289,0,59.21081165872552,317.25382194137575,Bile acid synthesis,Delta4-3-Oxosteroid 5Beta-Reductase,6718.1,NA,PMID:7508385
HMR_1771,-0.6854375876294289,0,59.21081165872552,317.25382194137575,Bile acid synthesis,3Alpha-Hydroxysteroid 3-Dehydrogenase (Si-Specific),1109.1,NA,PMID:11158055
HMR_1897,1,0,4.772153081265186,NA,"Transport, extracellular",HMR_1897,1244.1 or 4363.1,NA,PMID:16983557;PMID:;PMID:16847695
HMR_1916,-0.4971272375646175,0,3.986335134703911,11.867914418993648,"Transport, golgi apparatus",HMR_1916,3069.1 or 4864.1,NA,NA
HMR_1968,0.6512371871803284,0,188.19825241779387,39.74992350617908,Androgen and estrogen synthesis and metabolism,3Beta-Hydroxy-Delta5-Steroid Dehydrogenase,3283.1 or 3284.1,NA,NA
HMR_1971,0.6512371871803284,0,188.19825241779387,39.74992350617908,Androgen and estrogen synthesis and metabolism,Steroid Delta-Isomerase,3283.1 or 3284.1,NA,PMID:2243100;PMID:9536209
HMR_1976,-0.6934237187196917,0,25.41251626895087,140.3701474310875,Androgen and estrogen synthesis and metabolism,3-Oxo-5Alpha-Steroid 4-Dehydrogenase (NADP+),6716.1 or 79644.1 or 6715.1,NA,PMID:2339109;PMID:1944596;PMID:9208814;PMID:17986282;PMID:9536209
HMR_2041,-0.9995890729764207,0,0.05000080337524414,243.3061208735466,Steroid metabolism,17Beta-Estradiol 17-Dehydrogenase,8630.1 or 3294.1 or 158160.1 or 3292.1 or 7923.1 or 51478.1 or 51144.1 or 51170.1 or 7923.1 or 7923.1 or 7923.1 or 7923.1 or 7923.1,NA,PMID:19027824
HMR_2087,-0.5268482751293969,0,225.85097922668456,728.8152191833497,"Transport, lysosomal",HMR_2087,NA,NA,NA
HMR_2088,-0.5268482751293969,0,225.85097922668456,728.8152191833497,Androgen and estrogen synthesis and metabolism,Peroxidase,4353.1 or 7173.1 or 9588.1 or 4025.1 or 8288.1,NA,NA
HMR_2089,0.5268482751293969,0,-225.85097922668456,-728.8152191833497,Androgen and estrogen synthesis and metabolism,Peroxidase,4353.1 or 7173.1 or 9588.1 or 4025.1 or 8288.1,NA,NA
HMR_2090,0.5268482751293969,0,-225.85097922668456,-728.8152191833497,"Transport, lysosomal",HMR_2090,NA,NA,NA
HMR_2190,-0.41850285089244327,0,5.8796776160783475,14.342872486195025,Fatty acid synthesis,Very-Long-Chain 3-Oxoacyl Coenzyme A Synthase,60481.1 or 64834.1 or 6785.1 or 83401.1 or 79993.1 or 79071.1 or 54898.1,NA,PMID:16564093;PMID:19505953;PMID:17583696;PMID:12032166;PMID:11567032
HMR_2193,-0.41850285089244327,0,5.8796776160783475,14.342872486195025,Fatty acid synthesis,Very-Long-Chain (3R)-3-Hydroxyacyl Coenzyme A Dehydratase,51495.1 or 192286.1 or 9200.1 or 401494.1 or 201562.1,NA,PMID:16564093;PMID:4379659
HMR_2259,0.3577864715090017,0,7.371894329085652,3.4868002945141217,Fatty acid synthesis,Very-Long-Chain 3-Oxoacyl Coenzyme A Synthase,60481.1 or 64834.1 or 6785.1 or 83401.1 or 79993.1 or 79071.1 or 54898.1,NA,PMID:10479480
HMR_2260,0.3577864715090017,0,7.371894329085652,3.4868002945141217,Fatty acid synthesis,Very-Long-Chain 3-Oxoacyl Coenzyme A Reductase,51144.1,NA,PMID:10479480
HMR_2261,0.3577864715090017,0,7.371894329085652,3.4868002945141217,Fatty acid synthesis,Very-Long-Chain (3R)-3-Hydroxyacyl Coenzyme A Dehydratase,51495.1 or 192286.1 or 9200.1 or 401494.1 or 201562.1,NA,PMID:10479480
HMR_2262,0.3577864715090017,0,7.371894329085652,3.4868002945141217,Fatty acid synthesis,Very-Long-Chain Enoyl Coenzyme A Reductase,9524.1 or 253017.1,NA,PMID:10479480
HMR_2267,-0.4761587494283686,0,3.0015639686505087,8.458258889419989,Fatty acid synthesis,Very-Long-Chain 3-Oxoacyl Coenzyme A Synthase,60481.1 or 64834.1 or 6785.1 or 83401.1 or 79993.1 or 79071.1 or 54898.1,NA,PMID:10479480
