Reaction,fc,pval,MCF10A_KO,MCF10A_P,subSystem,rxnNames,geneRules,kegg,source
GSNt2r,0.4661225021445671,0,126.66114618434906,46.12270509557575,"Transport, extracellular",Guanosine Transport in via Proton Symport Reversible,64078.1,NA,NA
H2OGLYAQPt,0.48651105985712606,0,51.998137416826935,17.96183640512992,"Transport, extracellular",Water And Glycerol Transport by Aqp,360.1 or 364.1 or 366.1 or 89872.1,NA,NA
NACSMCTte,-1,0,-66.94066116642355,NA,"Transport, extracellular",Nicotinate Transport by Smct1,160728.1,NA,NA
PGLYCABCte,-1,0,NA,6.475698901235003,"Transport, extracellular",Phosphatidylglycerol Transport by ABCa3,21.1,NA,NA
CAMPt,-1,0,NA,3.7727734606223677,"Transport, extracellular",CAMP Transport (ATP-Dependent),10257.1 or 10057.2 or 10057.1 or 85320.1,NA,"PMID:11447229,PMID:12637526,PMID:12835412,PMID:14507663,PMID:15631998"
CGMPt,-1,0,NA,4.402898804644997,"Transport, extracellular",CGMP Transport (ATP-Dependent),10257.1 or 10057.2 or 10057.1 or 85320.1,NA,"PMID:11447229,PMID:12637526,PMID:12835412,PMID:14507663,PMID:15631998"
GALt4,-1,0,-198.68738968048095,NA,"Transport, extracellular",Galactose Transport via Sodium Symport,6524.1 or 200010.1 or 125206.1,NA,"PMID:12748858,PMID:15607332"
MANt4,1,0,0.9595365573883057,NA,"Transport, extracellular",D-Mannose Transport via Sodium Symport,125206.1 or 200010.1,NA,"PMID:12748858,PMID:15607332"
RETt,-0.6350047963288662,0,43.60812730994914,195.3436554605484,"Transport, extracellular",Retinol Trasnport by Stra6,(5950.1 and 64220.1 and 5947.1) or (5950.1 and 64220.1 and 5948.1),NA,PMID:1503811
r0295,-0.9636677017629879,0,7.677538165424031,414.95128180847166,"Transport, extracellular",Glycine Synthase (Ec 2.1.2.10),275.1,NA,PMID:7916605
EX_lneldccrn[e],-1.408568603212394,0,-6.276901583302312,1.064758923192416,Exchange/demand reaction,"Exchange of 6Z,9Z-Octadecadienoylcarnitine",NA,NA,NA
EX_odecrn[e],2.6053798360499716,0,344.8078599647045,-153.5337775409932,Exchange/demand reaction,Exchange of L-Oleoylcarnitine,NA,NA,NA
DESAT14_9,0.5115935800783086,0,23.129292051473456,7.4732354483790315,Fatty acid synthesis,Desaturation of Myristic Acid to 9-Tetradecenoic Acid,9415.1,NA,NA
3MHISc,-1.0042016523460537,0,-0.13579929007405,64.77669715093141,Histidine metabolism,Formation of Methyl-Histidine,NA,NA,PMID: 21962087
LCAT10e,-1,0,NA,18.310143591835494,Cholesterol metabolism,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Myristoylglycerophosphocholine",3931.1,NA,PMID: 22566575
LCAT11e,-1,0,NA,2.7250424618279134,Cholesterol metabolism,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Oleoylglycerophosphocholine (Delta 9)",3931.1,NA,PMID: 22566575
LCAT12e,-1,0,NA,55.73605051500548,Cholesterol metabolism,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Oleoylglycerophosphoethanolamine (Delta 9)",3931.1,NA,PMID: 22566575
LCAT13e,-1,0,NA,3.345146790046793,Cholesterol metabolism,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Palmitoleoylglycerophosphocholine (Delta 9)",3931.1,NA,PMID: 22566575
LCAT14e,-1,0,NA,3.386320779228441,Cholesterol metabolism,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Palmitoylglycerophosphocholine",3931.1,NA,PMID: 22566575
LCAT54e,-1,0,NA,12.979211934280787,Cholesterol metabolism,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Palmitoylglycerophosphoethanolamine",3931.1,NA,PMID: 22566575
LCAT55e,-1,0,NA,16.48393017563027,Cholesterol metabolism,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Palmitoylglycerophosphoinositol",3931.1,NA,PMID: 22566575
LCAT15e,-1,0,NA,2.8531952403525995,Cholesterol metabolism,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Stearoylglycerophosphocholine",3931.1,NA,PMID: 22566575
LCAT16e,-1,0,NA,11.57010776168681,Cholesterol metabolism,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Stearoylglycerophosphoethanolamine",3931.1,NA,PMID: 22566575
LCAT17e,-1,0,NA,7.417494434848144,Cholesterol metabolism,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Stearoylglycerophosphoinositol",3931.1,NA,PMID: 22566575
LCAT18e,-1,0,NA,3.442121242426356,Cholesterol metabolism,"Lecithin-Cholesterol Acyltransferase, Formation of 2-Linoleoylglycerophosphocholine",3931.1,NA,PMID: 22566575
LCAT19e,-1,0,NA,2.9301635768190937,Cholesterol metabolism,"Lecithin-Cholesterol Acyltransferase, Formation of 2-Linoleoylglycerophosphoethanolamine",3931.1,NA,PMID: 22566575
LCAT20e,-1,0,NA,2.4450139374459394,Cholesterol metabolism,"Lecithin-Cholesterol Acyltransferase, Formation of 2-Oleoylglycerophosphocholine",3931.1,NA,PMID: 22566575
LCAT21e,-1,0,NA,2.4296301497857544,Cholesterol metabolism,"Lecithin-Cholesterol Acyltransferase, Formation of 2-Palmitoylglycerophosphocholine",3931.1,NA,PMID: 22566575
LCAT22e,-1,0,NA,3.6102398373579314,Cholesterol metabolism,"Lecithin-Cholesterol Acyltransferase, Formation of 2-Stearoylglycerophosphocholine",3931.1,NA,PMID: 22566575
LCAT23e,-1,0,NA,4.644256724597389,Cholesterol metabolism,"Lecithin-Cholesterol Acyltransferase, Formation of Cholesterol-Ester (18:3)",3931.1,NA,PMID: 22566575
LCAT25e,-1,0,NA,263.0747486461639,Cholesterol metabolism,"Lecithin-Cholesterol Acyltransferase, Formation of Cholesterol-Ester (18:1)",3931.1,NA,PMID: 22566575
LCAT27e,-1,0,NA,14.249527004938376,Cholesterol metabolism,"Lecithin-Cholesterol Acyltransferase, Formation of Cholesterol-Ester (20:4)",3931.1,NA,PMID: 22566575
LCAT29e,-1,0,NA,5.984065925932641,Cholesterol metabolism,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Pentadecanoylglycerophosphocholine",3931.1,NA,PMID: 22566575
LCAT2e,-1,0,NA,2.4317189483813966,Cholesterol metabolism,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Arachidonoylglycerophosphocholine",3931.1,NA,PMID: 22566575
LCAT30e,-1,0,NA,2.6791496032937574,Cholesterol metabolism,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Octadeca-Trienoylglycerophosphocholine",3931.1,NA,PMID: 22566575
LCAT31e,-1,0,NA,3.6175720056081713,Cholesterol metabolism,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Octadeca-Trienoylglycerophosphocholine (Delta 6, 9, 12)",3931.1,NA,PMID: 22566575
LCAT32e,-1,0,NA,3.13644483026357,Cholesterol metabolism,"Lecithin-Cholesterol Acyltransferase, Formation of 1-NoNADecanoylglycerophosphocholine",3931.1,NA,PMID: 22566575
LCAT33e,-1,0,NA,3.4656838948580106,Cholesterol metabolism,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Eicosenoylglycerophosphocholine (Delta 11)",3931.1,NA,PMID: 22566575
LCAT34e,-1,0,NA,2.8174328008634846,Cholesterol metabolism,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Eicosatetraenoylglycerophosphocholine (Delta 8, 11, 14, 17)",3931.1,NA,PMID: 22566575
LCAT35e,-1,0,NA,3.7321616030731466,Cholesterol metabolism,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Eicosapentenoylglycerophosphocholine (Delta 5, 8, 11, 14, 17)",3931.1,NA,PMID: 22566575
LCAT36e,-1,0,NA,3.5001611024261594,Cholesterol metabolism,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Docosatetraenoylglycerophosphocholine (Delta 7, 10, 13, 16)",3931.1,NA,PMID: 22566575
LCAT37e,-1,0,NA,4.649963458347772,Cholesterol metabolism,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Docosapentenoylglycerophosphocholine (Delta 7, 10, 13, 16, 19)",3931.1,NA,PMID: 22566575
LCAT38e,-1,0,NA,2.7208427547276157,Cholesterol metabolism,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Docosapentenoylglycerophosphocholine (Delta 4, 7, 10, 13, 16)",3931.1,NA,PMID: 22566575
LCAT39e,-1,0,NA,2.605374823829517,Cholesterol metabolism,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Docosahexenoylglycerophosphocholine (Delta 4, 7, 10, 13, 16, 19)",3931.1,NA,PMID: 22566575
LCAT3e,-1,0,NA,2.578032380356589,Cholesterol metabolism,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Arachidonoylglycerophosphoethanolamine",3931.1,NA,PMID: 22566575
LCAT40e,-1,0,NA,3.3237215002814513,Cholesterol metabolism,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Eicosatrienoylglycerophosphoethanolamine (Delta 11, 14, 17)",3931.1,NA,PMID: 22566575
LCAT41e,-1,0,NA,3.2159375224500417,Cholesterol metabolism,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Docosahexenoylglyceroethanolamine (Delta 4, 7, 10, 13, 16, 19)",3931.1,NA,PMID: 22566575
LCAT42e,-1,0,NA,2.665797729070622,Cholesterol metabolism,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Docosatetraenoyglycerophosphoethanolamine (22:4, Delta 7, 10, 13, 16)",3931.1,NA,PMID: 22566575
LCAT43e,-1,0,NA,3.2665637990912977,Cholesterol metabolism,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Dihomo-Linolenoylglycerophosphoethanolamine (20:3, Delta 8, 11, 14)",3931.1,NA,PMID: 22566575
LCAT44e,-1,0,NA,6.552613216147547,Cholesterol metabolism,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Didecanoylglycerophosphoethanolamine (C12:0 Pe)",3931.1,NA,PMID: 22566575
LCAT45e,-1,0,NA,2.814669002324568,Cholesterol metabolism,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Myristoylglycerophosphoethanolamine (C14:0 Pe)",3931.1,NA,PMID: 22566575
LCAT56e,-1,0,NA,6.028933972343007,Cholesterol metabolism,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Hexadecenoylglycerophosphoethanolamine (C16:1 Pe, Delta 9)",3931.1,NA,PMID: 22566575
LCAT46e,-1,0,NA,4.08069450879085,Cholesterol metabolism,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Tridecanoylglycerophosphoethanolamine (C13:0 Pe)",3931.1,NA,PMID: 22566575
LCAT47e,-1,0,NA,6.4436473222721125,Cholesterol metabolism,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Pentadecanoylglycerophosphoethanolamine (C15:0 Pe)",3931.1,NA,PMID: 22566575
LCAT48e,-1,0,NA,2.4395200110965907,Cholesterol metabolism,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Heptadecanoylglycerophosphoethanolamine (C17:0 Pe)",3931.1,NA,PMID: 22566575
LCAT49e,-1,0,NA,3.6887979977514656,Cholesterol metabolism,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Dihomo-Linolenoylglycerophosphocholine (20:3, Delta 8, 11, 14)",3931.1,NA,PMID: 22566575
LCAT4e,-1,0,NA,7.942474212018385,Cholesterol metabolism,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Arachidonoylglycerophosphoinositol",3931.1,NA,PMID: 22566575
LCAT50e,-1,0,NA,3.885728526414516,Cholesterol metabolism,"Lecithin-Cholesterol Acyltransferase, Formation of 1-1-Lignocericylglycerophosphocholine (24:0)",3931.1,NA,PMID: 22566575
LCAT51e,-1,0,NA,4.2222097019136005,Cholesterol metabolism,"Lecithin-Cholesterol Acyltransferase, Formation of Lysopc A C26:1 (Delta 5)",3931.1,NA,PMID: 22566575
LCAT52e,-1,0,NA,4.888986001698146,Cholesterol metabolism,"Lecithin-Cholesterol Acyltransferase, Formation of Lysopc A C28:1 (Delta 5)",3931.1,NA,PMID: 22566575
LCAT53e,-1,0,NA,3.2678651469318445,Cholesterol metabolism,"Lecithin-Cholesterol Acyltransferase, Formation of Lysopc A C28:0",3931.1,NA,PMID: 22566575
LCAT57e,-1,0,NA,2.6883122810952216,Cholesterol metabolism,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Docosahexaenoylglycerophosphocholine",3931.1,NA,PMID: 22566575
LCAT5e,-1,0,NA,4.302646031701191,Cholesterol metabolism,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Eicosadienoylglycerophosphocholine (Delta 11, 14)",3931.1,NA,PMID: 22566575
LCAT6e,-1,0,NA,3.546280356251652,Cholesterol metabolism,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Eicosatrienoylglycerophosphocholine (Delta 11, 14, 17)",3931.1,NA,PMID: 22566575
LCAT7e,-1,0,NA,3.7944464052302904,Cholesterol metabolism,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Heptadecanoylglycerophosphocholine",3931.1,NA,PMID: 22566575
LCAT8e,-1,0,NA,3.1826608158175005,Cholesterol metabolism,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Linoleoylglycerophosphocholine (Delta 9, 12)",3931.1,NA,PMID: 22566575
LCAT9e,-1,0,NA,11.049877931434933,Cholesterol metabolism,"Lecithin-Cholesterol Acyltransferase, Formation of 1-Linoleoylglycerophosphoethanolamine (Delta 9, 12)",3931.1,NA,PMID: 22566575
MAGLINL_HSe,1,0,119.60144678012132,NA,Glycerophospholipid metabolism,"Lipase, Extracellular, Formation of 1-Linoleoylglycerol",4023.1 or 1056.1,NA,PMID: 11717312
MAGOLE_HSe,1,0,4.659813078192316,NA,Glycerophospholipid metabolism,"Lipase, Extracellular, Formation of 1-Oleoylglycerol",4023.1 or 1056.1,NA,PMID: 11717312
LPS5e,1,0,5.473275731469567,NA,Glycerophospholipid metabolism,"Lipase, Extracellular, Formation of 1-Palmitoylglycerol",4023.1 or 1056.1,NA,PMID: 11717312
LPS6e,1,0,7.294945918774893,NA,Glycerophospholipid metabolism,"Lipase, Extracellular, Formation of 1-Stearoylglycerol",4023.1 or 1056.1,NA,PMID: 11717312
LPS7e,1,0,58.295560135680624,NA,Glycerophospholipid metabolism,"Lipase, Extracellular, Formation of 1-Linoleoylglycerol",4023.1 or 1056.1,NA,PMID: 11717312
PCHOLMYR_HSPLA2,-0.34019928164156843,0,5.856820473394151,11.896480820262456,Glycerophospholipid metabolism,Formation of 1-Myristoylglycerophosphocholine by Phospholipase A2,8398.1 or 5320.1 or 8398.2 or 50487.1 or 5321.1 or 81579.1 or 5322.1 or 64600.1 or 100137049.1 or 123745.1,NA,"PMID: 19570538, PMID: 18220755"
PAILPALM_HSPLA2,-0.8896285123369018,0,13.833350874144724,236.83557036700248,Glycerophospholipid metabolism,Formation of 1-Palmitoylglycerophosphoinositol by Phospholipase A2,8398.1 or 5320.1 or 8398.2 or 50487.1 or 5321.1 or 81579.1 or 5322.1 or 64600.1 or 100137049.1 or 123745.1,NA,PMID: 1464738
PCHOL2PALM_HSPLA2,-0.5492723089074038,0,4.629396834252842,15.912482112793217,Glycerophospholipid metabolism,Formation of 2-Palmitoylglycerophosphocholine by Phospholipase A2,8398.1 or 5320.1 or 8398.2 or 50487.1 or 5321.1 or 81579.1 or 5322.1 or 64600.1 or 100137049.1 or 123745.1,NA,"PMID: 19570538, PMID: 18220755"
PCHOLN19_HSPLA2,0.4002226924544778,0,4.9418561488322235,2.116815554551682,Glycerophospholipid metabolism,"Formation of 1-NoNADecanoylglycerophosphocholine, Sn1-Lpc (19:0) by Phospholipase A2",8398.1 or 5320.1 or 8398.2 or 50487.1 or 5321.1 or 81579.1 or 5322.1 or 64600.1 or 100137049.1 or 123745.1,NA,"PMID: 19570538, PMID: 18220755"
PCHOLN204_HSPLA2,-0.3637788215624267,0,2.044119025781649,4.381693553427297,Glycerophospholipid metabolism,"Formation of 1-Eicosatetraenoylglycerophosphocholine (Delta 8, 11, 14, 17), Sn1-Lpc (20:4) by Phospholipase A2",8398.1 or 5320.1 or 8398.2 or 50487.1 or 5321.1 or 81579.1 or 5322.1 or 64600.1 or 100137049.1 or 123745.1,NA,"PMID: 19570538, PMID: 18220755"
PEAR_HSPLA2,0.5253178106201715,0,5.875894505316299,1.828591031277872,Glycerophospholipid metabolism,Formation of 1-Arachidonoyl-Sn-Glycero-3-Phosphoethanolamine by Phospholipase A2,8398.1 or 5320.1 or 8398.2 or 50487.1 or 5321.1 or 81579.1 or 5322.1 or 64600.1 or 100137049.1 or 123745.1,NA,PMID: 8171289
PE203_HSPLA2,0.43898111047555427,0,7.593254942186568,2.960399844396628,Glycerophospholipid metabolism,"Formation of 1-Eicosatrienoylglycerophosphoethanolamine (Delta 11, 14, 17), Lpe (20:3) by Phospholipase A2",8398.1 or 5320.1 or 8398.2 or 50487.1 or 5321.1 or 81579.1 or 5322.1 or 64600.1 or 100137049.1 or 123745.1,NA,PMID: 8171289
PE224_HSPLA2,0.5892907685754337,0,95.74400032603089,24.74244837064323,Glycerophospholipid metabolism,"Formation of 1-Docosatetraenoyglycerophosphoethanolamine (22:4, Delta 7, 10, 13, 16) by Phospholipase A2",8398.1 or 5320.1 or 8398.2 or 50487.1 or 5321.1 or 81579.1 or 5322.1 or 64600.1 or 100137049.1 or 123745.1,NA,PMID: 8171289
PCHOLN261_HSPLA2,-0.5024032715503783,0,4.0177496754493385,12.13086805347976,Glycerophospholipid metabolism,Formation of Lysopc A C26:1 (Delta 5) by Phospholipase A2,8398.1 or 5320.1 or 8398.2 or 50487.1 or 5321.1 or 81579.1 or 5322.1 or 64600.1 or 100137049.1 or 123745.1,NA,"PMID: 19570538, PMID: 18220755"
PCHOLHEP_HSPLA2,-0.3468058438665682,0,2.5351627669722863,5.227193167070742,Glycerophospholipid metabolism,Formation of 1-Heptadecanoylglycerophosphocholine by Phospholipase A2,8398.1 or 5320.1 or 8398.2 or 50487.1 or 5321.1 or 81579.1 or 5322.1 or 64600.1 or 100137049.1 or 123745.1,NA,"PMID: 19570538, PMID: 18220755"
2OXOADPt,-1,0,-30.565153455338756,NA,"Transport, extracellular",Transport of 2-Oxoadipate by Alpha-Ketoglutarate Antiport,NA,NA,NA
3HMPtd,1,0,16.153181431030855,NA,"Transport, extracellular","Transport of 3-Hydroxy-2-Methylpropanoate, Diffusion",NA,NA,NA
3MHISt3,1,0,NA,-64.77669715093141,"Transport, extracellular",Transport of Methyl-Histidine by System L Transport (Lat2),NA,NA,PMID: 2506342
4TMEABUTNt2,-0.3518852087159247,0,4.5292648320829265,9.447471675069874,"Transport, extracellular","Transport of 4- (Trimethylammonio)Butanoate, Proton Symport",NA,NA,NA
56DTHMt,-6.236764786009321,0,-37.174391550619625,26.900631756052842,"Transport, extracellular","Transport of 5, 6-Dihydrothymine, Sodium Symport",NA,NA,NA
56DURAtd,-1,0,-116.14828646979183,NA,"Transport, extracellular","Transport of 5, 6-Dihydrouracil, Diffusion",NA,NA,NA
ADPACtd,1.7652348517838432,0,1.1611495070580147,-4.195902836317007,"Transport, extracellular","Transport of Adipic Acid, Diffusion",NA,NA,"Glatz JFC, Luiken JJFP, Bonen A. (2010). Physiological Reviews 90: 367-417, Kamp F, Hamilton JA. (2006). Prostaglandins, Leukotrienes and Essential Fatty Acids 75: 149-59, PMCID: PMC2785172, Evtodienko VY, Bondarenko DI, Antonenko YN. (1999). Biochimica et Biophysica Acta (BBA) - Biomembranes 1420: 95-103"
ARACHETH,-0.7470031344735365,0,5.8758945053162055,40.57443991356287,Glycerophospholipid metabolism,Formation of O-Arachidonoyl Ethanolamine,5337.1 or 5338.1,NA,PMID: 19126434
BILIVERDt,0.33321369062706424,0,-146.28932065337636,-292.49989441299437,"Transport, extracellular",Transport of Biliverdin,NA,NA,NA
C02712te,-0.44780494571888474,0,117.07336936769485,306.9556705885172,"Transport, extracellular","Transport of N-Acetylmethionine, Extracellular",64849.1,NA,"PMID: 15337171, PMID: 21554324"
C04717td,-1,0,NA,6.924746779974284,"Transport, extracellular","Transport of 13(S)-HPODE, Diffusion",NA,NA,NA
CE2510t,-1,0,NA,6.695087664694626,"Transport, extracellular",Transport of 11-Cis-Eicosenoate,NA,NA,"PMID: 24653705, PMID: 9831619, PMID: 5555776, PMID: 23104810"
DIDECAETH,0.874962585636006,0,83.809562729555,5.589088071923208,Glycerophospholipid metabolism,Formation of C12:0-Ethanolamide,5337.1 or 5338.1,NA,PMID: 19126434
DIHOLINETH,-0.884234011502069,0,3.5621799597798933,57.97886514335177,Glycerophospholipid metabolism,Formation of Dihomo-Gamma-Linolenoyl Ethanolamide,5337.1 or 5338.1,NA,PMID: 19126434
DOCOHEXETHc,-0.9091029985377289,0,4.052700701801734,85.11857308293162,Glycerophospholipid metabolism,Formation of Docosahexaenoyl Ethanolamide,5337.1 or 5338.1,NA,PMID: 19126434
DOCTETETH,0.8068015139998141,0,95.74400032603089,10.237757586134267,Glycerophospholipid metabolism,"Formation of Docosatetraenoyl Ethanolamide (22:4, Delta 7, 10, 13, 16)",5337.1 or 5338.1,NA,PMID: 19126434
EX_2oxoadp[e],-1,0,-30.56515345533875,NA,Exchange/demand reaction,Exchange of 2-Oxoadipate,NA,NA,NA
EX_3hmp[e],1,0,16.153181431030855,NA,Exchange/demand reaction,Exchange of 3-Hydroxy-2-Methylpropanoate,NA,NA,NA
EX_3mhis[e],-1.0042016523460537,0,-0.13579929007405,64.77669715093141,Exchange/demand reaction,Exchange of Methyl-Histidine,NA,NA,NA
EX_4tmeabutn[e],-0.3518852087159247,0,4.5292648320829265,9.447471675069874,Exchange/demand reaction,Exchange of 4- (Trimethylammonio)Butanoate,NA,NA,NA
EX_56dthm[e],-6.236764786009321,0,-37.174391550619625,26.900631756052842,Exchange/demand reaction,"Exchange of 5, 6-Dihydrothymine",NA,NA,NA
EX_56dura[e],-1,0,-116.14828646979183,NA,Exchange/demand reaction,"Exchange of 5, 6-Dihydrouracil",NA,NA,NA
EX_adpac[e],1.7652348517838432,0,1.1611495070580147,-4.195902836317007,Exchange/demand reaction,Exchange of Adipic Acid,NA,NA,NA
EX_amet[e],-1,0,-388.25562576360704,NA,Exchange/demand reaction,Exchange of S-Adenosyl-L-Methionine,NA,NA,NA
EX_aracheth[e],-0.7470031344735365,0,5.8758945053162055,40.57443991356287,Exchange/demand reaction,Exchange of O-Arachidonoyl Ethanolamine,NA,NA,NA
EX_biliverd[e],0.33321369062706424,0,-146.28932065337636,-292.49989441299437,Exchange/demand reaction,Exchange of Biliverdin,NA,NA,NA
EX_C02712[e],-0.44780494571888474,0,117.07336936769485,306.9556705885172,Exchange/demand reaction,Exchange of N-Acetylmethionine,NA,NA,NA
EX_C04717[e],-1,0,NA,6.924746779974284,Exchange/demand reaction,Exchange of 13(S)-HPODE,NA,NA,NA
EX_didecaeth[e],0.874962585636006,0,83.809562729555,5.589088071923208,Exchange/demand reaction,"Exchange of C12:0-Ethanolamide, Didecanoyl Ethanolamide",NA,NA,NA
EX_diholineth[e],-0.884234011502069,0,3.5621799597798933,57.97886514335177,Exchange/demand reaction,Exchange of Dihomo-Gamma-Linolenoyl Ethanolamide,NA,NA,NA
EX_docohxeth[e],-0.9091029985377289,0,4.052700701801734,85.11857308293162,Exchange/demand reaction,Exchange of Docosahexaenoyl Ethanolamide,NA,NA,NA
EX_docteteth[e],0.8068015139998141,0,95.74400032603089,10.237757586134267,Exchange/demand reaction,"Exchange of Docosatetraenoyl Ethanolamide (22:4, Delta 7, 10, 13, 16)",NA,NA,NA
EX_forglu[e],-1,0,NA,84.68665424727007,Exchange/demand reaction,Exchange of N-Formimidoyl-L-Glutamate,NA,NA,NA
EX_hepdeceth[e],0.5043879256385707,0,17.269963086292247,5.689491442647327,Exchange/demand reaction,Exchange of Heptadecanoyl Thanolamide (C17:0),NA,NA,NA
EX_hexdeceeth[e],-0.44474946179644104,0,4.865576029316799,12.66011983064126,Exchange/demand reaction,"Exchange of Hexadecenoyl Ethanolamide, C16:1-Ethanolamide (Delta 9)",NA,NA,NA
EX_hexdiac[e],-1,0,-24.561415657471237,NA,Exchange/demand reaction,Exchange of Hexadecanediocacid,NA,NA,NA
EX_leuktrB4wcooh[e],-1,0,NA,18.531224327478558,Exchange/demand reaction,Exchange of W-Carboxy Leukotriene B4,NA,NA,NA
EX_leuktrB4woh[e],1,0,6.621042693479042,NA,Exchange/demand reaction,Exchnage for W-Hydroxyl Leukotriene B4,NA,NA,NA
EX_lnlccrn[e],-0.5899508996992932,0,-712.997659664917,-183.8824387076378,Exchange/demand reaction,Exchange of Linoleyl Carnitine,NA,NA,NA
EX_magarachi_hs[e],1,0,58.295560135680624,NA,Exchange/demand reaction,Exchange of 1-Arachidonoyl Glycerol,NA,NA,NA
EX_maglinl_hs[e],1,0,119.60144678012132,NA,Exchange/demand reaction,Exchange of 1-Linoleoylglycerol,NA,NA,NA
EX_magole_hs[e],1,0,4.659813078192316,NA,Exchange/demand reaction,Exchange of 1-Oleoylglycerol,NA,NA,NA
EX_magpalm_hs[e],1,0,5.473275731469567,NA,Exchange/demand reaction,Exchange of 1-Palmitoylglycerol,NA,NA,NA
EX_magste_hs[e],1,0,7.294945918774893,NA,Exchange/demand reaction,Exchange of 1-Stearoylglycerol,NA,NA,NA
EX_oleth[e],-0.4315109421216837,0,4.903576042262834,12.347683148419542,Exchange/demand reaction,Exchange of Oleoyl Ethanolamide,NA,NA,NA
EX_pailpalm_hs[e],-0.8964386806595636,0,13.833350874144724,253.3195004461527,Exchange/demand reaction,Exchange of 1-Palmitoylglycerophosphoinositol,NA,NA,NA
EX_pailste_hs[e],-1,0,NA,7.417494434848144,Exchange/demand reaction,Exchange of 1-Stearoylglycerophosphoinositol,NA,NA,NA
EX_pchol2linl_hs[e],-0.5114906132652923,0,2.6221769071537957,8.11324385796574,Exchange/demand reaction,Exchange of 2-Linoleoylglycerophosphocholine,NA,NA,NA
EX_pchol2palm_hs[e],-0.596944474582302,0,4.629396834252842,18.342112262193684,Exchange/demand reaction,Exchange of 2-Palmitoylglycerophosphocholine,NA,NA,NA
EX_pchol2ste_hs[e],-0.5117438446618521,0,2.5760342743577027,7.975944420406064,Exchange/demand reaction,Exchange of 2-Stearoylglycerophosphocholine,NA,NA,NA
EX_pcholar_hs[e],-0.3437687921807864,0,2.8087450930434557,5.751485080640214,Exchange/demand reaction,Exchange of 1-Arachidonoyl-Glycero-3-Phosphocholine,NA,NA,NA
EX_pcholeic_hs[e],-0.36792341407485646,0,3.166048706737709,6.8518787952079565,Exchange/demand reaction,"Exchange of 1-Eicosadienoylglycerophosphocholine (Delta 11, 14)",NA,NA,NA
EX_pcholet_hs[e],-0.5157401761719633,0,2.469743884409638,7.730333689180931,Exchange/demand reaction,"Exchange of 1-Eicosatrienoylglycerophosphocholine (Delta 11, 14, 17)",NA,NA,NA
EX_pcholhep_hs[e],-0.5612691654588673,0,2.5351627669722863,9.021639570040591,Exchange/demand reaction,Exchange of 1-Heptadecanoylglycerophosphocholine,NA,NA,NA
EX_pchollinl_hs[e],-0.3753941820037301,0,2.6397971313138218,5.81288472100151,Exchange/demand reaction,"Exchange of 1-Linoleoylglycerophosphocholine (Delta 9, 12)",NA,NA,NA
EX_pcholmyr_hs[e],-0.6751935103445981,0,5.856820473394151,30.206624438730906,Exchange/demand reaction,Exchange of 1-Myristoylglycerophosphocholine,NA,NA,NA
EX_pcholn15_hs[e],-0.5929020197837109,0,2.134171494678115,8.350633630339903,Exchange/demand reaction,"Exchange of 1-Pentadecanoylglycerophosphocholine, Sn1-Lpc (15:0)",NA,NA,NA
