Reaction,fc,pval,S1K,S1K_FC5,subSystem,rxnNames,geneRules,kegg,source
PCHOLDOC_HSPLA2,-0.3324911016586924,0,2.4307948523785905,1.217702085954016,Glycerophospholipid metabolism,Formation of 1-Docosahexaenoylglycerophosphocholine by Phospholipase A2,8398.1 or 5320.1 or 8398.2 or 50487.1 or 5321.1 or 81579.1 or 5322.1 or 64600.1 or 100137049.1 or 123745.1,NA,"PMID: 19570538, PMID: 18220755"
PCHOLDEIC_HSPLA2,0.3342429173997542,0,1.447235742194772,2.90040329918743,Glycerophospholipid metabolism,"Formation of 1-Eicosadienoylglycerophosphocholine (Delta 11, 14) by Phospholipase A2",8398.1 or 5320.1 or 8398.2 or 50487.1 or 5321.1 or 81579.1 or 5322.1 or 64600.1 or 100137049.1 or 123745.1,NA,"PMID: 19570538, PMID: 18220755"
GPDDACHOL,-0.8275011796742199,0,185.18161839151384,17.479392666793988,Glycerophospholipid metabolism,Glycerophosphocholine Phosphodiesterase,56261.1,NA,"PMID: 182119, PMID: 3829393."
GLYC2P3Pc,-0.8275011796742199,0,185.18161839151384,17.479392666793988,"Transport, extracellular",Formation of Glycerol-3-Phosphate,NA,NA,"PMID: 182119, PMID: 3829393."
LNLCCRNNAt,-1,0,NA,-114.7315830856502,"Transport, extracellular","Transport of Linoleyl Carnitine, Sodium Symport",NA,NA,NA
2OXOADPt,-0.9222171725777207,0,231.9324154046014,9.385182537338425,"Transport, extracellular",Transport of 2-Oxoadipate by Alpha-Ketoglutarate Antiport,NA,NA,NA
5AOPt,1,0,-921.0780036193847,NA,"Transport, extracellular","Transport of 5-Amino-4-Oxopentanoate, Proton Symport",NA,NA,PMID: 11752223
ACGLUtd,-0.6123919267301681,0,43.56019974642396,10.47157630539661,"Transport, extracellular","Transport of N-Acetyl-L-Glutamate, Diffusion",NA,NA,NA
ADPACtd,-1,0,NA,-6.9189355068114375,"Transport, extracellular","Transport of Adipic Acid, Diffusion",NA,NA,"Glatz JFC, Luiken JJFP, Bonen A. (2010). Physiological Reviews 90: 367-417, Kamp F, Hamilton JA. (2006). Prostaglandins, Leukotrienes and Essential Fatty Acids 75: 149-59, PMCID: PMC2785172, Evtodienko VY, Bondarenko DI, Antonenko YN. (1999). Biochimica et Biophysica Acta (BBA) - Biomembranes 1420: 95-103"
AND19ONEt,-0.3903573334019382,0,13.455735225038708,5.900059003938529,"Transport, extracellular","Secretion of 19-Hydroxyandrost-4-Ene-3, 17-Dione",NA,NA,NA
C03990ATP,0.5971846932626461,0,3.307594842693171,13.114794214383105,"Transport, extracellular","Transport of Lithocholate, Active Transport",8647.1 or 8714.1 or 85320.1,NA,PMID: 19498215
C03990t,-0.8375827677921105,2.7186797621161206e-6,-0.8641581250031479,-9.777054180561192,"Transport, extracellular","Transport of Lithocholate, Sodium Symport",6554.1,NA,PMID: 19498215
CE2445t,0.3708324062370179,0,2.3363360798521775,5.090416674143968,"Transport, extracellular","Transport of 6-Trans-Leukotriene B4, Active Transport",NA,NA,PMID: 7966417
CE6247t,0.5212567124653088,6.275436972523553e-8,2.572834371448749,8.175449472686878,"Transport, extracellular","Transport of 5, 12, 20-Trihete, Active Transport",NA,NA,PMID: 7966417
CORTSNti,0.40775769002087514,0,-166.25908523050546,-69.9450376935754,"Transport, endoplasmic reticular",Intracellular Transport of Cortisone,NA,NA,"PMID: 20649839, PMID: 16317684"
ELAIDCRNtd,1,0,-438.36414660118817,NA,"Transport, extracellular",Transport of Elaidic Carnitine by Diffusion,NA,NA,NA
EX_2oxoadp[e],-0.9222171725786712,0,231.9324154046014,9.38518253721911,Exchange/demand reaction,Exchange of 2-Oxoadipate,NA,NA,NA
EX_adpac[e],-1,0,NA,-6.918935506809623,Exchange/demand reaction,Exchange of Adipic Acid,NA,NA,NA
EX_amet[e],1,0,-371.2043627904892,NA,Exchange/demand reaction,Exchange of S-Adenosyl-L-Methionine,NA,NA,NA
EX_and19one[e],-0.3903573334019382,0,13.455735225038708,5.900059003938529,Exchange/demand reaction,"Exchange of 19-Hydroxyandrost-4-Ene-3, 17-Dione",NA,NA,NA
EX_CE2445[e],0.3708324062370179,0,2.3363360798521775,5.090416674143968,Exchange/demand reaction,Exchange of 6-Trans-Leukotriene B4,NA,NA,NA
EX_CE6247[e],0.5212567124653088,6.275436972523553e-8,2.572834371448749,8.175449472686878,Exchange/demand reaction,"Exchange of 5, 12, 20-Trihete",NA,NA,NA
EX_elaidcrn[e],1,0,-438.36414660118817,NA,Exchange/demand reaction,Exchange of Elaidic Carnitine,NA,NA,NA
EX_HC00900[e],1,0,-31.21822264607623,NA,Exchange/demand reaction,Exchange of Methylmalonate,NA,NA,NA
EX_hxcoa[e],-17.560058629296066,0,54.24088252304066,-60.79169055304174,Exchange/demand reaction,Exchange of Hexanoate,NA,NA,NA
EX_leuktrB4woh[e],0.3796457183351039,0,6.073644333148328,13.507567605449038,Exchange/demand reaction,Exchnage for W-Hydroxyl Leukotriene B4,NA,NA,NA
EX_lnlccrn[e],0.6991796129968231,0,-648.0596906616211,-114.7315830856502,Exchange/demand reaction,Exchange of Linoleyl Carnitine,NA,NA,NA
EX_magole_hs[e],-0.5139364539872047,0,3.7227356699467724,1.195219321020419,Exchange/demand reaction,Exchange of 1-Oleoylglycerol,NA,NA,NA
EX_magpalm_hs[e],0.4291193196608013,0,1.4248906376768042,3.5670128782389234,Exchange/demand reaction,Exchange of 1-Palmitoylglycerol,NA,NA,NA
EX_mev_R[e],-4.330019597366777,0,75.68186674627215,-47.28352210091222,Exchange/demand reaction,Exchange of (R)-Mevalonate,NA,NA,NA
EX_Nacasp[e],0.46827625626098984,0,-21.090585856587577,-7.637776080280346,Exchange/demand reaction,Exchange of N-Acetyl-L-Aspartate,NA,NA,NA
EX_pailpalm_hs[e],0.4760217461904375,0,5.429228964331819,15.293879007645382,Exchange/demand reaction,Exchange of 1-Palmitoylglycerophosphoinositol,NA,NA,NA
