Reaction,fc,pval,S1K1,S1K1_FC5,subSystem,rxnNames,geneRules,kegg,source
SCP2x,-0.46827262480064374,0,23.710978427386284,8.586808818501607,Bile acid synthesis,Peroxisomal Thiolase 2,6342.1,NA,PMID:1703300
SCPx,0.549477272024951,0,15.675697432833443,53.91323320021378,Bile acid synthesis,Peroxisomal Thiolase 2,6342.1,NA,NA
SERASNNaEx,-0.6243798789815792,0,78.89056672540455,18.24258266433766,"Transport, extracellular",L-Serine/L-Asparagine Na-Dependent Exchange (Ser-L In),6510.1,NA,PMID:14530974
SERCYSNaEx,0.7636312692612056,0,3.6410209633273305,27.166953948979824,"Transport, extracellular",L-Serine/L-Cysteine Na-Dependent Exchange (Ser-L In),6509.1 or 6510.1,NA,PMID:14530974
SERDGLYexR,0.4633215434681377,0,8.925937116146088e-7,2.433769404888153e-6,"Transport, extracellular",D-Serine/Glycine Reversible Antiport,56301.1 and 6520.1,NA,"PMID:10734121,PMID:10863037,PMID:14770310"
SERGLNNaEx,-0.5450780203404054,0,63.03168500469923,18.55860904506318,"Transport, extracellular",L-Serine/L-Glutamine Na-Dependent Exchange (Ser-L In),6510.1,NA,PMID:14530974
SERLYSNaex,-0.8920153174373838,0,11.59897110397483,0.6619984527462104,"Transport, extracellular",Serine/Lysine Na-Dependent Exchange (Ser In),9056.1 and 6519.1,NA,PMID:14770310
SERt4,-0.648611063939263,8.003837898607773e-8,4.938729516689479,1.0526527137423167,"Transport, extracellular",L-Serine via Sodium Symport,81539.1 or 11254.1 or 54407.1 or 55089.1 or (340024.1 and 57393.1) or (340024.1 and 59272.1),NA,"PMID:10747860,PMID:10891391,PMID:10930503,PMID:11325958,PMID:11342143,PMID:11414754"
SERtp,0.3397013292536107,0,61.04268655877523,123.85148107531592,"Transport, peroxisomal","L-Serine Transport, Peroxisomal",NA,NA,PMID:10347152
SGPL12r,-0.5691224875195674,0,93.61758005823269,25.70717731774654,Sphingolipid metabolism,Sphingosine-1-Phosphate Lyase,8879.1,NA,"PMID:11018465,PMID:14570870"
SMPD3g,0.9005543148462252,0,4.415575878924295,84.38819418101161,Sphingolipid metabolism,"Sphingomyelin Phosphodiesterase 3, Neutral Membrane (Neutral Sphingomyelinase Ii)",55512.1 or 55512.2 or 339221.1 or 55627.1,NA,NA
SMPD3l,-0.7277752945919762,0,39.41815918364748,6.210643713382369,Sphingolipid metabolism,"Sphingomyelin Phosphodiesterase 3, Neutral Membrane (Neutral Sphingomyelinase Ii)",55512.1 or 55512.2 or 6609.1,NA,PMID:10823942
SMS,-0.5876142329981369,0,62.435531144605854,16.217746014164902,Sphingolipid metabolism,Sphingomyelin Synthase (Homo Sapiens),259230.1,NA,PMID:14685263
SO4CLtex2,0.5519196582054281,0,26.778873121853174,92.74823228341043,"Transport, extracellular",Sulfate Transport via Chloride Antiport (2:1),65010.1 or 65010.3 or 65010.2,NA,PMID:12759755
SO4OXAtex2,0.33609498436141466,0,17.158294147446753,34.53070877699368,"Transport, extracellular",Sulfate Transport via Oxalate Antiport (2:1),65010.1 or 65010.3 or 65010.2,NA,PMID:12759755
SPH1Ptr,-1,0,3.3561497954435198,NA,"Transport, endoplasmic reticular","Transport of (2S,3R)-2-Azaniumyl-3-Hydroxyoctadecyl Phosphate",NA,NA,"PMID:15052333,PMID:15585321"
SPHGNtr,-1,0,13.996564842999097,NA,"Transport, endoplasmic reticular",Sphinganine Intracellular Transport,NA,NA,NA
SPHINGStl,0.5235067308735208,0,-136.73476336604654,-42.765281622462346,"Transport, lysosomal",Sphingosine Intracellular Transport,NA,NA,NA
SPHINGStr,1,0,-21.08606803771765,NA,"Transport, endoplasmic reticular",Sphingosine Intracellular Transport,NA,NA,NA
SPHK21c,-0.5360106951318173,0,133.10273550052344,40.20691126479525,Sphingolipid metabolism,Sphingosine Kinase 2,56848.1 or 8877.1,NA,PMID:10751414
SPHS1Ptr,-0.589391859811001,0,99.50795994628221,25.70717731774654,"Transport, endoplasmic reticular",Sphingosine-1-Phosphate Transport,NA,NA,"PMID:15052333,PMID:15585321"
SPRMS,0.7017502283565856,0,5.751218956918284,32.8152411293909,Urea cycle,Spermine Synthase,6611.1 or 6723.1,NA,PMID:7546290
SPTix,0.3397013292536107,0,61.04268655877523,123.85148107531592,"Glycine, serine, alanine, and threonine metabolism","Serine-Pyruvate Aminotransferase (Irreversible), Peroxisomal",189.1,NA,"PMID:10960483,PMID:9783918"
SQLEr,0.38208504728438036,0,1.9123561633049393,4.277350542773283,Cholesterol metabolism,"Squalene Epoxidase, Endoplasmic Reticular (NADP)",6713.1,NA,PMID:1964954
SQLSr,0.38208508003004843,0,1.9123560784965754,4.277350681099295,Cholesterol metabolism,Squalene Synthase,2222.1,NA,PMID:1318747
SR5AR2r,-0.8068282480894593,0,149.74520358772278,16.00957000081658,Steroid metabolism,3-Oxo-5-Alpha-Steroid 4-Dehydrogenase,6715.1 or 6716.1,NA,PMID:14643063
ST8SIA55g,0.4571667825702117,0,0.5815729148619901,1.5611585768312668,Sphingolipid metabolism,"Beta-Galactoside Alpha-2, 3-Sialyltransferase",29906.1,NA,PMID:9199191
STS1,-0.5716475831705407,0,547.8329773017883,149.31183196470812,Steroid metabolism,Steryl-Sulfatase,412.1,NA,"PMID:2668275,PMID:6957717"
STS1r,-1,0,279.54033220203223,NA,Steroid metabolism,Steryl-Sulfatase,412.1,NA,"PMID:2668275,PMID:6957717"
STS2,-1,0,55.065699355578424,NA,Steroid metabolism,Steryl-Sulfatase,412.1,NA,"PMID:2668275,PMID:6957717"
STS2r,-1,0,10.142534919084257,NA,Steroid metabolism,Steryl-Sulfatase,412.1,NA,"PMID:2668275,PMID:6957717"
SUCCtp,0.6274837061123164,0,-77.24667305786163,-17.6810644890612,"Transport, peroxisomal","Succinate Transporter, Peroxisome",NA,NA,NA
SUCOASm,0.5055660034701078,0,-428.81065438022614,-140.8231622600019,Citric acid cycle,Succinate- Coenzyme A Ligase (ADP-Forming),8802.1 and 8803.1,NA,PMID:9765291
TAURtcx,-0.45026155008812463,0,-14.644647744315503,-38.63395318550151,Taurine and hypotaurine metabolism,Taurine Transport (Sodium Symport) (Cytosol to Peroxisome),6533.1,NA,PMID:8010975
TCHOLAt2,-0.5296938783188595,0,49.53423891409254,15.229358059350139,"Transport, extracellular",Taurocholate Transport via Sodium Symport,6554.1 or 6555.1,NA,"PMID:12851823,PMID:7592981,PMID:8132774,PMID:9109432"
TCHOLAtx,-0.4245904936105892,0,80.84777632992268,32.655404678980446,"Transport, peroxisomal",Bile Acid Intracellular Transport,NA,NA,NA
TETPENT6COAtx,0.5517367068673448,0,5.41092190027464,18.730791165101774,"Transport, peroxisomal",Fatty Acid Intracellular Transport,NA,NA,NA
TETPENT6t,0.3540334212728069,0,10.31875203819779,21.629501565045178,"Transport, extracellular",Fatty Acid Transport via Diffusion,NA,NA,"PMID:11788354,PMID:12864740"
TETTET6COAtx,0.4074267565807727,0,3.892942489487228,9.246167427202316,"Transport, peroxisomal",Fatty Acid Intracellular Transport,NA,NA,NA
TETTET6CPT1,-0.8644080631939646,0,-10.189445751319173,-140.10630178852455,Fatty acid oxidation,Carnitine O-Palmitoyltransferase,1375.1 or 1375.3 or 1375.4 or 126129.1 or 1374.1 or 1375.2,NA,NA
TETTET6CPT2,-0.8644080631939646,0,-10.189445751319173,-140.10630178852455,Fatty acid oxidation,Carnitine Transferase,1376.1,NA,NA
TETTET6CRNt,-0.8644080631939646,0,-10.189445751319173,-140.10630178852455,Fatty acid oxidation,Transport into the Mitochondria (Carnitine),788.1,NA,NA
TETTET6t,0.37151061193433954,0,6.326531111284637,13.80596827985443,"Transport, extracellular",Fatty Acid Transport via Diffusion,NA,NA,"PMID:11788354,PMID:12864740"
THD1m,-0.9276343380375571,0,72.20311861394532,2.7105900590930134,NAD metabolism,NAD (P) Transhydrogenase,23530.2 or 23530.1,NA,"PMID:12223207,PMID:8647343,PMID:9524818"
THFt2,0.6897496466015787,0,-413.7072531459331,-75.95966760529225,"Transport, extracellular",Tetrahydrofolate Transport via Anion Antiport,6573.1 or 6573.2,NA,"PMID:11375437,PMID:14770311"
THMDt4,1,0,0,299.83687007592914,"Transport, extracellular",Thymidine Transport in via Sodium Symport,9154.1 or 9154.2 or 64078.1,NA,PMID:12856181
THMMPt4,-0.4749037192889627,0,-237.91595890488625,-668.2643651405334,"Transport, extracellular",Thiamine Monophosphate Transport in via Anion Antiport,6573.1 or 6573.2,NA,"PMID:10542220,PMID:14770311"
THP2Ctp,-0.45026155008812463,0,-14.644647744315503,-38.63395318550151,"Transport, peroxisomal","2, 3, 4, 5-Tetrahydropyridine-2-Carboxylate Transport, Peroxisomal",NA,NA,NA
THRALANaEx,-0.7967934966149666,0,74.10213634472414,8.38050452004679,"Transport, extracellular",L-Alanine/L-Threonine Na-Dependent Exchange (Thr-L In),6509.1 or 6510.1,NA,PMID:14530974
THRASNNaEx,0.8265507886538965,0,3.503699450231413,36.89659321227111,"Transport, extracellular",L-Threonine/L-Asparagine Na-Dependent Exchange (Thr-L In),6510.1,NA,PMID:14530974
