Reaction,fc,pval,S1K2,S1K2_FC5,subSystem,rxnNames,geneRules,kegg,source
ABO5g,-0.49424770257850514,0,1.1253595250712862,0.3808961286992931,Blood group synthesis,"Abo Blood Group (Transferase A, Alpha 1-3-N-Acetylgalactosaminyltransferase",28.1,NA,"PMID:11421346,PMID:12198488,PMID:2121736"
ABUTt2rL,-0.5554787005257942,0,118.6558006220594,33.909195069556965,"Transport, lysosomal","4-Aminobutyrate Reversible Transport in via Proton Symport, Lysosomal",206358.1,NA,"PMID:11390972,PMID:11959859"
ACACt2m,-1.389658949854693,0,88.6731355865432,-543.805171535468,"Transport, mitochondrial",Acetoacetate Mitochondrial Transport via H+ Symport,6566.1,NA,"PMID:28726,PMID:627555"
ACALDtm,0.8989926344993502,0,-281.8633565180659,-14.992304106838288,"Transport, mitochondrial",Acetaldehyde Mitochondrial Diffusion,NA,NA,PMID:9028626
ACALDtr,0.34982237253527715,0,3.2217239863433993,6.688564680173975,"Transport, endoplasmic reticular","Acetaldehyde Reversible Transport, Endoplasmatic Reticulum",NA,NA,PMID:9028626
ACETONEt2,-1.0001601049090645,0,0.010868998354391078,-135.78432426465227,"Transport, extracellular",Acetone Transport via Proton Symport,6566.1 or 9123.1 or 9194.1,NA,"PMID:10510291,PMID:11101640,PMID:12739169,PMID:7835905,PMID:8476015,PMID:9425115,PMID:9508842,PMID:9649795,PMID:9786900,PMID:9824713"
ACETONEt2m,-1.0001601049090645,0,0.010868998354391078,-135.78432426465227,"Transport, mitochondrial",Acetone Mitochondrial Transport via Proton Symport,6566.1,NA,NA
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,0.4942477025785055,0,-1.1253595250712862,-0.3808961286992928,"Transport, extracellular",Blood Group Intracellular Transport,NA,NA,NA
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg,-0.4942477025785055,0,1.1253595250712862,0.3808961286992928,"Transport, golgi apparatus",Blood Group Intracellular Transport,NA,NA,NA
ACGALK2,1,0,NA,15.984703713491303,Aminosugar metabolism,N-Acetylgalactosamine Kinase (ITP),NA,NA,NA
ACGALtlg,0.4818253139138376,0,-7.2376141117575985,-2.5308977955486864,"Transport, golgi apparatus",N-Acetyl-Galactosamine Intracellular Transport,NA,NA,NA
ACGALtly,0.3582818644353479,0,47.894417841218136,101.37491143860817,"Transport, lysosomal",N-Acetyl-Galactosamine Lysosomal Efflux,NA,NA,"PMID:2784441,PMID:3753439"
ACGAM6PSi,0.9078342798845734,0,6.852385046263947,141.84465844630898,Aminosugar metabolism,N-Acetylglucosamine-6-Phosphate Synthase,64841.1,NA,NA
ACGBGBSIDEtg,0.4818253139138376,0,-7.2376141117575985,-2.5308977955486864,"Transport, golgi apparatus",Acgbgbside Hs Intracellular Transport,NA,NA,PMID:15907394
ACGBGBSIDEtl,-0.4818253139138376,0,7.2376141117575985,2.5308977955486864,"Transport, lysosomal",Acgbgbside Hs Intracellular Transport,NA,NA,PMID:15907394
ACGSm,-0.7130479015489076,0,42.75216483835298,7.16140126764701,Urea cycle,"N-Acteylglutamate Synthase, Mitochondrial",162417.1,NA,PMID:12459178
ACITL,0.34133885274632136,0,22.70036576536379,46.22844796538116,Citric acid cycle,ATP-Citrate Lyase,47.1 or 47.2,NA,PMID:2295639
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg,0.5131759335678355,0,1.000140059738064,3.1086956725127632,"Transport, golgi apparatus",Blood Group Intracellular Transport,NA,NA,NA
ACNMLr,9.733758828276844,0,-20.278351569083565,16.49992652833035,Aminosugar metabolism,N-Acetylneuraminate Lyase (Reversible),NA,NA,NA
ACOAD10m,-0.5714730434274923,0,45.171644836979915,12.317912525655347,"Valine, leucine, and isoleucine metabolism","Acyl Coenzyme A Dehydrogenase (2-Methylbutanoyl Coenzyme A), Mitochondrial",36.1 or 34.1,NA,PMID:11013134
ACOAHi,-0.340447950733768,0,88.14135173638147,43.36894180113701,Pyruvate metabolism,Acetyl Coenzyme A Hydrolase,134526.1,NA,"PMID:16951743,PMID:16951744,PMID:6109001"
ACOX2x,-0.34473079044029536,0,5.929633793977794,2.8894307148913714,Bile acid synthesis,"Acyl-Coenzyme A Oxidase 2, Branched Chain",8309.1,NA,NA
ACRNtm,-0.3546741991505321,0,-290.4823235491991,-609.7833195316315,"Transport, mitochondrial",O-Acetylcarnintine Transport into Mitochondria via Diffusion,788.1,NA,"PMID:14598172,PMID:977593"
ACSRTNMT,-0.5605388670795661,0,16.20279680842692,4.562846585959359,Tryptophan metabolism,S-Adenosyl-L-Homocysteine:N-Acetylserotonin O-Methyltransferase,438.1,NA,PMID:8397829
ACt2m,0.7046184738091364,0,-368.04483909796477,-63.77594045223296,"Transport, mitochondrial",Acetate Mitochondrial Transport via Proton Symport,NA,NA,"PMID:10198029,PMID:15755952"
ADCim,1,0,NA,135.78432426465227,Propanoate metabolism,"Acetoacetate Decarboxylation (Irreversible), Mitochondrial",NA,NA,NA
ADEt,-1.66775325199504,0,86.82234326423705,-346.8655343826294,"Transport, extracellular","Adenine Reversible Transport, Cytosol",3177.1,NA,"PMID:12006583,PMID:12838422"
ADK1m,0.3493948992882095,0,47.852679102443155,99.24939264611899,Nucleotide interconversion,"Adenylate Kinase, Mitochondrial",205.3 or 205.1 or 204.1 or 204.3 or 204.2 or 205.2,NA,"PMID:11485571,PMID:195572,PMID:8843353,PMID:9434148"
ADK3m,-1.4899288620074174,0,112.79777841881099,-22.194564696574957,Nucleotide interconversion,Adentylate Kinase (GTP),50808.1,NA,PMID:11485571
ADKd,-0.48011563505708393,0,-36.87492187741399,-104.9832464537798,Nucleotide interconversion,Adenylate Kinase (D Form),26289.2 or 26289.1,NA,PMID:10215863
ADMDC,-0.4798227759030266,0,83.74311582102776,29.436809754756837,Arginine and proline metabolism,Adenosylmethionine Decarboxylase,262.1,NA,PMID:2460457
ADNK1m,-0.37122343569037075,0,143.61622824998946,65.85543699715957,Nucleotide interconversion,"Adenosine Kinase, Mitochondrial",NA,NA,NA
ADNt,0.9999687971073062,0,-248.73692545330525,-0.0038807163417339326,"Transport, extracellular",Adenosine Faciliated Transport in Cytosol,3177.1 or 2030.1,NA,"PMID:10722669,PMID:12838422"
ADNt4,0.8445339774603933,0,3.0155456043551676,35.77808344841004,"Transport, extracellular",Adenosine Transport (Na/Adn Symport),9154.2 or 9154.1 or 64078.1 or 9153.1,NA,PMID:12856181
ADNtm,-0.4753333827041585,0,123.74145200273767,44.0056530968979,"Transport, mitochondrial",Adenosine Faciliated Transport in Mitochondria,2030.1,NA,"PMID:10722669,PMID:12838422,PMID:14607828"
ADPRIBt,-1,0,9.294488254758832,NA,"Transport, extracellular",ADPribose Transport,952.1,NA,PMID:8394137
ADRNt,0.5892110560103654,0,3.9068212093793644,15.114241876865453,"Transport, extracellular",Fatty Acid Transport via Diffusion,NA,NA,"PMID:11788354,PMID:12864740"
ADSL1,0.8392833420334861,0,8.70783912769563,99.65478162204586,Nucleotide interconversion,Adenylosuccinate Lyase,158.1 or 158.2,NA,"PMID:1302001,PMID:2004782"
ADSL2,0.349457749970893,0,3.81358564697376,7.910743239591655,Purine synthesis,Adenylosuccinate Lyase,158.1 or 158.2,NA,"PMID:1302001,PMID:2004782"
AGPAT1,-0.5352790960737284,0,17.746532759264205,5.371782086093354,Triacylglycerol synthesis,1-Acylglycerol-3-Phosphate O-Acyltransferase 1,10555.1 or 137964.1 or 56895.1 or 56894.2 or 56894.1 or 55326.1 or 10554.1 or 129642.1,NA,NA
AGTix,0.5550373402523011,0,27.707692709584908,96.83171347472556,Alanine and aspartate metabolism,"Alanine-Glyoxylate Transaminase (Irreversible),, Peroxisomal",189.1,NA,"PMID:1703535,PMID:9038835,PMID:9783918"
AHCYStr,-1,0,521.6677795482635,NA,"Transport, endoplasmic reticular",S-Adenosyl-L-Homocysteine Intracellular Diffusion,NA,NA,NA
AHEXASE2ly,0.41327588216074645,0,2.0682842047191334,4.981994254383811,N-glycan degradation,"Beta-N-Acetylhexosaminidase, Lysosomal",3073.1 or 3074.1 or (3073.1 and 3074.1),NA,"PMID:10336991,PMID:11707436,PMID:12706724"
AIRCr,0.349457749970893,0,3.81358564697376,7.910743239591655,Purine synthesis,Phosphoribosylaminoimidazole Carboxylase,10606.1,NA,NA
AKGDm,0.5718222679840427,0,108.77407661553622,399.3050152298212,Citric acid cycle,2-Oxoglutarate Dehydrogenase,(4967.2 and 1738.1 and 8050.1 and 1743.1) or (4967.1 and 1738.1 and 8050.1 and 1743.1),NA,PMID:1542694
AKGtp,-1,0,NA,-79.03392937917577,"Transport, peroxisomal","Akg Transporter, Peroxisome",NA,NA,NA
AKR1C1,-0.8318778943645665,0,544.2162378562928,49.94589438022077,Steroid metabolism,"Aldo-Keto Reductase Family 1, Member C1 (Chlordecone Reductase",1645.1,NA,PMID:8486699
ALAASNNaEx,-0.35158656954241796,0,46.38973588286396,22.25512479900755,"Transport, extracellular",L-Alanine/L-Asparagine Na-Dependent Exchange (Ala-L In),6510.1,NA,PMID:14530974
ALACYSNaEx,-0.5425783449892752,0,42.022008316025044,12.460810598844663,"Transport, extracellular",L-Alanine/L-Cysteine Na-Dependent Exchange (Ala-L In),6509.1 or 6510.1,NA,PMID:14530974
ALAGLNNaEx,-0.5697041659591154,0,53.37267255355576,14.630806969535351,"Transport, extracellular",L-Alanine/L-Glutamine Na-Dependent Exchange (Ala-L In),6510.1,NA,PMID:14530974
ALASm,-1,0.005109917467958691,1.4711869819641115,0,"Glycine, serine, alanine, and threonine metabolism",5-Aminolevulinate Synthase,212.1 or 23464.1 or 211.2 or 211.1,NA,PMID:2263504
ALATA_L,-43.260812402362774,0,217.46351352791785,-207.63705523560196,Glutamate metabolism,L-Alanine Transaminase,2875.1 or 84706.1,NA,PMID:11863375
ALATHRNaEx,-0.5047824949084303,0,35.82568449178003,11.790080062897504,"Transport, extracellular",L-Alanine/L-Threonine Na-Dependent Exchange (Ala-L In),6509.1 or 6510.1,NA,PMID:14530974
ALAtN1,-1,2.3265227787783592e-6,0,-4.227059778505564,"Transport, extracellular","Alanine Transport (Na, H Coupled)",92745.1 or 10991.1,NA,"PMID:10823827,PMID:12845534"
ALCD21_D,-0.9999999629658588,0,313.6266786057234,5.80744743347168e-6,Pyruvate metabolism,"Alcohol Dehydrogenase (D-1, 2-Propanediol)",127.1 or 284273.2 or 125.1 or 128.1 or 131.1 or (125.1 and 124.1) or 124.1 or 130.1 or 137872.1 or (125.1 and 126.1) or (126.1 and 124.1) or 284273.1 or 126.1,NA,"PMID:15987839,PMID:2296157"
ALCD22_D,-1,0,239.5625853337772,0,Pyruvate metabolism,Alcohol Dehydrogenase (D-Lactaldehyde),126.1 or 137872.1 or (126.1 and 124.1) or 127.1 or 130.1 or 284273.1 or (125.1 and 124.1) or 128.1 or 124.1 or 125.1 or 284273.2 or 131.1 or (125.1 and 126.1),NA,"PMID:15987839,PMID:2296157"
ALDD20xm,0.40784863087520123,0,2.690531928892228,6.39677942147699,Tryptophan metabolism,"Aldehyde Dehydrogenase (Indole-3-Acetaldehyde, NAD), Mitochondrial",219.1 or 8659.1 or 217.1 or 8659.2,NA,"PMID:18983992,PMID:18983993,PMID:6377948"
ALDD2xm,-0.8989926344993502,0,281.8633565180659,14.992304106838288,Glycolysis/gluconeogenesis,"Aldehyde Dehydrogenase (Acetylaldehyde, NAD), Mitochondrial",219.1 or 217.1,NA,"PMID:18983992,PMID:18983993,PMID:19382904,PMID:19382905"
ALOX12,-0.423291724122927,0,16.209186406434515,6.567853790891269,Eicosanoid metabolism,Arachidonate 12-Lipoxygenase,239.1,NA,"PMID:2217179,PMID:2377602"
AMACR2p,-0.34116495664557467,0,164.1480808150649,80.63624642477035,Bile acid synthesis,Alpha-Methylacyl Coenzyme A Racemase (Reductase),23600.1 or 23600.2,NA,NA
AMACRp,-0.34473079044029536,0,5.929633793977794,2.8894307148913714,Bile acid synthesis,Alpha-Methylacyl Coenzyme A Racemase,23600.2 or 23600.1,NA,NA
AMCOXO,-0.43289233423138646,0,6.883439692331098,2.724315932969841,Tryptophan metabolism,2-Aminomuconate Reductase,NA,NA,NA
AMETr,1,0,-521.6677795482635,NA,"Transport, endoplasmic reticular",S-Adenosyl-L-Methionine Intracellular Diffusion,NA,NA,NA
AMPtp,0.8653465994030812,0,-4.508625328791328,-0.32546323173046116,"Transport, peroxisomal","AMP Transporter, Peroxisome",NA,NA,NA
ANTIPYRENEte,-0.5844701588078589,0,136.31721844762637,35.74940923842639,"Transport, extracellular",Transport of Antipyrine,NA,NA,NA
AOBUTDsm,-0.674030301081116,0,155.0933045319125,30.200001606872117,"Glycine, serine, alanine, and threonine metabolism","L-2-Amino-3-Oxobutanoate Decarboxylation, Mitochondrial (Spontaneous)",NA,NA,PMID:12097150
APOCF,-0.45534730111018007,0,6.721965699731327,2.515644724397157,Biotin metabolism,Apocarboxylase Formation,NA,NA,PMID:10191093
APOC_LYS_BTNP,-0.45534730111018007,0,6.721965699731327,2.515644724397157,Biotin metabolism,Proteolysis of ApoC-Lys-Biotin,NA,NA,NA
ARACHCOAtx,30.468948621267533,0,-8.754587198776587,9.348743937199108,"Transport, peroxisomal",Fatty Acid Intracellular Transport,NA,NA,NA
ARACHt,0.8169408203911609,0,3.582949647837245,35.562310977642376,"Transport, extracellular",Fatty Acid Transport via Diffusion,NA,NA,"PMID:11788354,PMID:12864740"
ARGSS,1,0,NA,25.66230321204354,Alanine and aspartate metabolism,Argininosuccinate Synthase,445.1 or 445.2,NA,NA
ARGt4,0.4690827370859127,4.58792664147873e-4,3.2768457311719654,9.067246126704664,"Transport, extracellular",L-Arginine Transport in via Sodium Symport,11254.1,NA,"PMID:11133652,PMID:12719981"
R_group_phosphotase_1,-0.771944989343259,0,23.87520529436921,3.0728155956225796,Miscellaneous,R Group Phosphotase 1,NA,NA,NA
R_group_phosphotase_2,-1,0,17.746532759264205,NA,Miscellaneous,R Group Phosphotase 2,NA,NA,NA
ASAH1,-0.43083081800987877,0,83.36112402159273,33.16016273338292,Sphingolipid metabolism,N-Acylsphingosine Amidohydrolase,427.1 or 427.2,NA,PMID:8955159
ASNCYSNaEx,0.8238365496077531,0,5.173250341588736,53.559140856130604,"Transport, extracellular",L-Cysteine/L-Asparagine Na-Dependent Exchange (Asn-L In),6510.1,NA,PMID:14530974
ASNGLNNaEx,0.4486742047356363,0,8.331557541811877,21.892159952911367,"Transport, extracellular",L-Glutamine/L-Asparagine Na-Dependent Exchange (Asn-L In),6510.1,NA,PMID:14530974
ASNSERNaEx,-0.46063677686204824,0,53.93921886006929,19.917909365812225,"Transport, extracellular",L-Serine/L-Asparagine Na-Dependent Exchange (Asn-L In),6510.1,NA,PMID:14530974
ASPCTr,-2.189840433351083,0,323.86523165836337,-120.80477241267806,Pyrimidine synthesis,Aspartate Carbamoyltransferase (Reversible),790.1,NA,"PMID:2565865,PMID:8619816"
ASPGLUm,-0.6018406190237783,0,70.5794858522486,17.54349594011272,"Transport, mitochondrial",Aspartate-Glutamate Mitochondrial Shuttle,8604.1 or 10165.1,NA,PMID:14598172
ASPTAm,0.6120195599113106,0,-278.9516608515978,-67.13801174138864,Alanine and aspartate metabolism,Aspartate Transaminase,2806.1,NA,PMID:6930651
ATPH1e,0.7903534194223698,0,1.20514479932795,10.291773452402815,Nucleotide interconversion,ATP Diphosphohydrolase,954.1 or 954.2 or 953.1 or 956.1 or 955.1 or 957.1,NA,"PMID:8955160,PMID:9676430"
ATPtm,0.39323049724453735,0,328.47616904525756,754.228770980835,"Transport, mitochondrial","ADP/ATP Transporter, Mitochondrial",291.1 or 293.1 or 292.1,NA,PMID:14598172
ATPtx,-0.8653465994030812,0,4.508625328791328,0.32546323173046116,"Transport, peroxisomal","ATP Transporter, Peroxisomal",NA,NA,NA
B3GNT311g,-0.49424770257850514,0,1.1253595250712862,0.3808961286992931,Blood group synthesis,"UDP-GlcNac:Betagal Beta-1, 3-N-Acetylglucosaminyltransferase 3, Golgi Apparatus",10331.1,NA,PMID:10072769
B3GNT36g,-0.4818253139138376,0,7.2376141117575985,2.5308977955486864,Sphingolipid metabolism,"UDP-GlcNac:Betagal Beta-1, 3-N-Acetylglucosaminyltransferase 3, Golgi Apparatus",10331.1,NA,NA
BAAT2x,-0.6918879986334693,0,38.72265599982701,7.051835019795014,Bile acid synthesis,Bile Acid Coenzyme A: Amino Acid N-Acyltransferase,570.1,NA,NA
BAAT3x,-0.3438406162420615,0,167.42589500026108,81.74933155071736,Bile acid synthesis,Bile Acid Coenzyme A: Amino Acid N-Acyltransferase,570.1,NA,NA
BAAT4x,0.45728788866225273,0,26.381136733072996,70.83849843609742,Bile acid synthesis,Bile Acid Coenzyme A: Amino Acid N-Acyltransferase,570.1,NA,NA
BACCL,-0.45534730111018007,0,6.721965699731327,2.515644724397157,Biotin metabolism,Biotin-[Acetyl Coenzyme A-Carboxylase] Ligase,3141.1,NA,"PMID:12459313,PMID:7842009"
BAMPPALDOX,-0.7860380546695528,0,11.08797633287868,1.3283059561682269,Beta-Alanine metabolism,Beta-Aminopropion Aldehyde:NAD+ Oxidoreductase,8854.2 or 501.1 or 216.1 or 224.1 or 8854.3 or 223.1 or 8854.1,NA,PMID:12586697
BCDO,-0.5891180788377001,0,9.438551176940452,2.4404291236850644,Vitamin A metabolism,Beta-Carotene Dioxygenase,53630.1,NA,"PMID:10799297,PMID:11401432,PMID:1503811"
BDHm,1.3395414099132843,0,-481.4676547916412,69.87617557992088,Butanoate metabolism,(R)-3-Hydroxybutanoate:NAD+ Oxidoreductase,622.2 or 622.3 or 622.1,NA,"PMID:1639787,PMID:8679568"
BHBtm,1.3395414099132843,0,-481.4676547916412,69.87617557992088,"Transport, mitochondrial",(R)-3-Hydroxybutanoate Mitochondrial Transport via H+ Symport,NA,NA,PMID:3427918
BHMT,-0.541080552897494,0,159.98280722119807,47.64139116402343,"Glycine, serine, alanine, and threonine metabolism",Betaine-Homocysteine S-Methyltransferase,23743.1 or 635.1,NA,PMID:9281325
BILDGLCURt,-1.3772399128268427,3.3598223594265437e-6,0.11149838250823083,-0.7026255602912977,"Transport, extracellular",Bilirubin Beta-Diglucuronide Transport via Bicarbonate Antiport,10599.1,NA,"PMID:10358072,PMID:12507753,PMID:9334206"
BILDGLCURtr,5.177983917206115,0,-2.520671753442094,1.7046541699641418,"Transport, endoplasmic reticular",Glucuronidated Compound Transport,NA,NA,NA
BILGLCURt,0.4097152912764543,0,-205.74834668763117,-86.1522206976205,"Transport, extracellular",Bilirubin Monoglucuronide Transport via Bicarbonate Antiport,10599.1 or 28234.1,NA,"PMID:10358072,PMID:12507753,PMID:9334206"
BILGLCURte,-0.4291432489645878,0,5.111510589221904,2.0417409731042464,"Transport, extracellular",Bilirubin Monoglucuronide Transport Mdr,4363.1,NA,NA
BILIRUBt2,-0.9299500417212583,0,-6.50434040850997,-179.2014206892481,"Transport, extracellular",Bilirubin Transport via Bicarbonate Antiport,10599.1,NA,"PMID:10358072,PMID:12507753,PMID:9334206"
BTND1,-0.45534730111018007,0,6.721965699731327,2.515644724397157,Biotin metabolism,Biotinidase (Biotin),686.1,NA,"PMID:12459313,PMID:15059618"
BTNPL,-0.45534730111018007,0,6.721965699731327,2.515644724397157,Biotin metabolism,Holocarboxylase Synthestase (Biotin Protein Ligase),3141.1,NA,NA
