Reaction,fc,pval,S1C1,S1K1,subSystem,rxnNames,geneRules,kegg,source
ACCOACm,-0.3960038780464754,0,370.7120541319847,160.3925652201444,Fatty acid oxidation,"Acetyl Coenzyme A Carboxylase, Beta Isoform",32.1,NA,PMID:10677481
ACCOAtn,0.36440664229979963,0,58.33284919157028,125.22114326246977,"Transport, nuclear","Acetyl Coenzyme A Transport, Nuclear",NA,NA,NA
ACCOAtr,-0.5172973897426868,0,-203.59177542233468,-639.9577355853081,"Transport, endoplasmic reticular",Acetyl Coenzyme A Transport,9197.1,NA,NA
ACGAGBSIDEtg,-0.5923483313169302,0,-0.3719718883482078,-1.4529777778698816,"Transport, golgi apparatus",Acgagbside Hs Intracellular Transport,NA,NA,PMID:15907394
ACGAGBSIDEtl,0.5923483313169302,0,0.3719718883482078,1.4529777778698816,"Transport, lysosomal",Acgagbside Hs Intracellular Transport,NA,NA,PMID:15907394
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,-0.46400646034586757,0,-0.18352967728518904,-0.5012908054527844,"Transport, extracellular",Blood Group Intracellular Transport,NA,NA,NA
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg,0.4640064603458435,0,0.1835296772852003,0.5012908054527844,"Transport, golgi apparatus",Blood Group Intracellular Transport,NA,NA,NA
ACGALtlg,-0.43311159207914707,0,-1.773264450741986,-4.4828678884098965,"Transport, golgi apparatus",N-Acetyl-Galactosamine Intracellular Transport,NA,NA,NA
ACGAM6PSi,-0.774108323588712,0,106.91866844568253,13.613620393822714,Aminosugar metabolism,N-Acetylglucosamine-6-Phosphate Synthase,64841.1,NA,NA
ACGBGBSIDEtg,-0.43311159207914707,0,-1.773264450741986,-4.4828678884098965,"Transport, golgi apparatus",Acgbgbside Hs Intracellular Transport,NA,NA,PMID:15907394
ACGBGBSIDEtl,0.43311159207914707,0,1.773264450741986,4.4828678884098965,"Transport, lysosomal",Acgbgbside Hs Intracellular Transport,NA,NA,PMID:15907394
ACHtn,0.36440664229979963,0,58.33284919157028,125.22114326246977,"Transport, nuclear","Acetylcholin Transport, Nuclear through Pores",NA,NA,NA
ACITL,-0.35531039094851385,0,33.738917837845904,16.04881796521796,Citric acid cycle,ATP-Citrate Lyase,47.1 or 47.2,NA,PMID:2295639
ACN13ACNGALGBSIDEte,0.5422214042694529,0,0.21241138382230365,0.7155978582145652,"Transport, extracellular",Acn13Acngalgbside Hs Transport,NA,NA,PMID:8206147
ACN13ACNGALGBSIDEtg,-0.5422214042694529,0,-0.21241138382230365,-0.7155978582145652,"Transport, golgi apparatus",Acn13Acngalgbside Hs Intracellular Transport,NA,NA,PMID:8206147
ACN23ACNGALGBSIDEte,0.5286643300946376,0,0.21046606049614455,0.682596247045329,"Transport, extracellular",Acn23Acngalgbside Transport,NA,NA,PMID:8206147
ACN23ACNGALGBSIDEtg,-0.5286643300946376,0,-0.21046606049614455,-0.682596247045329,"Transport, golgi apparatus",Acn23Acngalgbside Intracellular Transport,NA,NA,NA
ACNACNGAL14ACGLCGALGLUSIDEte,-0.3698437066887862,0,-1.5703332661367269,-3.4136152647436595,"Transport, extracellular",Blood Group Intracellular Transport,NA,NA,NA
ACNACNGAL14ACGLCGALGLUSIDEtg,0.6289672253565075,0,0.4223491630788959,1.8542646130744953,"Transport, golgi apparatus",Blood Group Intracellular Transport,NA,NA,NA
ACNACNGALGBSIDEte,0.4741342691327128,0,0.22725736283926445,0.637059703285044,"Transport, extracellular",Acnacngalgbside Hs Transport,NA,NA,PMID:8206147
ACNACNGALGBSIDEtg,-0.4741342691327128,0,-0.22725736283926445,-0.637059703285044,"Transport, golgi apparatus",Acnacngalgbside Hs Intracellular Transport,NA,NA,PMID:8206147
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg,0.4744891255465611,0,0.3065217287714824,0.8600449158875169,"Transport, golgi apparatus",Blood Group Intracellular Transport,NA,NA,NA
ACNMLr,-6.531751753863183,0,18.636567099107893,-13.68776695057702,Aminosugar metabolism,N-Acetylneuraminate Lyase (Reversible),NA,NA,NA
ACOAD10m,-0.5285971220142562,0,33.94037098839926,10.466844620741105,"Valine, leucine, and isoleucine metabolism","Acyl Coenzyme A Dehydrogenase (2-Methylbutanoyl Coenzyme A), Mitochondrial",36.1 or 34.1,NA,PMID:11013134
ACOAD9m,0.6919203745992569,0,25.347648096590817,139.20492861872538,"Valine, leucine, and isoleucine metabolism","Acyl Coenzyme A Dehydrogenase (Isobutyryl Coenzyme A), Mitochondrial",34.1 or 27034.1,NA,PMID:11013134
ACOAHi,0.5698022160731779,0,14.769069048759738,53.892693519835916,Pyruvate metabolism,Acetyl Coenzyme A Hydrolase,134526.1,NA,"PMID:16951743,PMID:16951744,PMID:6109001"
